sat,face,n_dark,n_lit,eps,eps_sd,alpha,alpha_sd,alpha_over_eps,G_W_per_K,rms_resid_dark_mK_s,rms_resid_lit_mK_s,r2_dark,r2_lit
KASHIWA,+X,1388,3864,0.4313,0.0375,0.3554,0.023,0.8241,-0.001,54.9404,67.9507,0.0075,0.0
KASHIWA,-X,1388,3862,0.7833,0.008,0.6367,0.0068,0.8128,0.0304,4.9404,22.4384,0.8765,0.1681
KASHIWA,+Y,1388,3862,0.6983,0.0061,0.5206,0.0044,0.7455,0.0269,4.4063,18.1827,0.8546,0.171
KASHIWA,-Y,1388,3864,0.6516,0.0061,0.513,0.0267,0.7873,0.0243,4.3705,146.3407,0.8504,-0.7015
KASHIWA,+Z,1388,3862,0.8415,0.0127,0.6128,0.0092,0.7283,0.0407,9.8006,18.3025,0.6943,0.7127
KASHIWA,-Z,1388,3862,0.3293,0.0125,0.3322,0.0123,1.0087,0.0087,7.6671,13.689,0.1923,0.46
SAKURA,+X,3041,5405,-0.168,0.1696,-0.0175,0.0262,0.104,-0.0042,13.6722,25.0732,0.0007,-0.002
SAKURA,-X,3041,5405,0.696,0.0046,0.5949,0.0035,0.8547,0.0267,4.8167,15.7535,0.8743,0.014
SAKURA,+Y,3041,5405,0.5263,0.0036,0.4261,0.0031,0.8096,0.0165,4.6996,16.3092,0.7609,-0.1564
SAKURA,-Y,3041,5405,0.6066,0.0041,0.4961,0.0034,0.8179,0.0235,4.5395,16.5282,0.8364,-0.0295
SAKURA,+Z,3041,5405,0.5844,0.0093,0.4893,0.0066,0.8374,0.0325,7.9404,27.235,0.6428,0.271
SAKURA,-Z,3041,5405,0.6238,0.011,0.3614,0.0063,0.5794,0.0111,10.8112,35.923,0.3401,0.1149
YOMOGI,-X,3957,8200,0.8047,0.0039,0.7179,0.0036,0.8921,0.0281,5.4047,14.117,0.8917,0.4689
YOMOGI,+Y,3957,8200,0.6815,0.0034,0.5763,0.0029,0.8456,0.024,4.6962,12.4994,0.8723,0.3614
YOMOGI,-Y,3957,8200,0.6364,0.0035,0.5242,0.0029,0.8238,0.0211,4.4203,11.1823,0.8534,0.3935
YOMOGI,+Z,3954,8200,0.397,0.0063,0.3825,0.006,0.9635,0.0119,7.2257,24.1409,0.2831,0.5563
YOMOGI,-Z,3954,8200,0.7996,0.0086,0.5904,0.006,0.7383,0.0314,9.3043,20.4269,0.6677,0.6207
BOTAN,+X,2918,5523,0.5833,0.0042,0.4924,0.0035,0.844,0.0202,4.7999,13.1416,0.8029,0.0838
BOTAN,-X,2918,5523,0.6993,0.0053,0.5671,0.0044,0.8111,0.0271,5.0092,15.4258,0.8472,0.0469
BOTAN,+Y,2918,5523,0.5229,0.0036,0.4131,0.0031,0.79,0.0175,4.3314,14.4536,0.7663,-0.062
BOTAN,-Y,2918,5520,0.7916,0.0054,0.6847,0.0045,0.865,0.0291,6.1844,18.8688,0.8455,-0.0931
BOTAN,+Z,2918,5520,0.5414,0.0043,0.5147,0.007,0.9507,0.0362,8.4112,44.2072,0.7322,-0.2509
BOTAN,-Z,2918,5520,0.4734,0.0117,0.3827,0.0074,0.8085,0.0049,9.1248,35.0427,0.3844,0.2269
