sat,session,mission_day,n,span_min,side_period_s,side_power,z_period_s,z_power,P_V_xm,P_V_yp,P_V_ym,P_V_zp,P_V_zm,pow_V_xm,pow_V_yp,pow_V_ym,pow_V_zp,pow_V_zm
SAKURA,20240904,0.0,27,3.5,21.612,0.35,30.322,0.448,21.612,600.0,20.829,39.424,21.221,0.325,0.386,0.337,0.452,0.443
SAKURA,20240910,10.028,35,3.583,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
SAKURA,20240913,14.954,219,,13.0,,13.0,,13.0,13.0,13.0,13.0,13.0,,,,,
SAKURA,20240921,22.817,41,4.55,22.004,0.288,16.425,0.227,22.004,16.719,22.004,16.327,16.523,0.257,0.153,0.453,0.215,0.24
SAKURA,20240924,25.822,39,3.867,24.352,0.448,20.731,0.333,24.352,24.352,24.94,24.548,16.915,0.665,0.413,0.265,0.394,0.271
SAKURA,20241007,38.607,47,4.95,23.178,0.962,22.982,0.873,23.178,,23.178,22.982,,0.961,0.0,0.964,0.873,0.0
KASHIWA,20240603_1826,49.0,237,23.8,23.765,0.154,256.686,0.078,23.765,23.765,23.765,489.607,23.765,0.16,0.178,0.124,0.125,0.032
KASHIWA,20240729_1733,108.0,128,13.683,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
KASHIWA,20240803_1014,109.0,56,5.583,23.178,0.422,343.885,0.205,22.982,23.178,232.22,278.608,409.161,0.539,0.553,0.173,0.266,0.143
KASHIWA,20240804_0838,114.0,252,25.367,88.944,0.153,305.913,0.071,88.161,88.944,88.944,87.574,524.252,0.176,0.137,0.146,0.072,0.071
