day,date_utc,beta_deg,sunlit_fraction,alt_km,raan_deg,sB_mean_sunlit,q_sun_bp,q_sun_bm,q_sun_side,q_alb_bp,q_alb_bm,q_alb_side,F_bp,F_bm,F_side
25,2024-05-06,59.34484,0.73906,399.00655,159.37604,0.28275,0.28769,0.00494,0.20417,0.02098,0.09932,0.05338,0.35008,0.38181,0.31927
26,2024-05-07,63.03075,0.77448,398.50468,154.37391,0.31114,0.31221,0.00107,0.21543,0.01379,0.09449,0.04701,0.35044,0.38157,0.31938
27,2024-05-08,66.12528,0.81927,397.98738,149.37052,0.34958,0.34968,0.0001,0.22793,0.00812,0.08985,0.04138,0.35077,0.38135,0.3195
28,2024-05-09,68.3719,0.87188,397.42513,144.36571,0.39404,0.39404,0.0,0.24077,0.00436,0.08593,0.03707,0.35106,0.38115,0.31963
29,2024-05-10,69.49375,0.91302,396.71321,139.35929,0.42612,0.42615,2e-05,0.25059,0.00271,0.0833,0.03475,0.35134,0.38101,0.3198
30,2024-05-11,69.31309,0.90052,395.07912,134.34963,0.41662,0.41679,0.00016,0.24735,0.00326,0.08239,0.03487,0.35172,0.38108,0.32017
31,2024-05-12,67.86625,0.84792,394.34613,129.33698,0.37391,0.37465,0.00074,0.23436,0.00604,0.08308,0.03728,0.35189,0.38105,0.32035
32,2024-05-13,65.3802,0.79479,393.62645,124.32254,0.32848,0.33152,0.00304,0.22053,0.011,0.08497,0.04143,0.35199,0.38108,0.32052
33,2024-05-14,62.13906,0.74896,392.89359,119.30622,0.29288,0.3004,0.00753,0.20705,0.01778,0.08753,0.0467,0.35203,0.38117,0.3207
34,2024-05-15,58.3843,0.71458,392.09626,114.28793,0.26713,0.27915,0.01202,0.19599,0.02598,0.09024,0.05257,0.35204,0.38134,0.32089
35,2024-05-16,54.28932,0.68698,391.14663,109.26739,0.24666,0.26281,0.01615,0.18638,0.03521,0.09273,0.05868,0.35205,0.38158,0.3211
38,2024-05-19,40.95728,0.63698,388.1145,94.19017,0.18904,0.232,0.04297,0.16666,0.06637,0.09658,0.07624,0.35216,0.3824,0.32175
