day,battery_temp_median,x_plus_temp_median,x_minus_temp_median,y_plus_temp_median,y_minus_temp_median,z_plus_temp_median,z_minus_temp_median,bpb_temp_median
25,9.808979,1.818848,7.095550,5.125553,6.251575,14.054802,-11.466127,4.900250
26,10.872815,4.199219,11.028013,8.388752,8.894491,10.073904,-5.726463,7.714174
27,17.442044,8.471680,12.093671,10.522972,11.308521,24.157275,-4.705816,12.766339
28,21.200741,11.645508,15.565981,15.118378,13.774793,28.157777,-1.195454,16.908014
29,21.200741,11.462402,15.677861,14.334762,14.894528,30.929888,-1.534815,16.348974
30,16.758505,8.258057,11.420709,11.701145,10.073908,22.877170,-4.479098,12.542144
31,14.356424,5.053711,9.737024,8.276343,8.276343,18.360574,-6.407273,9.287731
32,11.926826,3.894043,6.364132,4.224142,5.463446,20.927164,-7.883404,7.151800
33,8.009581,0.781250,5.350823,2.250461,3.998707,11.869383,-8.565177,4.787586
34,7.279050,0.415039,0.839137,-2.440145,1.290902,13.438715,-10.953785,3.209423
35,5.796295,-2.514648,-2.326950,-5.272758,-1.025803,11.701145,-11.523054,0.669690
38,3.895338,-4.498291,-3.572561,-6.861320,-1.138902,9.624713,-10.953785,0.726175
39,3.507895,-1.843262,-2.270356,-5.556309,0.048228,9.231559,-9.247255,1.629639
40,3.117799,-4.833984,-4.705816,-7.769805,-2.666562,7.151800,-10.498524,-0.516957
41,2.724942,-10.144043,-6.804554,-9.531545,-6.974885,-3.969567,-16.141997,-4.762552
42,2.724942,-2.148438,-4.479098,-8.906178,-1.874251,8.051500,-11.636933,-1.082350
43,5.796295,-7.214355,-12.662230,-13.232138,-10.270944,-7.429058,-16.656080,0.613204
44,2.724942,-6.298828,-3.799145,-9.360964,-0.403903,11.757227,-9.133554,-1.874251
45,4.087785,1.422119,6.420176,1.685854,9.118843,12.598190,-6.180320,6.364128
46,3.507895,-6.237793,-9.133554,-12.206457,-7.769805,-3.346011,-14.372595,-4.139084
47,2.129850,-2.514648,-5.953383,-9.816094,-1.592035,5.632339,-13.859310,-0.460514
48,2.527077,-3.063965,-1.536022,-3.120202,1.911811,5.913838,-10.726142,2.250411
49,1.930488,-5.383301,-6.747792,-7.656214,-3.912450,5.801265,-10.270944,2.532571
50,1.930488,-5.322266,-5.159353,-9.247255,-3.346011,5.350823,-9.133554,0.726175
51,1.528651,-5.627441,-4.365751,-8.337886,-4.139084,1.968301,-9.702143,-1.195454
52,2.129850,-5.841064,-1.987681,-5.272825,-1.421791,2.194030,-10.327845,-0.121332
53,2.527077,-3.857422,2.870931,-0.799754,2.476128,2.814620,-8.678903,3.153021
54,3.117799,-5.322266,3.547737,-1.761097,0.952091,-1.987413,-10.384730,0.048228
55,1.528651,-3.552246,-2.100789,-2.836631,-1.818226,-4.479702,-7.485930,4.393072
56,1.528651,-6.115723,2.419734,-0.856168,1.177973,-4.365751,-6.407273,-0.290858
57,0.715116,-6.787109,-3.685849,-4.705816,-4.819187,-9.702143,-4.819187,3.096635
58,-0.955344,-4.162598,2.306888,1.629639,0.500226,1.177973,5.012905,0.387239
59,1.930488,-20.520020,-23.756822,-22.724000,-22.379882,-27.089621,-16.884618,-8.678836
60,1.123571,-4.772949,-1.535153,-4.479203,-3.799145,-5.726463,-3.855848,0.161202
61,0.919343,-0.103760,1.686037,-1.931484,-0.970193,4.224105,-6.976890,-2.553768
62,1.528651,-3.979492,-0.064830,-1.252010,-0.064797,2.701786,-1.761302,0.782531
63,2.329211,-4.650879,-5.386172,-3.572561,-3.799145,-0.064793,-5.159353,-0.290858
64,1.930488,-6.146240,-4.422450,-5.386176,-4.025800,-0.630023,-6.350655,-0.347464
