day,n,n_lit,n_valid,n_eclipse,r_B,k_B,lag_min,r_B_lag0,dTz_std,dTz_mean,sw_z,sw_y,both_z_lit,shadow_agree,beta_deg,ecl_dur_meas,ecl_dur_model,theta_eff_deg
0,827,529,827,10,-0.7856,-9.9062,3.0,-0.6908,6.2403,-1.3045,7.8682,8.8419,0.4655,0.9903,27.7585,34.0833,34.6732,73.5072
1,836,528,836,10,-0.5926,-5.5132,1.5,-0.5804,4.056,0.5175,10.875,10.341,0.4533,0.9988,32.2396,33.13,33.9796,80.9092
2,16,16,16,0,,,0.0,,1.7579,-2.0807,,,1.0,1.0,34.2286,,,
5,426,289,426,5,-0.4398,-7.4369,3.0,-0.3915,5.7576,-0.3793,11.7068,11.2456,0.4906,0.993,46.9111,29.8867,30.8958,77.6943
7,113,79,113,1,-0.4411,-9.6281,0.0,-0.4411,6.5603,-2.9907,13.1696,18.1147,0.4248,1.0,52.6487,28.4833,28.6263,73.983
8,90,63,0,0,,,0.0,,6.4616,-3.5006,11.0079,7.9778,0.4556,,54.8691,,,
9,68,46,68,1,-0.4217,-8.7449,4.5,-0.296,5.3694,-4.6134,9.5843,7.5533,0.3529,0.9853,56.2844,23.9833,26.7724,
10,242,174,242,4,-0.4719,-11.3831,6.0,-0.3906,5.3515,-6.0487,14.8874,17.314,0.4587,1.0,56.784,26.2333,26.4566,70.9606
11,108,80,0,0,,,0.0,,5.9362,-7.3542,23.1077,15.3472,0.3981,,56.4106,,,
12,65,46,0,0,,,0.0,,6.5048,-9.1039,8.6838,7.4873,0.4154,,55.5163,,,
13,119,85,119,1,-0.7174,-18.8539,4.5,-0.6591,7.5224,-9.4577,19.749,18.7482,0.4034,0.9916,53.5321,27.0,28.2974,57.2947
14,204,140,0,0,,,0.0,,8.7219,-9.462,8.9067,10.1933,0.4804,,50.8735,,,
15,165,107,0,0,,,0.0,,11.1775,-8.273,5.4414,5.1632,0.4606,,47.5043,,,
16,143,96,0,0,,,0.0,,11.1682,-8.3884,6.9335,10.68,0.4476,,43.939,,,
17,190,112,190,2,-0.6742,-25.2199,3.0,-0.5868,11.8624,-6.955,8.4554,18.2762,0.3737,1.0,40.0875,32.2333,32.762,43.7176
18,127,74,127,1,-0.8237,-29.5262,4.5,-0.6414,13.5182,-10.4717,6.748,3.7697,0.4488,0.9921,36.4221,33.7833,33.4648,32.203
19,471,291,471,2,-0.8019,-30.4974,3.0,-0.676,16.419,-4.5738,7.2687,9.1142,0.4628,0.9894,30.5568,32.9833,34.3641,29.0731
20,333,194,333,3,-0.7718,-29.1889,1.5,-0.7212,15.5898,-6.96,7.8591,4.6718,0.4264,0.997,27.7625,34.5111,34.7073,33.2276
21,183,110,183,1,-0.7972,-36.2884,3.0,-0.7185,20.8538,-2.9041,6.7243,17.2245,0.4098,1.0,21.9402,34.4833,35.2903,0.0
22,219,136,219,1,-0.7491,-31.6154,3.0,-0.5876,20.0146,-1.1606,3.5905,9.1074,0.4429,0.9909,17.5086,34.4833,35.6116,25.0363
23,57,43,0,0,,,0.0,,20.8312,6.5486,0.0,1.1293,0.4561,,12.7034,,,
24,128,79,128,2,-0.84,-34.9868,6.0,-0.6619,20.8825,0.1609,0.9794,11.571,0.4531,1.0,8.1857,35.9833,36.0068,0.0
