t_mid,dur_min,dur_model
2024-12-12T20:31:28Z,13.5,14.98
2024-12-13T04:15:55Z,15.0,17.41
2024-12-13T05:49:09Z,16.5,17.84
2024-12-13T08:55:06Z,17.98,18.66
2024-12-13T10:28:03Z,17.98,19.05
2024-12-13T13:33:09Z,18.0,19.79
2024-12-13T15:06:57Z,19.48,20.15
2024-12-13T16:39:09Z,17.98,20.49
2024-12-13T19:45:03Z,20.98,21.14
2024-12-13T22:50:57Z,21.0,21.76
2024-12-14T00:23:54Z,21.0,22.05
2024-12-14T05:01:57Z,22.48,22.89
2024-12-14T06:35:00Z,22.42,23.16
2024-12-14T08:07:55Z,22.48,23.42
2024-12-14T09:39:57Z,22.48,23.67
2024-12-14T12:46:08Z,22.48,24.16
2024-12-14T14:19:05Z,22.48,24.4
2024-12-14T15:51:17Z,23.98,24.62
2024-12-14T17:22:44Z,20.98,24.84
2024-12-14T18:57:11Z,24.0,25.07
2024-12-14T20:31:38Z,21.0,25.28
2024-12-15T02:41:27Z,23.98,26.09
2024-12-15T13:31:05Z,25.5,27.34
2024-12-17T13:27:19Z,31.48,31.19
2024-12-17T15:00:16Z,31.48,31.28
2024-12-19T14:56:09Z,32.98,33.47
2024-12-20T14:06:53Z,32.97,34.19
2024-12-22T12:27:08Z,34.48,35.2
2024-12-22T14:00:05Z,34.48,35.22
2024-12-24T12:20:18Z,34.48,35.79
2024-12-24T13:53:15Z,34.48,35.8
2024-12-25T11:30:36Z,35.73,35.96
2024-12-26T13:45:25Z,35.98,36.06
2024-12-27T08:17:17Z,35.98,36.09
2024-12-27T11:23:02Z,35.72,36.09
2024-12-28T13:37:07Z,34.47,36.07
2024-12-29T15:51:33Z,35.98,35.99
2024-12-29T17:24:31Z,34.48,35.98
2024-12-30T15:01:02Z,34.47,35.87
2025-01-02T17:05:16Z,34.47,35.31
2025-01-03T14:40:50Z,34.48,35.13
2025-01-03T16:13:47Z,34.47,35.11
2025-01-04T16:54:17Z,34.48,34.92
2025-01-04T18:27:14Z,34.48,34.9
2025-01-05T16:02:03Z,34.48,34.76
2025-01-06T18:14:39Z,34.48,34.62
2025-01-08T18:02:48Z,34.48,34.56
2025-01-10T17:50:12Z,34.48,34.75
2025-01-11T15:24:49Z,34.48,34.89
2025-01-11T16:56:47Z,35.47,34.9
2025-01-11T18:28:43Z,34.48,34.92
2025-01-11T20:01:40Z,34.48,34.93
2025-01-12T17:35:28Z,34.48,35.1
2025-01-13T16:42:20Z,34.48,35.31
2025-01-14T17:21:05Z,32.48,35.52
2025-01-14T18:53:02Z,34.48,35.53
2025-01-15T16:26:54Z,35.98,35.71
2025-01-16T18:37:03Z,34.47,35.89
2025-01-20T02:38:47Z,35.98,36.16
2025-01-20T05:43:11Z,35.97,36.16
2025-01-20T08:47:20Z,35.98,36.16
2025-01-20T14:57:12Z,35.98,36.15
2025-01-20T18:01:35Z,35.98,36.15
2025-01-21T17:05:27Z,35.98,36.09
2025-01-21T18:37:39Z,34.48,36.08
2025-01-24T18:53:14Z,34.47,35.45
2025-01-24T20:25:26Z,35.97,35.43
2025-01-27T19:05:50Z,32.98,33.93
2025-01-29T18:43:26Z,31.48,32.14
2025-01-29T20:14:08Z,29.98,32.07
2025-01-30T20:48:15Z,28.48,30.76
2025-01-30T22:21:57Z,29.98,30.67
2025-02-06T15:38:02Z,15.0,16.86
2025-02-06T17:10:59Z,15.0,16.9
2025-02-06T18:42:26Z,15.0,16.96
2025-02-06T21:46:50Z,15.0,17.1
2025-02-06T23:19:02Z,16.5,17.19
2025-02-07T00:51:13Z,14.98,17.28
2025-02-07T02:23:25Z,16.48,17.38
2025-02-07T06:59:47Z,14.98,17.72
2025-02-07T14:40:18Z,16.5,18.42
2025-02-07T16:12:31Z,17.98,18.58
2025-02-07T17:44:43Z,16.48,18.74
2025-02-07T19:17:40Z,16.48,18.91
2025-02-07T20:49:07Z,16.48,19.07
2025-02-08T01:25:43Z,17.98,19.6
2025-02-08T02:57:10Z,17.98,19.78
2025-02-08T04:29:22Z,19.5,19.96
2025-02-08T06:01:34Z,18.0,20.15
2025-02-08T07:33:39Z,18.0,20.34
2025-02-08T10:38:06Z,18.1,20.71
2025-02-08T12:10:06Z,19.5,20.91
2025-02-08T13:42:18Z,20.98,21.1
2025-02-08T15:14:30Z,19.5,21.29
2025-02-08T16:46:42Z,21.0,21.48
2025-02-08T19:51:06Z,21.0,21.87
2025-02-09T21:55:58Z,24.0,25.0
2025-02-09T23:27:25Z,24.0,25.17
2025-02-10T20:56:00Z,26.98,27.38
2025-02-10T22:27:28Z,27.0,27.52
2025-02-11T22:58:32Z,29.98,29.57
2025-02-12T20:25:18Z,31.47,31.01
2025-02-12T21:57:29Z,29.98,31.1
2025-02-13T22:27:08Z,32.98,32.41
2025-02-13T23:59:20Z,31.48,32.48
2025-02-14T21:25:28Z,32.98,33.38
2025-02-16T20:50:22Z,34.48,34.81
2025-02-17T22:50:30Z,34.48,35.35
2025-02-19T22:13:39Z,35.97,35.99
2025-02-19T23:45:05Z,35.98,36.01
2025-02-20T21:08:49Z,35.98,36.17
2025-02-22T20:28:27Z,35.98,36.31
2025-02-23T23:57:02Z,35.98,36.27
2025-02-24T21:18:28Z,36.15,36.17
2025-02-25T23:14:38Z,34.48,35.98
2025-02-26T20:35:43Z,35.98,35.77
2025-02-26T22:07:10Z,35.98,35.75
2025-02-27T22:30:49Z,34.48,35.43
2025-02-28T00:02:16Z,34.48,35.41
2025-02-28T22:54:13Z,34.48,35.05
2025-03-01T23:15:46Z,34.48,34.6
2025-03-02T20:35:47Z,34.48,34.16
2025-03-02T22:07:14Z,34.48,34.13
2025-03-03T22:28:37Z,32.98,33.59
2025-03-04T00:00:04Z,32.98,33.56
2025-03-04T21:18:36Z,32.98,33.08
2025-03-04T22:50:03Z,32.98,33.05
2025-03-05T09:30:11Z,32.98,32.83
2025-03-05T11:01:38Z,32.98,32.79
2025-03-06T22:01:36Z,31.48,32.18
2025-03-07T22:21:32Z,31.5,31.94
2025-03-08T22:41:13Z,31.48,31.89
2025-03-09T23:00:40Z,31.48,32.06
2025-03-10T00:32:07Z,31.48,32.08
2025-03-10T21:48:46Z,31.48,32.38
2025-03-11T22:07:20Z,31.48,32.85
2025-03-11T23:37:17Z,31.48,32.88
2025-03-14T00:10:20Z,32.98,33.99
2025-03-14T22:53:41Z,32.98,34.5
2025-03-16T21:49:10Z,34.48,35.4
2025-03-18T20:40:39Z,35.98,36.04
2025-03-18T22:10:38Z,35.98,36.05
2025-03-19T23:49:59Z,36.17,36.28
2025-03-20T20:55:15Z,34.48,36.42
2025-03-20T22:27:27Z,35.98,36.42
2025-03-22T22:36:27Z,35.98,36.55
2025-03-23T01:36:21Z,35.98,36.55
2025-03-23T03:07:03Z,37.48,36.55
2025-03-23T04:37:55Z,35.05,36.55
2025-03-23T10:37:15Z,35.98,36.55
