from,to,via,message
JS1YKP,JS1YKP,JS1YPT,ThisisCHIBATech
JI1IZR,CQ,JS1YPT,､ello2ViaBOTAN
JS1YKP,JS1YKP,JS1YPT,ThisisCHIBATech
JI1IZR,CQ,JS1YPT,､ello2ViaBOTAN
JI1IZR,CQ,JS1YPT,Hello2ViaBOTAN
JI1IZR,CQ,JS1YPT,=3521.10N\13919.37ESHelloViaBOTAN
JI1IZR,CQ,JS1YPT,:SAT:HellofromPM95piViaBOTAN
JI1IZR,CQ,JS1YPT,:SAT:HellofromPM95piViaBOTAN
JH4XSY-1,APRS,JS1YPT,>QM06
JR7IMN,T0TYT6,JS1YPT,`DHl-/`BOTANThankyou_1
JI1IZｪ,JH4XSY,JS1YPT,HelloViaBOTAN
JI1IZR,JH4XSY,JS1YPT,HelloViaBOTANUR599
JI1IZR,JH4XSY,JS1YPT,HelloｦiaBOTANUR599
JR7IMN,T0TYT6,JS1YPT,`DHl-/`BOTANThankyou_1
JR7IMN,T0TY,JS1YPT,`DHl-/`BOTANThankyou_1
JI1IZR,JR7IMN,JS1YPT,HelloViaBOTANUR599
JS1YKP,JS1YKP,JS1YPT,ThisisCHIBATech
WA7DRE-10,APMI06,ARISS,@021240z4741.15N/11727.48W`WADigitaldioEnthusiastssat-gatehttp://wa7dre.org/digipeater
HS6KLJ-1,APE32A,"ARISS,WIDE2-2",")BanPaLao!/Ehn7gdxB`!!_Saｻankhak,Sukhothai"
E24TVS-2,AESPG4,,
JR7IMN,T0TYT6,JS1YPT,`DHl-/`AomoriQN00_1
JR7IMN,T0TYT6,JS1YPT,`DHl-/`AｷmoriQN00_1
JI1IZR,CQ,JS1YPT,:SAT:HellofromPM95piViaBOTAN
WA7DRE-10,APMI06,RS0ISS,@081039z4741.15N/11727.48W`WADigitaladioEnthusiastssat-gatehttp://wa7dre.org/digipeater
CE3QC-1,APRS,"ARISS,DP0SNX,WIDE2-2",=3339.45S\07035.90WS73Viaatellite
ZP6LMK,APK004,"WIDE1-1,WIDE2-1",")HOME_2516.S\058310WSGreetinfromGg14fr,LuqueCity,Paraguay"
JG6ﾙOG,CQ,"RS0ISS,NA1SS",:12185315wd135/ws1.73g0.00t5.69
JG6YOG,CQ,"RS0ISS,NA1SS",:12185335wd135ws1.66g0.00t5.69
JG6YOG,CQ,"RS0ISS,NA1SS",:12185355wd135/ws1.08g0.00t5.9
JH4DHX-3,CQ,JS1YPT,
JH4DHX-3,CQ,JS1YPT,
JH4DHX-3,CQ,JS1YPT,ｺf1ptugeur599
JH4DHX-3,CQ,JS1YPT,Jﾆ1PTUGEUR599
JH4DHX3,CQ,JS1YPT,"Hello!DEJH4DHX/Takatsuki-city,Osaka74TU.v(^^)"
JH4DHX-3,CQ,JS1YPT,HELLO!VIABOTANv(^ｮ)
JH4DHX-3,CQ,JS1YPT,
JH4DHX-3,CQ,JS1YPT,JF1PTUGEUR599QSL?
JHDHX-3,CQ,JS1YPT,TNXFBQSO!73'sv(^^)
JR7IMN,T0TYT6,JS1YPT,`DHl-/`BOTNThankyou_1
JR7IMN,T0TYT6,JS1YPT,`DHl-/`Hello!viaBOTAN_1
JR7IMN,T0TYT6,JS1YPT,`DHl-/`Hello!viaBOTAN_1
JI1IZR,CQ,JS1YPT,=3521.10N\13919.37ESHelloViaBOTAN
JI1IZR,CQ,JS1YPT,:JR7IMN:HellofromPM95piViaBOTAN
KC5ILO-10,3S3U2X,"DP0SNX,RS0ISS",`{[|l>/]5=}=
KC5ILO-10,3S3U2X,"RS0ISS,DP0SNX",`{[|l>/]5<}=
KC5ILO-10,3S3U2X,"RS0ISS,DP0SNX",`{[|l>/]5<}=
KC5ILO-10,3S3U2X,"RS0ISS,DP0SNX",`{[|l/]5>}=
LW3HBV-6,APE32I,"WIDE1-1,WIDE2-1",/16081z3124.97S/06411.77W`PHG507ｳfromFF78VObyLW3HBVSatGate
JR7IMN,T0TYT6,JS1YPT,`DHl-/`Hello!viaBOTANQN00_1
JR7IMN,T0TYｪ6,JS1YPT,`DHl-/`Hello!viaBOTANQN00_1
JR7IMN,T0TYT6,JS1YPT, DHl-/`Hello!viaBOTANQN00_1
JR7IMN,APY300,JS1YPT,:JI1IZR:599QN00ThxGoodevening73!
JR7IMN,APY300,JS1YPT,:JI1IZR:599QN00ThxGoodevening73!
JR7IMN,T0TYT6,JS1YPT,`DHl-/`Hello!viaBOTAN_1
JR7IMN,T0TYT6,JS1YPT,`DHl-/`Hello!viaBOTAN_1
JI1IZR,CQ,JS1YPT,=3521.10N\13919.37ESHelloViaBOTAN
JI1IZR,CQ,JS1YPT,:JR7IMN:HellofromPM95piViaBOTAN
JI1IZR,CQ,JS1YPT,HelloｪiaBOTANUR599
JI1IZR,CQ,JS1YPT,=3521.10N\13919.37ESHelloViaBOTAN
KC5ILO-10,3S3U2X,"DP0SNX,RS0ISS",`{[|l>/]5=}=
KC5ILO-10,3S3U2X,"RS0ISS,DP0SNX",`{[|l>/]5<}=
KC5ILO-10,3S3U2X,"RS0ISS,DP0SNX",`{[|l/]5>}=
LW3HBV-6,APE32I,"WIDE1-1,WIDE2-1",/16081z3124.97S/06411.77W`PHG507ｳfromFF78VObyLW3HBVSatGate
JR7IMN,T0TYT6,JS1YPT,`DHl-/`Hello!viaBOTANQN00_1
JR7IMN,APY300,JS1YPT,:JI1IZR:599QN00ThxGoodevening73!
JR7IMN,APY300,JS1YPT,:JI1IZR:599QN00ThxGoodevening73!
JR7IMN,T0TYT6,JS1YPT,`DHl-/`Hello!viaBOTAN_1
JR7IMN,T0TYT6,JS1YPT,`DHl-/`Hello!viaBOTAN_1
KC5ILO-10,3S3U2X,"DP0SNX,RS0ISS",`{[|l>/]5=}=
KC5ILO-10,3S3U2X,"RS0ISS,DP0SNX",`{[|l>/]5<}=
KC5ILO-10,3S3U2X,"RS0ISS,DP0SNX",`{[|l>/]5<}=
LW3HBV-6,APE32I,"WIDE1-1,WIDE2-1",/16081z3124.97S/06411.77W`PHG
JR7IMN,T0TYT6,JS1YPT,`DHl-/`Hello!viaBOTANQN00_1
JR7IMN,T0TYｪ6,JS1YPT,`DHl-/`Hello!viaBOTANQN00_1
JR7IMN,T0TYT6,JS1YPT, DHl-/`Hello!viaBOTANQN00_1
JR7IMN,APY300,JS1YPT,:JI1IZR:599QN00ThxGoodevening73!
JR7IMN,APY300,JS1YPT,:JI1IZR:599QN00ThxGoodevening73!
BG5JNL-10,RYTPR9,,`+T~l#Gr/`5&}JiangXiJiuJiangｿ)
JR7IMN,T0TYT6,JS1YPT,`DHl-/`Hello!via OTAN_1
JR7IMN,T0TYT6,JS1YPT,`DHl-/`Hello!viaBOTAN_1
JR7IMN-7,T0TYZL,JS1YPT,`DHnllb/`3r}Hello!UsingFT5Dandmobewhip_3
