day,n,n_lit,n_valid,n_eclipse,r_B,k_B,lag_min,r_B_lag0,dTz_std,dTz_mean,sw_z,sw_y,both_z_lit,shadow_agree,beta_deg,ecl_dur_meas,ecl_dur_model,theta_eff_deg
0,598,454,598,7,0.6021,16.4733,3.0,0.5143,7.4037,2.3448,11.5918,10.9227,0.3177,0.9866,-56.584,25.3405,26.4682,109.3461
1,437,302,437,5,0.745,18.3004,4.5,0.5927,7.2163,3.0485,11.6494,8.1274,0.2769,0.9954,-54.8719,26.97,27.5646,111.5933
2,310,214,310,4,0.7211,24.6025,3.0,0.6842,9.7598,1.65,11.6633,12.4944,0.2839,0.9839,-52.285,28.3458,28.8595,119.6532
3,127,82,127,1,0.8583,25.4831,4.5,0.6847,9.2724,1.5111,11.2081,7.5427,0.315,0.9921,-49.2303,28.6833,30.0529,120.8277
4,103,67,102,1,0.8212,22.1065,4.5,0.5451,10.3156,8.9341,6.3356,6.041,0.233,0.9804,-46.8021,29.3,30.876,116.3948
5,107,72,0,0,,,0.0,,9.4244,5.2757,8.5294,9.346,0.3645,,-42.1826,,,
6,121,78,121,1,0.7102,18.2864,1.5,0.6583,10.2393,4.7706,11.5111,15.4426,0.3388,1.0,-36.4463,32.5,33.3963,111.576
8,117,75,0,0,,,0.0,,11.5647,10.4532,8.4932,7.7983,0.4017,,-31.1696,,,
9,126,84,126,2,0.7818,24.9171,4.5,0.5685,12.4533,2.5352,4.9638,6.2165,0.381,0.9762,-24.984,33.2,34.9484,120.0712
10,120,74,120,2,0.7065,7.3835,3.0,0.6043,4.9001,12.0962,6.8262,9.1849,0.275,1.0,-19.4837,34.8333,35.4059,98.5388
11,1,1,0,0,,,0.0,,0.0,11.16,,,1.0,,-15.6097,,,
12,82,51,0,0,,,0.0,,3.8592,13.4739,11.8545,11.7379,0.2195,,-13.0809,,,
14,125,74,125,1,-0.9062,-32.199,3.0,-0.7951,16.8844,14.0168,15.5705,9.5741,0.368,0.992,-1.4001,35.7167,36.072,49.6457
16,101,56,101,2,-0.9115,-35.6346,4.5,-0.7175,19.5297,10.8123,6.3133,14.923,0.396,1.0,3.901,35.9833,36.0514,
17,3,3,0,0,,,0.0,,19.7134,0.8267,,,1.0,,9.45,,,
18,149,80,149,1,-0.957,-44.524,4.5,-0.7081,20.8833,9.2983,5.9255,6.0363,0.3758,0.9933,12.4802,36.1167,35.8455,26.4446
19,78,48,78,1,-0.9213,-40.7711,4.5,-0.696,22.1479,9.6464,4.2228,,0.4231,1.0,15.3377,35.4,35.6871,
20,110,70,110,1,-0.9376,-42.7408,6.0,-0.6855,22.252,6.422,6.9065,14.8739,0.4545,1.0,19.1945,36.0333,35.4632,30.739
21,63,46,0,0,,,0.0,,21.668,0.9784,5.0485,,0.6032,,22.8074,,,
22,97,61,97,1,-0.9343,-42.0476,3.0,-0.7672,16.4967,2.4067,7.1585,16.4903,0.4021,1.0,26.0497,34.1833,34.8755,32.2675
23,88,37,88,1,-0.8263,-35.1274,1.5,-0.7728,13.6838,5.0785,4.3633,,0.25,1.0,28.9135,34.8667,34.5559,
24,126,84,126,2,-0.9322,-49.2361,3.0,-0.8193,19.9927,-2.394,8.3747,21.9876,0.4127,0.9921,31.3037,33.3083,34.2588,8.0589
25,115,71,115,2,-0.9303,-41.9782,0.0,-0.9303,17.5384,-0.9059,2.1307,19.3993,0.487,1.0,32.5341,34.1917,34.0835,32.4169
26,126,75,126,1,-0.9308,-48.8804,0.0,-0.9308,18.7318,2.1682,8.3459,18.8797,0.4206,1.0,34.0131,32.75,33.8667,10.589
27,233,143,233,2,-0.7551,-38.3284,1.5,-0.7466,19.4788,1.7208,3.8509,10.2068,0.4592,0.9914,34.9777,33.3167,33.7334,39.5766
28,328,201,328,4,-0.6799,-37.511,3.0,-0.6351,19.8041,0.7703,2.186,10.3291,0.5,0.9939,35.0979,33.825,33.7006,41.0326
29,78,61,0,0,,,0.0,,25.2701,10.3236,4.7552,10.8593,0.4615,,34.6621,,,
30,3,0,0,0,,,0.0,,1.1188,7.1067,,,,,33.4134,,,
31,46,32,0,0,,,0.0,,21.1587,2.6791,,,0.587,,31.9306,,,
32,84,55,0,0,,,0.0,,23.2,4.5339,4.0433,,0.5,,30.0364,,,
33,116,68,0,0,,,0.0,,24.2886,-1.9042,1.762,1.0458,0.3793,,26.6481,,,
34,121,75,121,1,-0.8692,-42.0068,6.0,-0.4375,20.454,7.0698,1.0811,3.3652,0.4132,0.9917,24.1998,36.2,35.1096,32.3554
36,27,22,0,0,,,0.0,,23.8676,20.4937,,,0.7037,,18.8576,,,
37,164,110,122,1,-0.9134,-45.7005,0.0,-0.9134,24.1434,7.9973,2.6266,12.2025,0.5061,1.0,13.2335,34.8833,35.8897,23.2164
38,470,282,470,2,-0.8155,-45.2789,3.0,-0.6719,24.6594,13.0693,3.6219,17.3721,0.4277,0.9915,10.294,36.275,35.9678,24.4191
39,37,16,37,0,,,0.0,,21.7475,9.8678,,,0.2432,0.973,3.8818,,,
40,629,393,629,4,-0.7931,-41.6862,3.0,,24.8514,16.3927,3.655,13.5007,0.4626,0.9936,1.428,35.4,36.1288,33.0393
41,538,325,478,2,-0.7671,-40.2617,1.5,-0.7184,24.6529,17.2512,2.3852,8.7001,0.4591,0.9812,-2.9554,35.1083,36.0972,35.9382
42,251,157,251,2,-0.7799,-42.6012,4.5,-0.5515,26.6742,21.2648,2.5954,12.3384,0.4343,0.988,-6.1013,35.1667,36.0826,31.0522
43,126,72,126,1,-0.8462,-48.0321,6.0,-0.4864,25.6058,23.5767,6.3899,9.4964,0.3968,1.0,-10.6944,34.7167,35.9538,15.0032
44,176,98,98,1,-0.6826,-27.4072,6.0,-0.1753,24.6645,27.7919,1.4953,4.0996,0.3807,0.9796,-16.6671,32.75,35.5601,56.554
45,111,73,0,0,,,0.0,,22.8034,31.2763,1.8556,3.6695,0.5045,,-21.8579,,,
46,120,80,120,2,-0.8384,-30.9929,4.5,-0.4002,24.2574,35.4763,1.6055,2.758,0.4833,0.9917,-26.1663,33.2167,34.9385,51.4455
47,71,49,0,0,,,0.0,,23.2092,37.213,4.2419,,0.5211,,-31.3045,,,
48,214,145,214,1,-0.6254,-21.4408,0.0,-0.6254,22.1552,38.1406,2.9745,11.4822,0.472,0.6495,-37.1292,30.5167,33.3886,64.4583
49,128,92,128,2,-0.7234,-28.5914,1.5,-0.7225,21.41,42.5054,13.2356,14.7258,0.4609,0.9531,-42.8714,27.8333,32.2383,54.9029
50,73,50,73,0,0.5509,26.5759,9.0,-0.5436,20.1144,42.0942,9.1752,14.9051,0.3699,0.9315,-48.0542,,,
