day,date_utc,beta_deg,sunlit_fraction,alt_km,raan_deg,sB_mean_sunlit,q_sun_bp,q_sun_bm,q_sun_side,q_alb_bp,q_alb_bm,q_alb_side,F_bp,F_bm,F_side
0,2025-10-10,-56.50066,0.71979,412.52031,93.55409,-0.28416,0.00455,0.28871,0.19681,0.12268,0.01004,0.05561,0.34589,0.38163,0.31648
1,2025-10-11,-54.64098,0.70833,412.52031,88.5875,-0.26623,0.00891,0.27514,0.19279,0.12203,0.01578,0.05907,0.34583,0.38167,0.31649
2,2025-10-12,-52.13035,0.69948,412.52031,83.6209,-0.24828,0.01625,0.26453,0.1889,0.12142,0.02324,0.06337,0.34579,0.38169,0.3165
3,2025-10-13,-49.09667,0.68438,412.52031,78.6543,-0.22939,0.02577,0.25515,0.1827,0.12074,0.03211,0.06821,0.34577,0.3817,0.3165
4,2025-10-14,-45.65659,0.67448,412.52031,73.68771,-0.21034,0.03677,0.24711,0.17784,0.11983,0.04206,0.07332,0.34576,0.38168,0.3165
5,2025-10-15,-41.90777,0.66406,412.52031,68.72111,-0.19112,0.0483,0.23942,0.17272,0.11853,0.05281,0.07848,0.34576,0.38165,0.31651
6,2025-10-16,-37.92851,0.65469,412.49095,63.7546,-0.1706,0.06091,0.2315,0.16803,0.11672,0.06406,0.08348,0.34578,0.38162,0.31652
8,2025-10-18,-29.51172,0.6401,411.42742,53.82079,-0.12684,0.08788,0.21472,0.16083,0.11126,0.08723,0.09254,0.34596,0.38171,0.31675
9,2025-10-19,-25.16048,0.63542,410.82354,48.85181,-0.10398,0.10183,0.2058,0.15898,0.10748,0.09876,0.09636,0.34605,0.38177,0.31688
10,2025-10-20,-20.75876,0.63125,410.27608,43.88093,-0.08057,0.1157,0.19628,0.15765,0.10298,0.11003,0.0996,0.34613,0.38183,0.317
11,2025-10-21,-16.33533,0.62865,409.77766,38.90972,-0.05598,0.12972,0.18571,0.15696,0.0978,0.1209,0.10222,0.34618,0.38189,0.31711
12,2025-10-22,-11.91392,0.62656,409.29681,33.93708,-0.03218,0.14316,0.17533,0.1563,0.09203,0.13126,0.10418,0.34623,0.38197,0.31721
14,2025-10-24,-3.16805,0.62448,408.33435,23.98687,0.01579,0.16856,0.15278,0.1551,0.07899,0.14992,0.10606,0.34636,0.38215,0.31741
16,2025-10-26,5.29405,0.62344,407.44362,14.03227,0.06114,0.1906,0.12946,0.15372,0.06459,0.16535,0.10531,0.34657,0.38229,0.31757
17,2025-10-27,9.35629,0.62344,407.03473,9.05318,0.08195,0.20002,0.11807,0.15335,0.05717,0.17173,0.10404,0.3467,0.38233,0.31765
18,2025-10-28,13.2682,0.625,406.58067,4.07254,0.10098,0.20842,0.10743,0.15368,0.04978,0.1772,0.10226,0.34688,0.38234,0.31773
19,2025-10-29,16.99635,0.625,406.09175,359.09127,0.11842,0.21534,0.09692,0.15388,0.04256,0.18179,0.10005,0.3471,0.38233,0.31782
20,2025-10-30,20.50425,0.62813,405.59044,354.10774,0.13496,0.22194,0.08698,0.15532,0.03564,0.18553,0.09751,0.34736,0.38228,0.31792
21,2025-10-31,23.74867,0.62917,405.09615,349.12337,0.14841,0.22666,0.07825,0.15616,0.02918,0.18848,0.09474,0.34765,0.38219,0.31801
22,2025-11-01,26.68346,0.63177,404.62586,344.13826,0.15978,0.23054,0.07076,0.15765,0.02331,0.19073,0.09188,0.34796,0.38205,0.31811
23,2025-11-02,29.25883,0.63333,404.19731,339.15186,0.16895,0.23311,0.06416,0.15889,0.01816,0.19236,0.08906,0.3483,0.38186,0.31819
24,2025-11-03,31.42239,0.63438,403.76274,334.16516,0.17641,0.23499,0.05859,0.15992,0.01383,0.19351,0.08644,0.34865,0.38164,0.31828
