session,downlink_date,pakt_num,time_s,qi,qj,qk,qw,qnorm_raw,wx,wy,wz,wmag,ax,ay,az,sap_xm,sap_yp,sap_ym,sap_zp,sap_zm
20251012_boot,2025-10-12,0,6,0.127319,-0.670471,-0.075012,0.727051,16383.76653886401,,,,,0,0,0,1678,8,83,3257,16
20251012_boot,2025-10-12,1,7,0.237183,-0.677063,0.006287,0.696655,16384.311093237946,15.952,-0.757,-1.839,16.075,0,0,0,437,8,79,3259,18
20251012_boot,2025-10-12,2,8,0.368286,-0.648865,0.108154,0.656982,16383.863921554037,19.566,1.856,-2.791,19.851,0,0,0,12,9,93,3287,18
20251012_boot,2025-10-12,3,10,0.452332,-0.569763,0.216125,0.651245,16384.52706061423,7.821,4.541,-0.697,9.071,0,0,0,11,9,100,3286,635
20251012_boot,2025-10-12,4,11,0.553406,-0.499756,0.293274,0.598267,16383.560724091696,17.128,3.274,-3.171,17.724,0,0,0,12,9,54,3285,1586
20251012_boot,2025-10-12,5,13,0.635193,-0.4151,0.356506,0.545105,16384.11706501147,7.749,2.017,-1.972,8.247,0,0,0,12,66,13,3286,2257
20251012_boot,2025-10-12,6,14,0.686157,-0.328613,0.423157,0.492065,16383.905303681415,13.788,5.665,-2.396,15.097,0,0,0,109,982,13,3285,2196
20251012_boot,2025-10-12,7,16,0.750488,-0.251038,0.441406,0.422913,16383.566461549206,6.774,0.043,-2.075,7.085,0,0,0,1629,1185,13,3282,1275
20251012_boot,2025-10-12,10,20,0.716064,-0.115112,0.620239,0.298828,16383.951904226282,5.315,5.092,1.073,7.438,0,0,0,453,9,91,3260,16
20251012_boot,2025-10-12,11,21,0.723206,-0.08374,0.634583,0.259277,16383.659481324677,5.912,1.223,0.634,6.07,0,0,0,13,9,91,3257,17
20251012_boot,2025-10-12,12,23,0.7229,-0.054626,0.652527,0.220703,16384.575002117082,2.74,1.003,0.464,2.954,0,0,0,12,9,95,3255,16
20251012_boot,2025-10-12,13,24,0.724304,-0.024414,0.665222,0.179688,16384.169982028383,5.774,1.455,0.877,6.019,0,0,0,12,9,22,3279,207
20251012_boot,2025-10-12,14,26,0.723816,0.008057,0.675842,0.138977,16384.424402462235,2.938,0.737,0.314,3.045,0,0,0,12,37,13,3278,1595
20251012_boot,2025-10-12,15,27,0.72644,0.040833,0.679443,0.094482,16383.616603180142,6.271,0.659,0.788,6.354,0,0,0,11,205,14,3277,2394
20251012_boot,2025-10-12,16,29,0.719666,0.078003,0.688477,0.045044,16384.26101476658,3.449,0.957,0.411,3.603,0,0,0,968,12,14,3275,2245
20251012_boot,2025-10-12,17,30,-0.721008,-0.120117,-0.682312,0.011169,16383.635829692992,8.027,0.106,0.943,8.083,0,0,0,2132,9,27,3274,1071
20251012_boot,2025-10-12,18,32,-0.707764,-0.170593,-0.681458,0.074463,16383.676815660152,4.608,0.887,0.299,4.702,0,0,0,2124,8,110,3246,16
20251012_boot,2025-10-12,19,33,-0.685547,-0.228699,-0.67511,0.148132,16383.951995779284,10.843,2.168,0.661,11.077,0,0,0,1006,9,123,3247,15
20251012_boot,2025-10-12,20,35,-0.650208,-0.297668,-0.659668,0.231262,16384.16683875015,6.449,1.267,0.175,6.575,0,0,0,12,9,117,3248,16
20251012_boot,2025-10-12,21,36,-0.598083,-0.373718,-0.633423,0.318481,16384.197813747243,14.564,2.953,-0.156,14.861,0,0,0,12,8,13,3245,16
20251012_boot,2025-10-12,22,37,-0.532227,-0.454163,-0.584656,0.410706,16384.247404137914,16.712,2.46,0.141,16.892,0,0,0,13,1004,13,3243,17
20251012_boot,2025-10-12,23,39,-0.447021,-0.532654,-0.512268,0.503967,16383.589441877502,9.405,1.232,0.218,9.488,0,0,0,12,1883,13,3270,18
20251012_boot,2025-10-12,24,40,-0.335754,-0.600952,-0.420776,0.59082,16383.96633907675,20.582,3.22,0.093,20.833,0,0,0,12,2166,12,3266,989
20251012_boot,2025-10-12,25,42,-0.21051,-0.656128,-0.293091,0.662781,16383.991760251834,11.427,1.181,0.688,11.509,0,0,0,746,1731,12,3266,1504
20251012_boot,2025-10-12,26,43,-0.066101,-0.688599,-0.143677,0.707642,16383.484519478754,24.565,2.169,1.223,24.691,0,0,0,1907,551,12,3266,1315
20251012_boot,2025-10-12,27,45,0.090881,-0.685547,0.022827,0.721985,16384.140563361874,13.078,1.363,0.693,13.167,0,0,0,2288,9,54,3264,442
20251012_boot,2025-10-12,28,46,0.248962,-0.641785,0.195801,0.698425,16384.04647820556,27.288,3.188,1.513,27.515,0,0,0,1738,7,147,3234,16
20251012_boot,2025-10-12,29,48,0.398499,-0.555786,0.363098,0.632812,16383.9281614636,14.184,1.756,0.713,14.31,0,0,0,358,11,148,3236,17
20251020,2025-10-20,0,6,0.089294,-0.655762,0.01825,0.749451,16384.051605143337,,,,,0,0,0,101,9,123,2891,112
