day,battery_v_median,battery_v_min,battery_v_max,battery_i_median,battery_temp_median,x_plus_temp_median,x_minus_temp_median,y_plus_temp_median,y_minus_temp_median,z_plus_temp_median,z_minus_temp_median,cigs_temp_median,source_v_median
0,4.250000,4.050000,4.250000,0.032800,10.870000,6.810000,7.380000,3.830000,12.595000,15.010000,11.475000,12.630000,4.920000
1,4.250000,4.070000,4.280000,0.045400,10.520000,6.480000,6.810000,3.320000,11.310000,13.890000,11.310000,11.570000,5.030000
2,4.250000,4.070000,4.250000,0.045400,9.090000,2.705000,3.040000,-0.290000,5.915000,10.190000,5.185000,8.340000,5.000000
3,4.250000,4.070000,4.250000,0.039100,8.730000,2.760000,2.310000,-1.080000,7.600000,9.400000,6.810000,8.340000,4.980000
4,4.250000,4.070000,4.250000,0.048500,8.730000,-2.210000,-2.550000,-3.120000,-4.140000,10.190000,-5.610000,8.080000,4.490000
5,4.250000,4.000000,4.250000,0.026400,8.010000,3.430000,2.310000,0.160000,5.240000,10.750000,7.490000,8.870000,4.800000
6,4.250000,4.100000,4.250000,0.035900,7.280000,3.660000,3.890000,0.500000,9.400000,10.070000,11.420000,8.340000,5.000000
8,4.250000,4.070000,4.250000,0.032800,7.650000,0.050000,-0.060000,-0.970000,0.730000,8.950000,1.180000,7.340000,4.900000
9,4.250000,4.070000,4.250000,0.023300,5.610000,-0.175000,-0.460000,-3.345000,3.715000,4.450000,6.080000,4.240000,4.950000
10,4.250000,4.070000,4.250000,0.053250,7.650000,4.055000,3.325000,5.520000,2.815000,13.155000,4.620000,10.450000,5.000000
11,4.250000,4.250000,4.250000,-0.065100,5.040000,-4.250000,-0.060000,-3.690000,-2.330000,10.190000,-0.970000,7.100000,5.180000
12,4.230000,4.070000,4.250000,0.028000,7.650000,-1.030000,-2.210000,-1.420000,-3.630000,11.535000,-2.835000,10.000000,4.485000
14,4.230000,4.070000,4.250000,0.042200,7.650000,1.970000,2.080000,0.950000,0.840000,16.460000,-7.770000,14.590000,4.850000
16,4.230000,4.070000,4.250000,0.032800,7.280000,-0.400000,-3.460000,-3.350000,-2.670000,13.100000,-9.700000,11.570000,4.460000
17,4.200000,4.200000,4.250000,-0.191300,5.040000,-3.690000,-4.930000,-7.770000,-1.650000,12.650000,-12.780000,3.210000,4.460000
18,4.200000,4.070000,4.250000,0.097400,7.280000,-4.425000,-6.180000,-6.410000,-6.235000,5.575000,-12.605000,6.630000,4.430000
19,4.250000,3.940000,4.250000,0.017000,7.280000,0.270000,0.050000,2.310000,3.660000,19.590000,-11.640000,17.370000,4.900000
20,4.250000,4.070000,4.250000,0.028000,6.910000,3.210000,0.895000,0.840000,2.025000,18.030000,-9.020000,16.390000,4.920000
21,4.250000,4.100000,4.250000,0.010700,7.280000,10.190000,12.210000,9.060000,11.530000,18.140000,-0.520000,15.460000,4.950000
22,4.230000,4.070000,4.250000,0.023300,6.910000,-1.990000,-3.460000,-4.370000,-3.460000,1.070000,-11.410000,1.780000,4.490000
23,4.135000,4.020000,4.250000,0.297800,7.280000,-5.670000,-8.110000,-6.520000,-9.250000,-4.765000,-12.660000,-1.090000,3.890000
24,4.250000,4.070000,4.250000,0.029600,5.420000,3.265000,4.790000,3.375000,4.340000,7.095000,-6.405000,5.405000,4.980000
25,4.250000,4.070000,4.250000,0.026400,5.420000,2.870000,4.560000,2.980000,5.130000,6.360000,-5.730000,5.510000,4.900000
26,4.230000,4.070000,4.250000,0.023300,5.800000,0.670000,0.270000,0.050000,2.195000,5.745000,-5.275000,5.080000,4.590000
27,4.230000,4.020000,4.250000,0.023300,6.910000,2.705000,2.025000,1.915000,2.365000,4.395000,-4.365000,4.660000,4.460000
28,4.250000,4.050000,4.250000,0.020100,7.280000,3.660000,5.130000,4.110000,6.140000,8.610000,-3.350000,7.830000,4.820000
29,4.250000,4.070000,4.250000,0.017000,6.910000,6.085000,7.265000,7.600000,7.035000,18.975000,-3.065000,16.870000,5.000000
30,4.100000,4.100000,4.100000,0.231600,10.160000,8.610000,7.260000,8.390000,6.360000,7.150000,-0.630000,10.300000,3.820000
31,4.250000,4.070000,4.250000,0.017000,8.010000,7.205000,8.445000,9.010000,8.555000,17.800000,0.955000,16.390000,4.845000
32,4.250000,4.100000,4.250000,0.020100,7.650000,6.810000,7.150000,8.220000,6.305000,18.360000,0.220000,15.920000,4.900000
33,4.230000,4.070000,4.250000,0.020100,6.910000,0.215000,1.235000,2.705000,0.215000,7.885000,0.390000,8.210000,4.460000
34,4.180000,4.000000,4.250000,-0.014600,7.650000,0.840000,-1.080000,-1.760000,1.400000,8.390000,-4.930000,7.830000,4.460000
36,4.250000,4.120000,4.250000,0.010700,6.540000,1.860000,4.670000,3.660000,6.810000,19.250000,3.770000,15.460000,4.980000
37,4.240000,4.020000,4.250000,-0.019300,7.650000,0.105000,0.730000,2.135000,0.160000,11.870000,3.890000,9.850000,4.730000
38,4.230000,4.050000,4.250000,0.013800,7.650000,-0.180000,0.730000,0.840000,0.500000,12.540000,-1.645000,10.920000,4.460000
39,4.180000,4.070000,4.250000,0.230000,8.010000,-0.515000,-2.160000,0.610000,-4.875000,8.165000,-1.990000,8.000000,3.940000
40,4.250000,3.940000,4.250000,0.013800,8.370000,2.190000,2.870000,3.320000,2.420000,13.605000,0.725000,11.920000,4.610000
41,4.250000,3.940000,4.250000,0.013800,8.370000,1.235000,2.305000,2.025000,2.305000,12.990000,-0.520000,10.920000,4.460000
42,4.230000,4.050000,4.250000,0.017000,8.010000,0.270000,1.745000,0.220000,2.305000,15.570000,-2.725000,12.630000,4.460000
43,4.230000,4.070000,4.250000,0.018550,8.730000,-1.140000,-2.780000,-2.045000,0.950000,17.800000,-5.105000,15.240000,4.460000
44,4.200000,4.070000,4.250000,0.088000,9.090000,-0.400000,-1.985000,-2.045000,-0.970000,15.175000,-4.990000,12.815000,4.445000
45,4.250000,4.070000,4.250000,-0.005100,8.730000,3.550000,1.740000,-0.400000,7.380000,17.020000,-5.950000,15.020000,4.560000
46,4.215000,4.050000,4.250000,-0.002000,9.090000,1.630000,0.500000,-1.705000,5.855000,21.095000,-7.490000,18.960000,4.460000
47,4.250000,4.070000,4.250000,-0.002000,9.090000,3.770000,2.530000,-0.060000,8.160000,20.820000,-10.160000,17.880000,4.490000
48,4.230000,3.970000,4.250000,0.020100,10.870000,7.150000,5.405000,3.265000,10.355000,22.040000,-9.930000,19.530000,4.460000
49,4.250000,4.000000,4.250000,-0.005100,12.795000,7.430000,5.180000,2.085000,10.805000,21.370000,-16.485000,20.410000,4.490000
50,4.250000,4.120000,4.250000,0.032800,15.040000,5.130000,5.010000,2.870000,9.290000,22.260000,-15.170000,18.410000,4.720000
51,4.200000,4.100000,4.250000,0.201550,16.420000,2.135000,-0.910000,-0.405000,1.520000,19.365000,-16.200000,17.400000,4.430000
52,4.250000,4.150000,4.250000,0.039100,19.150000,14.500000,12.710000,8.840000,19.810000,34.305000,-4.705000,34.390000,5.000000
53,4.250000,4.180000,4.250000,0.045400,21.200000,17.240000,16.800000,12.210000,22.710000,40.760000,-3.690000,41.190000,5.030000
54,4.250000,4.230000,4.250000,0.048500,30.720000,23.820000,22.710000,18.360000,28.270000,52.060000,-2.550000,52.320000,5.000000
55,4.250000,4.230000,4.250000,0.045400,31.830000,24.050000,22.040000,17.360000,28.820000,51.240000,-4.310000,52.320000,5.000000
57,4.250000,4.150000,4.250000,0.040650,32.960000,23.820000,20.030000,15.680000,30.820000,63.820000,-1.420000,60.680000,4.900000
58,4.250000,4.200000,4.250000,0.042200,30.720000,21.930000,16.855000,12.540000,28.990000,65.175000,-1.305000,60.680000,4.850000
59,4.250000,4.250000,4.250000,0.051700,20.520000,7.660000,5.515000,0.670000,11.925000,30.265000,-14.885000,28.305000,4.540000
60,4.230000,3.970000,4.250000,0.032800,17.100000,11.650000,6.590000,2.870000,17.800000,40.870000,-9.470000,41.190000,4.460000
61,4.250000,4.120000,4.250000,0.048500,14.700000,8.670000,6.480000,1.860000,13.605000,28.265000,-6.125000,26.660000,4.980000
62,4.230000,3.970000,4.250000,0.039100,12.620000,5.460000,-0.400000,-3.010000,13.770000,44.170000,-11.070000,43.730000,4.460000
63,4.250000,4.050000,4.250000,0.042200,11.230000,2.310000,-1.760000,-4.710000,9.180000,28.160000,-11.750000,27.060000,4.590000
64,4.200000,4.200000,4.200000,-0.244900,8.010000,-4.250000,-4.370000,-7.430000,-3.690000,8.950000,-14.260000,2.390000,4.460000
65,4.250000,4.070000,4.250000,0.039100,9.810000,6.140000,-3.175000,-3.690000,12.540000,21.875000,-9.135000,19.820000,4.920000
66,4.230000,4.070000,4.250000,0.054800,8.730000,5.010000,-5.500000,-5.390000,10.520000,23.490000,-10.730000,21.330000,4.460000
67,4.250000,4.070000,4.250000,0.032800,8.730000,5.800000,-3.460000,-3.230000,10.070000,20.700000,-10.500000,18.960000,4.980000
68,4.250000,4.070000,4.250000,0.035900,8.010000,0.670000,-5.555000,-7.540000,6.925000,20.090000,-11.750000,17.625000,4.885000
69,4.230000,4.070000,4.250000,0.045400,8.730000,-2.100000,-7.200000,-8.450000,-1.650000,9.960000,-12.780000,10.000000,4.460000
70,4.230000,4.070000,4.250000,0.039100,8.730000,1.180000,-4.930000,-6.860000,3.660000,18.030000,-10.270000,15.460000,4.460000
71,4.230000,4.070000,4.250000,0.039100,8.370000,1.740000,-5.160000,-6.290000,3.210000,16.910000,-12.660000,15.460000,4.460000
72,4.250000,4.070000,4.250000,0.032800,7.650000,7.710000,-1.080000,-2.210000,8.390000,19.140000,-11.980000,15.920000,4.690000
73,4.230000,4.070000,4.250000,0.035900,8.010000,5.910000,-0.060000,-3.690000,8.280000,18.030000,-11.980000,15.460000,4.820000
74,4.250000,4.070000,4.250000,0.018550,6.540000,7.380000,4.275000,3.040000,7.205000,15.450000,-4.650000,13.020000,5.080000
76,4.230000,4.050000,4.250000,0.032800,8.010000,1.630000,-2.670000,-4.030000,1.070000,14.560000,-11.180000,14.170000,4.460000
78,4.230000,4.050000,4.250000,0.039100,7.650000,1.855000,-0.855000,-1.985000,1.290000,11.590000,-8.625000,9.850000,4.460000
79,4.230000,4.020000,4.250000,0.039100,8.370000,2.705000,0.275000,-0.290000,1.970000,12.820000,-6.405000,11.570000,4.460000
80,4.250000,4.070000,4.250000,0.035900,8.370000,2.870000,7.150000,3.775000,4.340000,11.530000,-0.575000,9.420000,4.950000
81,4.250000,4.070000,4.250000,0.035900,8.730000,3.660000,3.550000,1.520000,7.150000,17.360000,-5.050000,14.170000,4.850000
82,4.230000,3.940000,4.250000,-0.025650,9.090000,4.225000,7.150000,3.885000,3.320000,10.860000,0.275000,8.915000,4.785000
83,3.940000,3.940000,3.940000,1.250800,12.280000,0.840000,-0.740000,1.290000,-5.160000,6.360000,-3.460000,10.300000,3.640000
84,4.230000,4.020000,4.250000,0.010700,9.810000,2.530000,8.610000,8.160000,1.630000,9.400000,5.460000,8.600000,4.740000
85,4.250000,4.070000,4.250000,0.032800,8.010000,0.270000,6.930000,8.730000,1.630000,9.400000,9.400000,8.080000,4.950000
86,4.230000,4.070000,4.250000,0.035900,8.010000,-2.330000,-2.550000,-0.290000,-2.890000,5.460000,-3.460000,5.080000,4.460000
87,4.200000,4.000000,4.250000,0.013800,9.090000,0.950000,4.110000,5.910000,0.270000,9.060000,4.670000,8.080000,4.460000
88,4.230000,4.000000,4.250000,0.004400,8.730000,2.475000,5.855000,6.530000,3.890000,14.725000,6.305000,13.000000,4.460000
89,4.250000,4.070000,4.250000,0.023300,7.095000,1.010000,4.110000,3.210000,3.545000,13.155000,2.250000,11.245000,4.835000
90,4.250000,4.070000,4.250000,0.023300,7.280000,1.630000,1.290000,-0.520000,4.340000,17.360000,-4.140000,14.170000,4.820000
91,4.250000,4.050000,4.250000,0.026400,8.010000,2.080000,5.355000,5.350000,6.250000,19.645000,3.715000,16.870000,4.870000
92,4.250000,4.050000,4.250000,0.023300,7.650000,3.490000,7.205000,7.830000,6.420000,19.030000,4.000000,16.390000,4.860000
93,4.135000,4.050000,4.250000,0.233150,8.370000,-9.985000,-14.030000,-14.140000,-13.400000,-2.100000,-18.945000,-0.555000,3.920000
94,4.250000,4.050000,4.250000,0.010650,8.010000,2.815000,1.290000,-2.495000,5.465000,18.245000,-6.695000,15.020000,4.770000
95,4.180000,3.970000,4.250000,0.212650,9.450000,4.170000,2.645000,4.110000,4.165000,16.460000,0.330000,15.025000,4.460000
96,4.250000,4.120000,4.250000,-0.005100,8.010000,8.050000,13.660000,12.430000,9.510000,20.150000,11.080000,17.370000,5.080000
97,4.250000,4.250000,4.250000,0.026400,9.450000,18.700000,13.100000,9.510000,26.490000,64.470000,8.840000,53.900000,4.820000
98,4.150000,4.020000,4.250000,0.218900,9.090000,-4.820000,-7.090000,-6.520000,-6.630000,6.250000,-10.610000,5.950000,4.430000
99,4.180000,4.050000,4.250000,0.023300,9.090000,-4.250000,-5.840000,-4.140000,-6.180000,5.350000,-7.430000,5.080000,4.460000
100,4.250000,4.020000,4.250000,0.010700,8.730000,2.925000,4.675000,3.430000,3.660000,10.295000,-0.970000,8.735000,4.745000
101,4.250000,4.070000,4.250000,0.026400,9.090000,4.000000,5.010000,5.010000,5.580000,12.210000,3.210000,10.000000,4.850000
102,4.230000,4.020000,4.250000,0.029600,10.160000,0.840000,1.630000,1.125000,3.040000,9.345000,-2.610000,8.080000,4.460000
103,4.250000,4.100000,4.250000,0.023300,10.160000,5.010000,5.460000,3.550000,8.390000,12.880000,-2.440000,10.920000,4.820000
104,4.250000,4.100000,4.250000,0.023300,9.810000,4.110000,4.670000,2.530000,8.610000,17.470000,-7.320000,14.590000,4.770000
105,4.250000,4.100000,4.250000,0.032800,11.580000,5.240000,4.670000,2.650000,8.840000,18.360000,-8.340000,15.920000,4.460000
106,4.250000,4.070000,4.250000,0.017000,13.320000,9.510000,7.710000,3.430000,15.790000,31.820000,-9.470000,31.430000,4.460000
107,4.230000,4.000000,4.250000,-0.001950,14.530000,11.475000,6.930000,3.430000,16.965000,36.185000,-10.955000,35.440000,4.460000
108,4.250000,4.100000,4.250000,0.046950,19.150000,14.895000,11.650000,6.250000,22.765000,46.305000,-5.330000,47.840000,4.870000
109,4.250000,4.100000,4.250000,0.042200,20.520000,16.680000,11.870000,6.420000,24.160000,52.005000,-5.955000,52.320000,4.740000
110,4.250000,4.050000,4.250000,0.037500,20.520000,13.775000,8.895000,3.775000,21.260000,48.010000,-10.325000,48.565000,4.515000
111,4.250000,4.120000,4.250000,0.042200,18.810000,14.670000,9.010000,4.790000,22.040000,46.635000,-8.680000,47.840000,4.740000
112,4.250000,4.120000,4.250000,0.039100,16.070000,9.010000,4.280000,0.220000,15.510000,38.505000,-11.350000,38.805000,4.730000
113,4.250000,4.100000,4.250000,0.042200,14.010000,7.490000,1.180000,-1.760000,13.440000,30.490000,-8.110000,31.430000,4.640000
