downlink_date,time_jst,kind,hex,source_log
2024-06-18,2024-06-18 11:21:38,cmd,4b 00 11 05 b2 10 00 00 00 00 e0,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 aa 03 4b 00 11 05 b2 10 00 00 00 00 e0 aa,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 01 ff ff ff ff ff ff 00 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 02 d5 00 00 0b 0d 00 01 21 21 22 21 22 21 22 21 21 22 22 22 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 20 21 21 21 20 21 21 21 21 21 21 21 21 21 21 20 20 20 20 20 21 20 21 21 21 d2,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 03 d5 00 00 0b 0e 00 02 21 20 20 20 20 20 20 20 20 20 20 20 20 1f 20 20 20 20 20 20 1f 20 1f 1f 20 1f 1f 1f 1e 1e 1e 1e 1e 1e 1e 1e 1e 1e 1f 1f 1d 1e 1e 1e 1d 1e 1e 1d 1e 1e 1e 1e 1e 1d 1d 1d ec,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 04 d5 00 00 0b 10 00 03 1e 1d 1d 1e 1d 1d 1d 1c 1d 1d 1d 1c 1c 1c 1c 1c 1c 1c 1c 1d 1d 1d 1c 1c 1c 1c 1d 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c cd,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 05 d5 00 00 0b 11 00 04 1b 1b 1a 1c 1a 1c 1a 1c 1a 1b 1a 1a 1a 1a 1b 1a 1c 1a 1a 1a 1b 1c 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 19 1a 1a 1a 19 1a 1a 1a 1a 1a 19 1a 19 19 19 19 cf,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 06 d5 00 00 0b 13 00 05 1a 19 1a 19 19 19 19 19 19 19 19 19 19 19 19 18 19 19 19 19 19 18 18 19 19 18 18 19 19 19 19 18 19 18 18 19 18 18 18 19 18 18 18 19 19 18 18 18 18 18 19 18 18 19 18 18 c9,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 07 d5 00 00 0b 14 00 06 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 cc,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 08 d5 00 00 0b 15 00 07 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 17 18 18 18 18 18 18 17 18 18 18 18 cc,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 09 d5 00 00 0b 17 00 08 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 c1,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 0a d5 00 00 0b 18 00 09 18 18 18 19 18 18 19 18 18 19 18 18 18 19 18 18 18 19 18 18 19 19 18 19 18 19 19 19 19 18 18 19 19 19 19 18 19 19 19 19 18 18 19 19 19 19 19 19 19 19 19 19 19 1a 19 1a cf,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 0b d5 00 00 0b 1a 00 0a 1a 19 1a 1a 1a 19 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1c 1a 1a 1a 1a 1c 1b 1a 1a 1b 1b 1c 1b 1b 1c 1c 1b 1c 1c 1c 1c 1b 1c 1c 1c 1c 1b 1c 1c 1c 1c 1c 1c 1c ce,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 0c d5 00 00 0b 1b 00 0b 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1c 1d 1c 1c 1d 1d 1c 1d 1c 1d 1c 1c 1c 1c 1c 1d 1d 1d 1d 1d 1d 1d 1d 1d 1d 1d 1d 1d 1d 1d 1d 1d 1d 1d 1d 1d 1d 1d ce,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 0d d5 00 00 0b 1d 00 0c 1e 1e 1d 1e 1e 1e 1e 1e 1e 1e 1d 1d 1e 1e 1e 1e 1e 1e 1e 1e 1e 1e 1e 1e 1e 1e 1f 1f 1f 1f 20 20 1f 1f 20 1e 1f 20 1f 20 1f 1f 1f 20 20 20 20 20 20 20 20 1f 20 20 20 20 f2,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 0e d5 00 00 0b 1e 00 0d 21 21 20 20 21 21 21 21 21 20 21 21 21 21 21 21 21 21 20 21 21 21 21 21 21 21 21 21 21 21 21 21 21 22 21 22 22 21 22 21 22 22 22 22 21 22 22 22 22 22 22 22 22 22 22 22 ce,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 0f ff ff ff ff ff ff 0e ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 10 d5 00 00 0b 21 00 0f 24 24 25 25 24 25 24 24 25 24 24 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 26 25 24 25 23 25 25 25 25 25 24 25 25 25 25 25 24 25 25 25 25 25 23 24 23 f4,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 11 d5 00 00 0b 22 00 10 23 25 23 24 24 23 25 24 25 24 25 25 24 24 25 24 25 24 25 24 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 26 26 25 25 25 25 25 25 25 25 25 25 26 e8,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 12 d5 00 00 0b 24 00 11 26 25 26 25 26 26 26 26 26 26 27 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 26 26 26 27 27 27 26 26 27 27 26 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 ea,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 13 d5 00 00 0b 25 00 12 28 27 27 27 27 27 27 27 27 27 28 27 27 27 27 27 28 27 28 27 28 27 28 28 27 28 28 28 27 28 27 28 27 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 e6,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 14 d5 00 00 0b 27 00 13 28 28 28 28 28 28 28 28 28 28 28 28 28 29 28 28 28 28 28 28 28 28 28 28 28 28 28 29 28 28 29 29 28 29 28 28 29 2a 29 2a 2a 29 2a 29 29 29 2a 28 29 2a 2a 28 2a 2a 29 2a eb,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 15 d5 00 00 0b 28 00 14 29 2a 2a 29 29 29 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2b 2a 2b 2a 2a 2a 2a 2a 2b 2a 2b 2a 2b 2a 2a 2a 2b 2a 2a 2a e2,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 16 d5 00 00 0b 29 00 15 2b 2b 2b 2a 2b 2b 2b 2b 2b 2a 2a 2b 2a 2b 2b 2b 2b 2b 2b 2a 2b 2b 2b 2b 2b 2b 2b 2b 2c 2b 2b 2b 2b 2b 2c 2b 2b 2b 2b 2b 2b 2b 2b 2b 2b 2b 2c 2c 2c 2c 2b 2c 2c 2c 2c 2c e4,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 17 d5 00 00 0b 2b 00 16 2c 2c 2c 2c 2c 2c 2c 2c 2c 2c 2c 2c 2d 2c 2b 2d 2c 2c 2c 2c 2c 2c 2d 2d 2d 2c 2c 2d 2c 2d 2c 2d 2e 2d 2d 2d 2d 2d 2d 2c 2d 2d 2d 2d 2d 2d 2d 2e 2d 2e 2d 2e 2d 2e 2e 2d e5,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 18 d5 00 00 0b 2c 00 17 2d 2e 2d 2d 2e 2d 2e 2d 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e e6,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 19 d5 00 00 0b 2e 00 18 2e 2e 2e 2e 2e 2e 2e 2e 2f 2f 2e 2f 2e 2e 2e 2e 2e 2e 2e 2f 30 2e 2e 2e 2e 2f 2f 2e 2e 2f 2f 2e 2f 2e 2e 30 2f 2f 2e 2e 30 2e 2f 2f 2e 2f 2f 30 2f 2e 30 2f 30 30 2e 30 e9,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 1a d5 00 00 0b 2f 00 19 2f 2e 2f 2f 30 30 2f 2f 30 2f 30 2e 2e 30 30 30 30 2f 30 2f 30 2f 2f 2f 2f 30 2f 2e 30 2f 2f 2e 30 30 2f 30 2f 2e 2f 2f 30 2f 30 2f 2f 30 30 2f 2f 2f 30 2f 30 2e 30 2f e9,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 1b d5 00 00 0b 31 00 1a 30 30 30 2f 30 30 30 2f 30 2f 30 30 2f 30 2f 2f 30 30 30 2f 30 30 30 30 2f 30 30 30 30 30 30 2f 30 30 30 2f 2f 30 2f 30 30 2e 30 30 30 2f 30 2e 30 30 30 30 2f 30 2f 30 ea,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 1c d5 00 00 0b 32 00 1b 30 30 30 2f 30 30 30 30 2f 2f 2f 30 30 30 2f 2f 30 30 30 2f 30 2f 30 2f 30 30 30 2e 2f 30 2f 30 2f 30 2e 2f 30 30 2f 2f 2f 2f 30 2f 30 30 2f 2e 2f 30 2f 2f 2e 2f 2f 30 f7,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 1d d5 00 00 0b 33 00 1c 2f 30 2f 2f 2f 2e 2f 2f 30 2e 2f 2e 2f 2f 2f 2f 2e 2e 2e 2e 2e 2f 2e 2e 2e 2e 2e 30 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e ef,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 1e d5 00 00 0b 35 00 1d 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2d 2e 2d 2d 2e 2e 2e 2e 2d 2e 2d 2e 2e 2e 2d 2d 2d 2d 2e 2d 2d 2d 2d 2e 2d 2d 2d 2c 2c 2c 2c 2d 2d 2c 2c 2d 2c f7,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 1f d5 00 00 0b 36 00 1e 2c 2c 2c 2c 2c 2c 2c 2c 2c 2c 2b 2c 2c 2c 2b 2c 2b 2b 2b 2b 2b 2b 2b 2b 2c 2c 2c 2c 2c 2c 2b 2b 2b 2c 2b 2b 2b 2b 2b 2b 2b 2b 2b 2b 2b 2b 2b 2b 2a 2b 2b 2b 2b 2b 2b 2a f1,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 20 d5 00 00 0b 38 00 1f 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 29 2a 2a 2a 2a 2a 2a 2a 29 2a 2a 29 2a 2a 29 29 29 2a 2a 29 2a 28 29 29 29 29 29 2a 29 f8,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 21 d5 00 00 0b 39 00 20 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 27 27 27 28 28 28 27 28 27 28 27 27 28 27 27 27 27 27 27 27 28 27 27 27 27 27 27 27 27 26 26 26 c9,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 22 d5 00 00 0b 3a 00 21 26 26 27 27 26 26 26 25 26 26 26 26 26 26 26 26 26 27 25 25 26 25 25 25 25 26 25 25 26 25 25 25 25 25 25 25 25 25 25 25 24 25 25 25 25 25 25 25 25 24 25 23 25 24 25 25 c3,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 23 d5 00 00 0c 00 00 22 24 24 24 23 24 23 24 24 23 23 24 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 22 22 23 23 fc,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 24 d5 00 00 0c 01 00 23 23 22 22 22 22 22 22 22 22 22 22 22 23 22 22 23 23 22 22 22 21 22 22 22 22 22 22 21 22 21 22 22 22 22 21 22 21 22 21 22 21 22 21 22 21 22 21 21 21 21 22 21 21 22 21 21 f8,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 25 d5 00 00 0c 03 00 24 21 21 21 21 21 21 21 21 21 21 21 21 20 21 21 21 21 20 21 21 21 21 21 21 21 21 20 21 20 20 21 21 20 20 20 20 20 21 20 21 21 20 20 20 20 20 21 20 21 21 21 21 21 21 20 20 ff,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 26 d5 00 00 0c 04 00 25 20 20 21 21 21 20 20 21 21 21 20 20 21 20 20 20 21 21 21 21 20 20 20 21 20 20 20 20 21 21 21 20 20 21 21 21 20 21 20 20 20 21 21 21 21 21 20 20 20 20 21 21 21 20 20 21 f8,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 27 d5 00 00 0c 06 00 26 21 21 20 20 20 20 20 21 21 21 21 21 21 21 21 20 20 20 20 21 21 20 21 21 21 21 21 20 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 22 22 f8,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 28 d5 00 00 0c 07 00 27 21 23 22 22 22 22 21 22 22 22 22 22 22 22 22 21 22 21 22 22 21 22 22 22 22 22 22 22 22 22 23 23 23 22 22 22 23 23 22 23 22 22 22 23 22 23 23 23 23 23 23 23 23 23 22 23 fa,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 29 d5 00 00 0c 08 00 28 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 24 23 23 23 23 23 23 23 23 23 25 24 24 23 23 25 23 23 24 24 24 25 25 25 25 25 25 25 25 25 25 24 25 25 25 25 25 25 25 f8,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 2a d5 00 00 0c 0a 00 29 25 26 25 26 26 25 25 26 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 26 27 26 27 27 27 27 26 27 28 27 27 27 27 27 27 27 27 27 28 27 27 27 27 27 27 27 27 27 28 28 f9,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 2b d5 00 00 0c 0b 00 2a 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 28 29 28 28 29 29 2a 29 29 29 28 29 29 2a 29 2a 2a 29 2a 2a 2a 29 2a 2a fb,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 2c d5 00 00 0c 0d 00 2b 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a 2b 2b 2a 2b 2a 2a 2b 2a 2b 2b 2b 2b 2b 2b 2a 2b 2b 2b 2b 2b 2b 2b 2b 2b 2b 2b 2b 2b 2b 2b 2b 2c 2c 2c 2c 2c 2c 2c 2c 2c 2c 2c 2c 2c f9,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 2d d5 00 00 0c 0e 00 2c 2c 2c 2c 2e 2c 2c 2d 2c 2c 2d 2d 2d 2d 2d 2e 2d 2d 2e 2d 2e 2e 2e 2e 2e 2e 2e 2e 2e 2d 2e 2e 2d 2e 2e 2d 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e 2e f9,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 2e d5 00 00 0c 10 00 2d 2e 2f 2e 2f 2f 2e 2e 2f 2f 30 2e 2f 30 30 30 2f 2f 30 30 2f 30 30 30 30 30 30 30 30 30 30 30 30 2f 30 30 30 30 30 30 30 30 30 31 30 31 30 30 30 31 30 30 31 30 31 30 31 fa,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 2f d5 00 00 0c 11 00 2e 30 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 31 e7,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 30 d5 00 00 0c 12 00 2f 32 32 31 32 32 32 33 32 31 32 32 32 32 31 33 31 32 32 33 33 33 33 33 33 33 33 33 33 33 32 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 e5,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 31 d5 00 00 0c 14 00 30 33 33 33 33 33 33 33 33 33 34 33 33 33 33 33 33 34 33 33 33 33 33 33 33 34 33 34 33 33 33 33 33 34 33 34 34 34 34 34 33 33 34 33 33 34 35 33 34 34 34 33 35 34 34 33 35 fc,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 32 d5 00 00 0c 15 00 31 34 34 34 34 34 35 35 35 34 35 34 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 34 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 fd,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 33 d5 00 00 0c 17 00 32 35 35 35 35 36 35 35 35 35 35 36 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 35 36 35 35 35 35 35 36 35 35 35 36 35 36 36 35 36 36 35 35 36 35 35 37 fe,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 34 d5 00 00 0c 18 00 33 36 35 36 35 36 36 36 36 36 36 35 36 36 35 36 36 36 36 37 36 37 36 35 36 36 36 36 36 36 36 36 36 36 36 36 37 36 36 36 37 36 36 36 36 37 36 36 37 36 36 36 37 36 36 36 36 f0,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 35 d5 00 00 0c 1a 00 34 36 36 37 37 37 37 37 36 37 37 37 37 37 37 37 37 37 37 36 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 38 37 37 37 37 37 37 37 37 37 37 37 37 f8,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 36 d5 00 00 0c 1b 00 35 37 37 37 37 38 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 37 38 37 37 37 37 37 37 37 37 37 37 37 36 37 37 37 38 37 37 37 38 37 37 38 37 37 37 38 37 f6,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 37 d5 00 00 0c 1c 00 36 38 37 37 38 37 37 37 37 37 38 37 37 38 37 38 38 37 37 37 38 37 37 37 38 37 37 38 38 37 37 38 37 37 38 37 37 37 37 38 38 38 38 37 37 37 38 37 37 38 37 38 38 37 37 38 38 f3,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 38 d5 00 00 0c 1e 00 37 37 38 37 37 38 38 37 38 37 38 37 38 37 38 37 37 38 37 38 37 38 38 38 38 37 38 37 38 37 38 38 38 37 37 38 38 37 37 38 37 37 37 38 37 38 37 37 37 37 37 37 37 37 37 37 37 ff,mog_20240618.txt
2024-06-18,,frame,4a 47 36 59 42 57 30 4a 47 36 59 4d 58 30 3e f0 ff f0 ff 00 00 39 d5 00 00 0c 1f 00 38 37 37 38 37 38 37 38 37 37 38 37 37 37 37 37 37 37 37 37 37 37 38 37 37 37 37 37 38 38 37 37 37 36 37 38 37 38 37 37 37 38 37 37 37 37 37 37 37 37 37 37 38 37 37 38 37 ff,mog_20240618.txt
