date,time_jst,from,to,via,info,source_log
2024-10-01,,JS1YMY,CQ,JS1YNI,?msgA,202410016_direwolflog.txt
2024-10-01,,JS1YMY,CQ,JS1YNI*,?msgA,202410016_direwolflog.txt
2024-10-01,,JS1YNI,APTT4,"WIDE1-1,WIDE2-1",>We are GARDENs in CIT.<0x0d>,202410016_direwolflog.txt
2024-10-01,,JS1YMY,CQ,JS1YNI,?msgA,202410016_direwolflog.txt
2024-10-01,,JS1YMY,CQ,JS1YNI,?msgA,202410016_direwolflog.txt
2024-10-01,,JS1YMY,CQ,JS1YNI,?msgA,202410016_direwolflog.txt
2024-10-01,,JS1YMY,CQ,JS1YNI,?msgA,202410016_direwolflog.txt
2024-10-01,,JS1YMY,CQ,JS1YNI*,?msgA,202410016_direwolflog.txt
2024-10-01,,JS1YNI,APTT4,"WIDE1-1,WIDE2-1",>We are GARDENs  n CIT.<0x0d>,202410016_direwolflog.txt
2024-10-01,,JS1YMY,CQ,JS1YNI,:MSG      :?msgA,202410016_direwolflog.txt
2024-10-05,,JS1YMY,CQ,JS1YNI,=3568.87N\14002.19ESVia Hello SAKURA {UISS54},20241005_direwolflog.txt
2024-10-05,,JE1CVL,CQ,JS1YNI,=3550.14N\13917.84ESDe JE1CVL Saitama JAPAN {UISS54},20241005_direwolflog.txt
2024-10-05,,JE1CVL,CQ,JS1YNI,=3550.14N\13917.84ESDe JE1CVL Saitama JAPAN {UISS54},20241005_direwolflog.txt
2024-10-05,,JE1CVL,CQ,JS1YNI,=3550.14N\13917.84ESDe JE1CVL Saitama JAPAN {UISS54},20241005_direwolflog.txt
2024-10-05,,JE1CVL,CQ,JS1YNI,Hello via SAKURA,20241005_direwolflog.txt
2024-10-05,,JE1CVL,CQ,JS1YNI,=3550.14N\13917.84ESDe JE1CVL Saitama JAPAN {UISS54},20241005_direwolflog.txt
2024-10-05,,JE1CVL,CQ,JS1YNI,Hello via SAKURA,20241005_direwolflog.txt
2024-10-05,,JE1CVL,CQ,JS1YNI,Hello via SAKURA,20241005_direwolflog.txt
2024-10-05,,JE1CVL,CQ,JS1YNI,=3550.14N\13917.84ESDe JE1CVL Saitama JAPAN {UISS54},20241005_direwolflog.txt
2024-10-05,,JE1CVL,CQ,JS1YNI,=3550.14N\13917.84ESDe JE1CVL Saitama JAPAN {UISS54},20241005_direwolflog.txt
2024-10-05,,JE1CVL,CQ,JS1YNI,=3550.14N\13917.84ESDe JE1CVL Saitama JAPAN {UISS54},20241005_direwolflog.txt
2024-10-05,,JE1CVL,CQ,JS1YNI,=3550.14N\13917.84ESDe JE1CVL Saitama JAPAN {UISS54},20241005_direwolflog.txt
2024-10-05,,JE1CVL,CQ,JS1YNI,=3550.14N\13917.84ESDe JE1CVL Saitama JAPAN {UISS54},20241005_direwolflog.txt
2024-10-05,,JE1CVL,CQ,JS1YNI,=3550.14N\13917.84ESDe JE1CVL Saitama JAPAN {UISS54},20241005_direwolflog.txt
2024-10-05,,JE1CVL,CQ,JS1YNI,Hello via SAKURA,20241005_direwolflog.txt
2024-10-05,,JE1CVL,CQ,JS1YNI,=3550.14N\13917.84ESDe JE1CVL Saitama JAPAN {UISS54},20241005_direwolflog.txt
2024-10-05,,JE1CVL,CQ,JS1YNI,=3550.14N\13917.84ESDe JE1CVL Saitama JAPAN {UISS54},20241005_direwolflog.txt
2024-10-05,,JE1CVL,CQ,JS1YNI,=3550.14N\13917.84ESDe JE1CVL Saitama JAPAN {UISS54},20241005_direwolflog.txt
2024-10-05,,JS1YMY,CQ,JS1YNI,=3568.87N\14002.19ESVia Hello SAKURA {UISS54},20241005_direwolflog.txt
2024-10-05,,JS1YMY,CQ,JS1YNI,=3568.87N\14002.19ESVia Hello SAKURA {UISS54},20241005_direwolflog.txt
2024-10-05,,JS1YMY,CQ,JS1YNI,=3568.87N\14002.19ESVia Hello SAKURA {UISS54},20241005_direwolflog.txt
2024-10-05,,JS1YMY,CQ,JS1YNI,=3568.87N\14002.19ESVia Hello SAKURA {UISS54},20241005_direwolflog.txt
2024-10-05,,JS1YMY,CQ,JS1YNI,=3568.87N\14002.19ESVia Hello SAKURA {UISS54},20241005_direwolflog.txt
2024-10-05,,JS1YMY,CQ,JS1YNI,=3568.87N\14002.19ESVia Hello SAKURA {UISS54},20241005_direwolflog.txt
2024-10-05,,JS1YMY,CQ,JS1YNI,=3568.87N\14002.19ESVia Hello SAKURA {UISS54},20241005_direwolflog.txt
2024-10-05,,JS1YMY,CQ,JS1YNI,=3568.87N\14002.19ESVia Hello SAKURA {UISS54},20241005_direwolflog.txt
2024-10-05,,JS1YMY,CQ,JS1YNI,=3568.87N\14002.19ESVia Hello SAKURA {UISS54},20241005_direwolflog.txt
2024-10-05,,JS1YMY,CQ,JS1YNI,=3568.87N\14002.19ESVia Hello SAKURA {UISS54},20241005_direwolflog.txt
2024-10-05,,JS1YMY,CQ,JS1YNI,=3568.87N\14002.19ESVia Hello SAKURA {UISS54},20241005_direwolflog.txt
2024-10-05,,JS1YMY,CQ,JS1YNI*,=3568.87N\14002.19ESVia Hello SAKURA {UISS54},20241005_direwolflog.txt
2024-10-05,,JS1YNI,APTT4,"WIDE1-1,WIDE2-1","> S1YMY>CQ,JS1YNI:=3568.87N\1400b.19ESVia Hello SAKURA {UISS54}<0x0d>",20241005_direwolflog.txt
2024-10-05,,S1YMY,CQ,JS1YNI,=3568.87N\1400b.19ESVia Hello SAKURA {UISS54},20241005_direwolflog.txt
2024-10-05,,JS1YNI,APTT4,"WIDE1-1,WIDE2-1",[<0x0d>,20241005_direwolflog.txt
2024-10-05,,JS1YNI,APTT4,"WIDE1-1,WIDE2-1",">JS1YMY>CQ,JS1YNI:=3568.87 \14002.19ESVia Hello SAKURA {UISS54}<0x0d>",20241005_direwolflog.txt
2024-10-05,,JS1YMY,CQ,JS1YNI,=3568.87 \14002.19ESVia Hello SAKURA {UISS54},20241005_direwolflog.txt
2024-10-05,,JS1YNI,APTT4,"WIDE1-1,WIDE2-1",[<0x0d>,20241005_direwolflog.txt
2024-10-05,,JS1YMY,CQ,JS1YNI,=3568.87N\14002.19ESVia Hello SAKURA {UISS54},20241005_direwolflog.txt
2024-10-05,,JS1YMY,CQ,JS1YNI,=3568.87N\14002.19ESVia Hello SAKURA {UISS54},20241005_direwolflog.txt
2024-10-05,17:40:38,JS1YMY,CQ,JS1YNI,=3568.87N\14002.19ESVia Hello SAKURA {UISS54},20241005_uisslog.txt
2024-10-05,17:44:46,JE1CVL,CQ,JS1YNI,=3550.14N\13917.84ESDe JE1CVL Saitama JAPAN {UISS54},20241005_uisslog.txt
2024-10-05,17:44:53,JE1CVL,CQ,JS1YNI,=3550.14N\13917.84ESDe JE1CVL Saitama JAPAN {UISS54},20241005_uisslog.txt
2024-10-05,17:44:59,JE1CVL,CQ,JS1YNI,=3550.14N\13917.84ESDe JE1CVL Saitama JAPAN {UISS54},20241005_uisslog.txt
2024-10-05,17:45:05,JE1CVL,CQ,JS1YNI,Hello via SAKURA,20241005_uisslog.txt
2024-10-05,17:45:13,JE1CVL,CQ,JS1YNI,=3550.14N\13917.84ESDe JE1CVL Saitama JAPAN {UISS54},20241005_uisslog.txt
2024-10-05,17:45:26,JE1CVL,CQ,JS1YNI,Hello via SAKURA,20241005_uisslog.txt
2024-10-05,17:45:33,JE1CVL,CQ,JS1YNI,Hello via SAKURA,20241005_uisslog.txt
2024-10-05,17:45:38,JE1CVL,CQ,JS1YNI,=3550.14N\13917.84ESDe JE1CVL Saitama JAPAN {UISS54},20241005_uisslog.txt
2024-10-05,17:45:44,JE1CVL,CQ,JS1YNI,=3550.14N\13917.84ESDe JE1CVL Saitama JAPAN {UISS54},20241005_uisslog.txt
