downlink_date,time_jst,kind,hex,source_log
2024-10-05,,frame,4a 53 31 59 4d 59 30 4a 53 31 59 4e 49 30 3e f0 53 aa 53 00 11 05 b0 10 00 00 00 00 04 aa,aprslog_20241005_1757.txt
2024-10-05,,frame,4a 53 31 59 4d 59 30 4a 53 31 59 4e 49 30 3e f0 53 11 ff 00 00 01 34 46 39 49 4e 43 3e 51 54 54 54 53 31 2c 4a 53 31 59 4e 49 3a 60 31 60 2d 6c 20 20 79 2f 60 22 20 50 45 41 52 4c 20 4f 46 20 54 48 45 20 4f 52 49 45 4e 54 20 53 45 41 53 20 22 50 4b 30 34 4e,aprslog_20241005_1757.txt
2024-10-05,,frame,4a 53 31 59 4d 59 30 4a 53 31 59 4e 49 30 3e f0 53 11 ff 00 00 02 52 2c 37 33 21 5f 31 20 0d 0a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,aprslog_20241005_1757.txt
,,cmd,53 00 11 05 b0 10 00 00 00 00 04,aprs_log0925.txt
,,frame,4a 53 31 59 4d 59 30 4a 53 31 59 4e 49 30 3e f0 53 aa 53 00 11 05 b0 10 00 00 00 00 04 aa,aprs_log0925.txt
,,frame,4a 53 31 59 4d 59 30 4a 53 31 59 4e 49 30 3e f0 53 11 ff 00 00 01 4a 49 31 49 5a 52 3e 43 51 2c 4a 53 31 59 4e 49 3a 3d 33 35 32 31 2e 31 35 4e 5c 31 33 39 31 37 2e 33 30 45 53 37 33 27 20 56 69 61 20 53 61 74 65 6c 6c 69 74 65 0d 0a 00 00 00 00 00 00 00 00,aprs_log0925.txt
,,frame,4a 53 31 59 4d 59 30 4a 53 31 59 4e 49 30 3e f0 53 11 ff 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,aprs_log0925.txt
,,frame,4a 53 31 59 4d 59 30 4a 53 31 59 4e 49 30 3e f0 53 11 ff 00 00 03 4a 49 31 49 5a 52 3e 43 51 2c 4a 53 31 59 4e 49 3a 3d 33 35 32 31 2e 31 35 4e 5c 31 33 39 31 37 2e 33 30 45 53 37 33 27 20 56 69 61 20 53 61 74 65 6c 6c 69 74 65 0d 0a 00 00 00 00 00 00 00 00,aprs_log0925.txt
,,frame,4a 53 31 59 4d 59 30 4a 53 31 59 4e 49 30 3e f0 53 11 ff 00 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,aprs_log0925.txt
,,cmd,53 00 11 05 b0 10 00 00 00 00 04,aprs_log0927.txt
,,frame,4a 53 31 59 4d 59 30 4a 53 31 59 4e 49 30 3e f0 53 aa 53 00 11 05 b0 10 00 00 00 00 04 aa,aprs_log0927.txt
,,frame,4a 53 31 59 4d 59 30 4a 53 31 59 4e 49 30 3e f0 53 11 ff 00 00 01 4a 49 31 49 5a 52 3e 43 51 2c 4a 53 31 59 4e 49 3a 3d 33 35 32 31 2e 31 35 4e 5c 31 33 39 31 37 2e 33 30 45 53 37 33 27 20 56 69 61 20 53 61 74 65 6c 6c 69 74 65 0d 0a 00 00 00 00 00 00 00 00,aprs_log0927.txt
,,frame,4a 53 31 59 4d 59 30 4a 53 31 59 4e 49 30 3e f0 53 11 ff 00 00 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,aprs_log0927.txt
,,frame,4a 53 31 59 4d 59 30 4a 53 31 59 4e 49 30 3e f0 53 11 ff 00 00 03 4a 49 31 49 5a 52 3e 43 51 2c 4a 53 31 59 4e 49 3a 3d 33 35 32 31 2e 31 35 4e 5c 31 33 39 31 37 2e 33 30 45 53 37 33 27 20 56 69 61 20 53 61 74 65 6c 6c 69 74 65 0d 0a 00 00 00 00 00 00 00 00,aprs_log0927.txt
,,frame,4a 53 31 59 4d 59 30 4a 53 31 59 4e 49 30 3e f0 53 11 ff 00 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,aprs_log0927.txt
