satellite,instrument,mission,date,downlink_date,path,width,height,bytes,brightness,contrast,status,capture_start,capture_end,time_basis,iso,shutter,exposure_mode,capture_confidence,sha256
SAKURA,ECAM,,2024-08-30,2024-08-30,data/downlink/02_sakura/images/ecam/sakura_ecam_20240830T0302_2ef9add1db.jpg,240.0,135.0,1281,0.42,1.77,dark,2024-08-30T03:02:52+09:00,2024-08-30T03:06:14+09:00,satlog,auto,auto,auto,high,2ef9add1db0774838b56f20e0da81f22508ea17926a6073ce2d498a6f56d34b3
SAKURA,ECAM,,2024-08-30,2024-08-30,data/downlink/02_sakura/images/ecam/sakura_ecam_20240830T0302_ba923884db.jpg,240.0,135.0,854,92.33,56.74,ok,2024-08-30T03:02:52+09:00,2024-08-30T03:06:14+09:00,satlog,auto,auto,auto,high,ba923884db8513997858bae8140c30b03b7f118581656b39bdd0e198b6ac8b07
SAKURA,ECAM,,2024-08-30,2024-08-30,data/downlink/02_sakura/images/ecam/sakura_ecam_20240830T0302_cd445303c5.jpg,240.0,135.0,2684,231.35,35.15,ok,2024-08-30T03:02:52+09:00,2024-08-30T03:06:14+09:00,satlog,auto,auto,auto,high,cd445303c555d360bdccf10b49cc083820fbca72503b1cf66d25f46f4c02341e
SAKURA,ECAM,,2024-08-31,2024-08-31,data/downlink/02_sakura/images/ecam/sakura_ecam_20240831T0025_31b6c26290.jpg,240.0,135.0,2074,55.6,35.76,ok,2024-08-31T00:25:02+09:00,2024-08-31T00:28:23+09:00,satlog,auto,auto,auto,medium,31b6c26290770962571af12be1a65719bbd78f0756658fe104d6932794365451
SAKURA,ECAM,,2024-08-31,2024-08-31,data/downlink/02_sakura/images/ecam/sakura_ecam_20240831T0025_5f61aae435.jpg,240.0,135.0,2684,36.39,48.96,ok,2024-08-31T00:25:02+09:00,2024-08-31T00:28:23+09:00,satlog,auto,auto,auto,medium,5f61aae435e21cf498d1cfc4f78b926e0ce9a581fa7e998c72f33d3039dfa3ea
SAKURA,ECAM,,2024-08-31,2024-08-31,data/downlink/02_sakura/images/ecam/sakura_ecam_20240831T0613_751731624f.jpg,240.0,135.0,3172,248.78,7.34,low_contrast,2024-08-31T06:13:07+09:00,2024-08-31T06:16:29+09:00,satlog,auto,auto,auto,high,751731624fb51cdc5af3140c403240e16b4c06fc991f2b5491f99b0caf301424
SAKURA,ECAM,,2024-08-31,2024-08-31,data/downlink/02_sakura/images/ecam/sakura_ecam_20240831T0025_86b6fe24e5.jpg,240.0,135.0,2196,57.63,52.82,ok,2024-08-31T00:25:02+09:00,2024-08-31T00:28:23+09:00,satlog,auto,auto,auto,medium,86b6fe24e52137864a75f7b29f598503bfaf13ca4f0d823ad1b61864cc320ce9
SAKURA,ECAM,,2024-08-31,2024-08-31,data/downlink/02_sakura/images/ecam/sakura_ecam_20240831T0613_d399b6b5be.jpg,240.0,135.0,3518,160.41,5.35,low_contrast,2024-08-31T06:13:07+09:00,2024-08-31T06:16:29+09:00,satlog,auto,auto,auto,high,d399b6b5be7ac52ae5802a19b88e46413730a63f68280c0e6974c8717657a35f
SAKURA,ECAM,,2024-09-01,2024-09-01,data/downlink/02_sakura/images/ecam/sakura_ecam_20240901T0527_2d927073e3.jpg,240.0,135.0,3842,63.89,24.25,ok,2024-09-01T05:27:09+09:00,2024-09-01T05:30:31+09:00,satlog,auto,auto,auto,high,2d927073e30c88cb998cf669a2931777598457c237043194a6dd8c90a2058bf0
SAKURA,ECAM,,2024-08-31,2024-09-01,data/downlink/02_sakura/images/ecam/sakura_ecam_20240831T0613_650266f1f0.jpg,240.0,160.0,7259,237.18,35.46,ok,2024-08-31T06:13:07+09:00,2024-08-31T06:16:29+09:00,satlog,auto,auto,auto,medium,650266f1f06e575981f05592f223ff34601dc81ffb4b802d59897ad85ff18c5f
SAKURA,ECAM,,2024-08-31,2024-09-01,data/downlink/02_sakura/images/ecam/sakura_ecam_20240831T0613_accade24fd.jpg,240.0,160.0,7808,235.1,25.03,ok,2024-08-31T06:13:07+09:00,2024-08-31T06:16:29+09:00,satlog,auto,auto,auto,medium,accade24fd6377b2dac855446379ff6af9ede3b6a7d77df116c2313d9db267cb
SAKURA,ECAM,,2024-09-02,2024-09-02,data/downlink/02_sakura/images/ecam/sakura_ecam_20240902T2146_20f94ede4e.jpg,480.0,270.0,5964,150.89,65.93,ok,2024-09-02T21:46:24+09:00,2024-09-02T21:49:49+09:00,satlog,auto,auto,auto,high,20f94ede4e88cb27c1e61fb484358c0997272d6aa7c6765fc432db1c226c1abb
SAKURA,ECAM,,2024-09-02,2024-09-02,data/downlink/02_sakura/images/ecam/sakura_ecam_20240902T2146_32851627d0.jpg,480.0,270.0,5872,69.11,18.37,ok,2024-09-02T21:46:24+09:00,2024-09-02T21:49:49+09:00,satlog,auto,auto,auto,high,32851627d084d7d606f74a94cbc3b0e34dce12ea1f631e5854f7fe38c0fa10ab
SAKURA,ECAM,,2024-09-02,2024-09-02,data/downlink/02_sakura/images/ecam/sakura_ecam_20240902T2146_b322f47690.jpg,480.0,270.0,4355,157.12,44.16,ok,2024-09-02T21:46:24+09:00,2024-09-02T21:49:49+09:00,satlog,auto,auto,auto,high,b322f476900a32708718e4d6b13b3709e0695673bb3d2d3a7c0c296cf9843b6a
SAKURA,ECAM,,2024-09-02,2024-09-03,data/downlink/02_sakura/images/ecam/sakura_ecam_20240902T2146_6aff3d74ee.jpg,480.0,270.0,3844,26.2,15.59,ok,2024-09-02T21:46:24+09:00,2024-09-02T21:49:49+09:00,satlog,auto,auto,auto,medium,6aff3d74ee2ae4f33d326fd5e3bdee587b166c5deb2abef796230a692d419f5e
SAKURA,ECAM,,2024-09-04,2024-09-04,data/downlink/02_sakura/images/ecam/sakura_ecam_20240904T0444_25bcb31b33.jpg,480.0,270.0,6487,143.4,79.08,ok,2024-09-04T04:44:09+09:00,2024-09-04T04:47:47+09:00,satlog,auto,auto,auto,high,25bcb31b3399cc3d93a457bd09616c59c4d7defbfc66b9cbd4db6f3b37fe9519
SAKURA,ECAM,,2024-09-04,2024-09-04,data/downlink/02_sakura/images/ecam/sakura_ecam_20240904T0444_5a176493e1.jpg,480.0,270.0,4213,166.66,42.63,ok,2024-09-04T04:44:09+09:00,2024-09-04T04:47:47+09:00,satlog,auto,auto,auto,high,5a176493e1969a26a73b6777a43a1429039e10ae5c7724f4838bde1ee39acff9
SAKURA,ECAM,,2024-09-05,2024-09-05,data/downlink/02_sakura/images/ecam/sakura_ecam_20240905T2052_005b1b9885.jpg,480.0,270.0,2695,6.24,27.46,dark,2024-09-05T20:52:42+09:00,2024-09-05T20:56:12+09:00,satlog,auto,auto,auto,high,005b1b988571a8be60b62cbe098572c0a1aa45d24b5cd9a1879699406ff6479d
SAKURA,ECAM,,2024-09-05,2024-09-05,data/downlink/02_sakura/images/ecam/sakura_ecam_20240905T2052_0961c0349e.jpg,480.0,270.0,8027,48.37,61.33,ok,2024-09-05T20:52:42+09:00,2024-09-05T20:56:12+09:00,satlog,auto,auto,auto,high,0961c0349e73ea7ecd71eda68438c9d7e10f4979bd1cec7c636c8f5e9ceab76f
SAKURA,ECAM,,2024-09-05,2024-09-05,data/downlink/02_sakura/images/ecam/sakura_ecam_20240905T2052_26e23c1e21.jpg,480.0,270.0,7133,165.5,89.02,ok,2024-09-05T20:52:42+09:00,2024-09-05T20:56:12+09:00,satlog,auto,auto,auto,high,26e23c1e21b43e88b3f76dfebaaaa81bb2a54ca183032bb6894d1d866a21e112
SAKURA,ECAM,,2024-09-05,2024-09-05,data/downlink/02_sakura/images/ecam/sakura_ecam_20240905T2052_34fa83d723.jpg,480.0,270.0,4924,240.12,35.36,ok,2024-09-05T20:52:42+09:00,2024-09-05T20:56:12+09:00,satlog,auto,auto,auto,high,34fa83d7233b1bca1872e1db788df24b269096ae519e9b2118cc2c2c92408268
SAKURA,ECAM,,2024-09-05,2024-09-05,data/downlink/02_sakura/images/ecam/sakura_ecam_20240905T2052_780e043477.jpg,480.0,270.0,4983,236.94,38.25,ok,2024-09-05T20:52:42+09:00,2024-09-05T20:56:12+09:00,satlog,auto,auto,auto,medium,780e04347777f628d12d74b977835df39c5313c84db7c240fae8e12d14c30168
SAKURA,ECAM,,2024-09-05,2024-09-05,data/downlink/02_sakura/images/ecam/sakura_ecam_20240905T2052_872b2870b0.jpg,480.0,270.0,2667,0.0,0.0,dark,2024-09-05T20:52:42+09:00,2024-09-05T20:56:12+09:00,satlog,auto,auto,auto,low,872b2870b086c1b99dbffeb98e68312d23ac816b65dbba676a73b9494a45fc52
SAKURA,ECAM,,2024-09-05,2024-09-05,data/downlink/02_sakura/images/ecam/sakura_ecam_20240905T2052_fe49682e9c.jpg,480.0,270.0,2727,0.67,9.19,dark,2024-09-05T20:52:42+09:00,2024-09-05T20:56:12+09:00,satlog,auto,auto,auto,high,fe49682e9cd5f4aa593fe153201bd1190edb41819a42532dab9d06ebf281e0cf
SAKURA,ECAM,,2024-09-09,2024-09-10,data/downlink/02_sakura/images/ecam/sakura_ecam_20240909T2003_9237bc6434.jpg,480.0,270.0,5202,201.0,53.0,ok,2024-09-09T20:03:32+09:00,2024-09-09T20:10:03+09:00,satlog,auto,auto,auto,medium,9237bc643448f3fb60792c2744ef07c3ac0b6bbae26385c7c844c7edca168d2f
SAKURA,ECAM,,2024-09-09,2024-09-10,data/downlink/02_sakura/images/ecam/sakura_ecam_20240909T2003_c5e6f01a53.jpg,480.0,270.0,4342,188.15,73.79,ok,2024-09-09T20:03:32+09:00,2024-09-09T20:10:03+09:00,satlog,auto,auto,auto,medium,c5e6f01a531e9833465c0df56767f1f0c4458ce4344062a609888bc03c250a7d
SAKURA,ECAM,,2024-09-09,2024-09-11,data/downlink/02_sakura/images/ecam/sakura_ecam_20240909T2003_2de9688241.jpg,480.0,270.0,6660,51.49,40.78,ok,2024-09-09T20:03:32+09:00,2024-09-09T20:10:03+09:00,satlog,auto,auto,auto,high,2de9688241a6f0ca5eb656fc0f3fd72f9825a81f704ddcf52c2f2bad496fa5b4
SAKURA,ECAM,,2024-09-09,2024-09-11,data/downlink/02_sakura/images/ecam/sakura_ecam_20240909T2003_408893fd09.jpg,480.0,270.0,5465,36.63,37.7,ok,2024-09-09T20:03:32+09:00,2024-09-09T20:10:03+09:00,satlog,auto,auto,auto,high,408893fd094b050c7d6463a10ac45d1deb44e315244ce18e519bd3bb6e848973
SAKURA,ECAM,,2024-09-09,2024-09-11,data/downlink/02_sakura/images/ecam/sakura_ecam_20240909T2003_caa701c5f0.jpg,480.0,270.0,7672,226.56,27.81,ok,2024-09-09T20:03:32+09:00,2024-09-09T20:10:03+09:00,satlog,auto,auto,auto,high,caa701c5f0add0c885f0901173cf685304d6be05c13712136c1c1fc7098b9949
SAKURA,ECAM,,2024-09-09,2024-09-12,data/downlink/02_sakura/images/ecam/sakura_ecam_20240909T2003_2afa9e280c.jpg,480.0,270.0,6660,82.74,51.05,ok,2024-09-09T20:03:32+09:00,2024-09-09T20:10:03+09:00,satlog,auto,auto,auto,high,2afa9e280c0963d3cb9e3bf1fa82facc06acd83971c89b732b232a83c7358c39
SAKURA,ECAM,,2024-09-09,2024-09-12,data/downlink/02_sakura/images/ecam/sakura_ecam_20240909T2003_9ca170ee4c.jpg,480.0,270.0,5465,26.2,21.83,ok,2024-09-09T20:03:32+09:00,2024-09-09T20:10:03+09:00,satlog,auto,auto,auto,high,9ca170ee4cfc938dc30f066529aa950c0771b503c63bfd90044eba4a8d12f776
SAKURA,ECAM,,2024-09-13,2024-09-14,data/downlink/02_sakura/images/ecam/sakura_ecam_20240913T1912_03b8286d7d.jpg,480.0,270.0,3044,1.99,4.61,dark,2024-09-13T19:12:13+09:00,2024-09-13T19:17:40+09:00,satlog,auto,auto,auto,high,03b8286d7dcaa5fd2f72adbc7b4e1386fcbed511e792ab9769a5b48eec6b47dc
SAKURA,ECAM,,2024-09-16,2024-09-18,data/downlink/02_sakura/images/ecam/sakura_ecam_20240916T1721_ae0a84e178.jpg,480.0,270.0,6697,125.04,20.22,ok,2024-09-16T17:21:40+09:00,2024-09-16T17:27:16+09:00,satlog,auto,auto,auto,high,ae0a84e17887c5293be8ecf8c4abe44daccfb4f0f54a166630515d14f8820ccd
SAKURA,ECAM,,2024-09-16,2024-09-18,data/downlink/02_sakura/images/ecam/sakura_ecam_20240916T1721_c62ee74489.jpg,480.0,270.0,6301,226.36,46.71,ok,2024-09-16T17:21:40+09:00,2024-09-16T17:27:16+09:00,satlog,auto,auto,auto,high,c62ee74489de7397b6a9a8b2c65d7ef48de98f7a21d0f04bbae70680a0b389d3
SAKURA,ECAM,,2024-09-20,2024-09-20,data/downlink/02_sakura/images/ecam/sakura_ecam_20240920T0205_5047a3476c.jpg,960.0,540.0,9080,23.99,49.78,ok,2024-09-20T02:05:55+09:00,2024-09-20T02:11:36+09:00,satlog,auto,auto,auto,medium,5047a3476c463e081c498f7798bf3b3e2e642086f577c21402570405e1f50998
SAKURA,ECAM,,2024-09-20,2024-09-22,data/downlink/02_sakura/images/ecam/sakura_ecam_20240920T1800_5b6781f532.jpg,960.0,540.0,13280,199.1,50.51,ok,2024-09-20T18:00:05+09:00,2024-09-20T18:05:55+09:00,satlog,auto,auto,auto,high,5b6781f53278ba805f8fc00c71254c5236339d058c7765898e5da94f1a33dfec
SAKURA,ECAM,,2024-09-20,2024-09-22,data/downlink/02_sakura/images/ecam/sakura_ecam_20240920T1800_8cff044c6a.jpg,960.0,540.0,21542,161.33,33.19,ok,2024-09-20T18:00:05+09:00,2024-09-20T18:05:55+09:00,satlog,auto,auto,auto,high,8cff044c6a5fdcaf704c3bec42d9dc89416721fcdab671526868567b5aa837dd
SAKURA,ECAM,,2024-09-20,2024-09-22,data/downlink/02_sakura/images/ecam/sakura_ecam_20240920T1800_8e66008a50.jpg,960.0,540.0,13300,175.7,54.15,ok,2024-09-20T18:00:05+09:00,2024-09-20T18:05:55+09:00,satlog,auto,auto,auto,high,8e66008a50ff4349974d84bbf73102ed4e39b502c4e9d9c7bc2779bb5542b521
SAKURA,ECAM,,2024-09-20,2024-09-22,data/downlink/02_sakura/images/ecam/sakura_ecam_20240920T1800_a49f124a34.jpg,960.0,540.0,15174,240.41,16.45,ok,2024-09-20T18:00:05+09:00,2024-09-20T18:05:55+09:00,satlog,auto,auto,auto,high,a49f124a345a1cd626fc9d1a23d4aae6b6d3a4da2edfca692cb8f64287581051
SAKURA,ECAM,,2024-09-20,2024-09-22,data/downlink/02_sakura/images/ecam/sakura_ecam_20240920T1800_f7cf92f036.jpg,960.0,540.0,13732,143.51,35.07,ok,2024-09-20T18:00:05+09:00,2024-09-20T18:05:55+09:00,satlog,auto,auto,auto,high,f7cf92f036f550e474909dd2e30804a289cbe404416dd49c406af5cd0e693557
SAKURA,ECAM,,2024-09-20,2024-09-23,data/downlink/02_sakura/images/ecam/sakura_ecam_20240920T1800_99c408206d.jpg,960.0,540.0,13300,136.32,28.09,ok,2024-09-20T18:00:05+09:00,2024-09-20T18:05:55+09:00,satlog,auto,auto,auto,high,99c408206da2fb2727edcc338bfd30e22c703cc8b615a2b05e2c24d8354f5b27
SAKURA,ECAM,,2024-09-25,2024-09-25,data/downlink/02_sakura/images/ecam/sakura_ecam_20240925T1729_17e69eef75.jpg,960.0,540.0,10429,141.18,38.17,ok,2024-09-25T17:29:48+09:00,2024-09-25T17:35:26+09:00,satlog,auto,auto,auto,high,17e69eef753ed8ecac89358fa19802653fa8e5caed37e74dc1644886a4af2318
SAKURA,ECAM,,2024-09-25,2024-09-26,data/downlink/02_sakura/images/ecam/sakura_ecam_20240925T1729_6d13da4dba.jpg,960.0,540.0,10429,252.99,4.07,low_contrast,2024-09-25T17:29:48+09:00,2024-09-25T17:35:26+09:00,satlog,auto,auto,auto,high,6d13da4dbae98c3abc916c9b81cb143c99719a74e7c7ba755e7c650d92f59360
SAKURA,ECAM,,2024-09-26,2024-09-27,data/downlink/02_sakura/images/ecam/sakura_ecam_20240926T2300_4a3507e596.jpg,960.0,540.0,8795,15.92,40.9,dark,2024-09-26T23:00:02+09:00,2024-09-26T23:05:39+09:00,satlog,auto,auto,auto,high,4a3507e5965aa2304c413527e078281b199a3abcf3fdcd15b8ae3b705ba3c524
SAKURA,ECAM,,2024-09-26,2024-09-27,data/downlink/02_sakura/images/ecam/sakura_ecam_20240926T2300_fbff977979.jpg,960.0,540.0,8847,179.25,61.94,ok,2024-09-26T23:00:02+09:00,2024-09-26T23:05:39+09:00,satlog,auto,auto,auto,medium,fbff977979943ec6086d7f3948fca37982d42f10c4ea3348c043b4e22536ea77
SAKURA,ECAM,,2024-09-29,2024-09-29,data/downlink/02_sakura/images/ecam/sakura_ecam_20240929T1939_8e7099fef0.jpg,960.0,540.0,9337,160.95,55.46,ok,2024-09-29T19:39:23+09:00,2024-09-29T19:45:36+09:00,satlog,auto,auto,auto,medium,8e7099fef0a7e80d361f375357f1edc7cbcc7bc2d692447e003474904b59b1fb
SAKURA,ECAM,,2024-09-29,2024-10-02,data/downlink/02_sakura/images/ecam/sakura_ecam_20240929T1939_3da49a68e8.jpg,960.0,540.0,16143,235.36,25.45,ok,2024-09-29T19:39:23+09:00,2024-09-29T19:45:36+09:00,satlog,auto,auto,auto,high,3da49a68e8e4bd903e8fd0106a64aea6afc4f80f9d293fc5f65dc88ae0fa490f
SAKURA,ECAM,,2024-09-29,2024-10-02,data/downlink/02_sakura/images/ecam/sakura_ecam_20240929T1939_574bf006a3.jpg,960.0,540.0,21743,159.72,43.61,ok,2024-09-29T19:39:23+09:00,2024-09-29T19:45:36+09:00,satlog,auto,auto,auto,high,574bf006a36613eac540869aba251c724406130968a8e71ba5340b0c7df01ca6
SAKURA,ECAM,,2024-09-29,2024-10-02,data/downlink/02_sakura/images/ecam/sakura_ecam_20240929T1939_d08fb63910.jpg,960.0,540.0,10270,162.3,30.86,ok,2024-09-29T19:39:23+09:00,2024-09-29T19:45:36+09:00,satlog,auto,auto,auto,high,d08fb63910dcc56cf93120e8c16178b0807e836301305013041dc8ef027b1e9a
