downlink_date,time_jst,kind,hex,source_log
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
2025-02-17,,cmd,59 00 11 05 b0 10 00 00 00 00 06,20250217_0929.txt
