time_utc,sec,min,hour,day,起動後経過時間,日本時間(JST),'+X_Temp,'-X_Temp,'+Y_Temp,'-Y_Temp,'+Z_Temp,'-Z_Temp,BPB_Temp,'-X_V,'+Y_V,'-Y_V,'+Z_V,'-Z_V,'-X_I,'+Y_I,'-Y_I,'+Z_I,'-Z_I,BAT_Temp,BAT_V,BAT_I,FAB_RAW_V,FAB_RAW_I,SRC_V,SRC_I,Heater_Flag,Kill_Status,RESET_RAW_V,3V3_1_I,3V3_2_I,unreg_1_I,unreg_2_I,5V0_I,RESET_SW_HIGH,RESET_SW_LOW
2024-12-09T11:17:10Z,10,0,0,0,00:00:10,2024/12/09 20:17:10,49.43,28.71,27.94,28.27,29.16,28.05,29.71,1.63,1.72,1.75,2.98,1.41,0.0052,0.0,0.0,0.0,0.0052,31.83,4.25,-0.0376,4.23,0.1939,5.41,0.0733,00,00,4.12,0.1547,0.0,0.1031,0.0,0.0,f7,ea
2024-12-09T11:18:40Z,40,1,0,0,00:01:40,2024/12/09 20:18:40,54.46,24.16,23.71,23.38,24.27,23.38,23.49,1.57,1.55,1.7,2.72,1.33,0.0052,0.0,0.0,0.0,0.0,23.61,4.15,-0.1108,4.15,0.1939,3.87,0.0672,00,00,4.05,0.1547,0.0,0.0,0.0,0.0,b7,aa
2024-12-09T11:20:10Z,10,3,0,0,00:03:10,2024/12/09 20:20:10,54.57,24.16,23.71,23.49,24.27,23.49,23.71,1.36,1.52,1.47,1.85,1.33,0.0052,0.0,0.0,0.0,0.0,23.61,4.15,-0.1139,4.15,0.1939,3.87,0.0702,00,00,4.05,0.1805,0.0,0.0,0.0,0.0,b7,aa
2024-12-09T11:21:40Z,40,4,0,0,00:04:40,2024/12/09 20:21:40,54.57,24.27,23.71,23.6,24.49,23.6,23.82,1.51,1.52,1.66,2.72,1.33,0.0052,0.0,0.0,0.0,0.0052,23.61,4.15,-0.1108,4.15,0.1939,3.87,0.0672,00,00,4.05,0.1547,0.0,0.0,0.0,0.0,b7,aa
2024-12-09T11:23:10Z,10,6,0,0,00:06:10,2024/12/09 20:23:10,87.09,11.08,11.65,10.07,13.77,11.76,13.21,4.64,4.46,4.64,4.55,4.65,0.263,0.0,0.3403,0.0052,0.3867,14.01,4.23,0.8139,4.23,0.1451,4.46,0.9156,00,00,4.1,0.1547,0.0,0.0,0.0,0.0,b7,a0
2024-12-09T11:24:40Z,40,7,0,0,00:07:40,2024/12/09 20:24:40,55.12,23.6,23.27,23.16,24.05,23.16,23.49,2.44,2.46,2.15,3.56,1.35,0.0052,0.0,0.0,0.0,0.0052,23.61,4.07,-0.1291,4.07,0.1451,3.76,0.058,00,00,3.97,0.1805,0.0,0.0,0.0,0.0,b7,a0
2024-12-09T11:26:10Z,10,9,0,0,00:09:10,2024/12/09 20:26:10,55.12,23.71,23.27,23.27,24.16,23.16,23.71,2.66,2.24,2.01,3.5,1.36,0.0052,0.0,0.0,0.0,0.0052,23.96,4.07,-0.1291,4.07,0.1451,3.74,0.058,00,00,3.97,0.1547,0.0,0.0,0.0,0.0,b7,a0
2024-12-09T11:27:40Z,40,10,0,0,00:10:40,2024/12/09 20:27:40,84.73,12.43,10.97,9.4,13.77,11.76,13.66,4.61,4.65,3.83,4.54,4.57,0.1444,0.5878,0.0,0.0052,0.0206,14.01,4.23,0.6369,4.23,0.1451,4.43,0.7325,00,00,4.15,0.1547,0.0,0.0,0.0,0.0,b7,a0
2024-12-09T11:29:10Z,10,12,0,0,00:12:10,2024/12/09 20:29:10,80.87,9.74,9.74,10.19,14.45,12.09,13.55,4.57,4.05,4.6,2.53,4.66,0.0361,0.0,0.0825,0.0,0.5569,14.01,4.23,0.5881,4.23,0.1451,4.46,0.6806,00,00,4.12,0.1547,0.0,0.0,0.0,0.0,b7,a0
2024-12-09T11:30:39Z,39,13,0,0,00:13:39,2024/12/09 20:30:39,80.87,10.52,10.64,9.18,11.87,12.43,13.33,1.43,4.45,4.59,4.52,4.58,0.0052,0.0,0.1495,0.0052,0.0516,14.36,4.18,0.1059,4.18,0.1451,4.43,0.2381,00,00,4.12,0.1547,0.0,0.0,0.0,0.0,b7,a0
