date,time_jst,from,to,via,info,source_log
2025-12-21,10:05:28,JS1YKP,JS1YKP,JS1YPT,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:08:38,JS1YUL,JS1YUL,JS1YPT,:APRS     :test message,20251221_10_uiss_text.txt
2025-12-21,10:08:44,JS1YKP,JS1YKP,JS1YPT,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:08:54,JS1YKP,JS1YKP,JS1YPT,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:09:22,JS1YUL,JS1YUL,JS1YPT,:APRS     :test message,20251221_10_uiss_text.txt
2025-12-21,10:10:00,JS1YKP,JS1YKP,JS1YPT,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:10:02,JS1YUL,JS1YUL,JS1YPT,:APRS     :test message,20251221_10_uiss_text.txt
2025-12-21,10:10:06,JS1YKP,JS1YKP,JS1YPT,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:10:12,JS1YKP,JS1YKP,JS1YPT,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:10:24,JS1YKP,JS1YKP,JS1YPT,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:10:37,JS1YKP,JS1YKP,JS1YPT,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:10:48,JS1YUL,JS1YUL,JS1YPT,:test,20251221_10_uiss_text.txt
2025-12-21,10:11:06,JS1YKP,JS1YKP,JS1YPT,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:11:17,JS1YKP,JS1YKP,JS1YPT,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:11:18,JS1YKP,JS1YKP,JS1YPT,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:11:19,JS1YKP,JS1YKP,JS1YPT,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:11:27,JS1YKP,JS1YKP,JS1YPT,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:11:39,JI1IZR,CQ,JS1YPT,:JA5BLZ   :Hello from PM95pi Via BOTAN TNX,20251221_10_uiss_text.txt
2025-12-21,10:11:41,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",">JI1IZR>CQ,JS1YPT::JA5BLZ   :Hello from`PM95pi Via BOTAN TNX",20251221_10_uiss_text.txt
2025-12-21,10:11:41,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",X,20251221_10_uiss_text.txt
2025-12-21,10:11:43,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",">JI1IZR>CQ,JS1YPT::JA5B・Z   :Hello from PM95pi Via BOTAN TNX",20251221_10_uiss_text.txt
2025-12-21,10:11:43,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",X,20251221_10_uiss_text.txt
2025-12-21,10:11:45,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",">JI1IZR>CQ,JS1YPT::JA5BLZ   :Hello fr・m PM95pi Via BOTAN TNX",20251221_10_uiss_text.txt
2025-12-21,10:11:46,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",X,20251221_10_uiss_text.txt
2025-12-21,10:11:47,JS1YKP,JS1YKP,JS1YPT,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:11:56,JS1YKP,JS1YKP,JS1YPT,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:12:02,JS1YKP,JS1YKP,JS1YPT,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:12:04,JS1YKP,JS1YKP,JS1YPT,This is ChibaTech Merry Xmas,20251221_10_uiss_text.txt
2025-12-21,10:12:06,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",">Jｧ1YKP>JS1YKP,JS1YPT:This is ChibaTech Merry Xmas",20251221_10_uiss_text.txt
2025-12-21,10:12:06,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",B,20251221_10_uiss_text.txt
2025-12-21,10:12:08,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",">JS1YKP>JS1YKP,・S1YPT:This is ChibaTech Merry ｰmas",20251221_10_uiss_text.txt
2025-12-21,10:12:09,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",B,20251221_10_uiss_text.txt
2025-12-21,10:12:11,JS1YPT,APTT4,"WIDE1-1,WIDE2-1",">JS1YKP>JS1YKP,JS1YPT:This is`ChibaTech Merry Xmas",20251221_10_uiss_text.txt
