downlink_date,time_jst,kind,hex,source_log
2025-10-26,,cmd,42 00 11 05 b3 00 00 00 00 00 05,missionlog_20251026.txt
2025-10-26,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 aa 42 00 11 05 b3 00 00 00 00 00 05 aa,missionlog_20251026.txt
2025-10-26,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 01 00 0b a0 a1 00 15 00 01 00 17 00 02 00 19 00 03 00 1b 00 03 00 1e 00 03 00 28 a0 a1 00 32 00 02 00 35 00 03 00 37 00 03 00 39 00 03 00 43 a0 a1 00 47 00 02 00 49 00 03 00 4b 00 03 00 4d 00 03,missionlog_20251026.txt
2025-10-26,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 02 00 57 a0 a1 00 5f 00 02 00 62 00 03 00 64 00 03 00 66 00 03 00 70 a0 a1 00 75 00 02 00 77 00 03 00 79 00 03 00 7c 00 03 00 86 a0 a1 00 8b 00 02 00 8d 00 03 00 90 00 03 00 92 00 03 00 9c a0 a1,missionlog_20251026.txt
2025-10-26,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 03 00 b1 00 02 00 b3 00 03 00 b5 00 03 00 b7 00 03 00 cf a0 a1 00 de 00 02 00 e0 00 03 00 e2 00 03 00 e5 00 03 00 ee a0 a1 05 79 00 05 05 79 00 06 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff,missionlog_20251026.txt
2025-10-26,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 04 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff,missionlog_20251026.txt
2025-10-26,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 05 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff,missionlog_20251026.txt
2025-10-29,,cmd,42 00 11 05 b3 00 00 00 00 00 05,missionlog_20251029.txt
2025-10-29,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 aa 42 00 11 05 b3 00 00 00 00 00 05 aa,missionlog_20251029.txt
2025-10-29,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 01 00 0b a0 a1 00 15 00 01 00 1b 00 02 00 1d 00 03 00 1f 00 03 00 22 00 03 00 2b a0 a1 00 42 00 02 00 44 00 03 00 46 00 03 00 48 00 03 00 52 a0 a1 00 5b 00 02 00 5d 00 03 00 5f 00 03 00 61 00 03,missionlog_20251029.txt
2025-10-29,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 02 00 6b a0 a1 00 75 00 02 00 77 00 03 00 7a 00 03 00 7c 00 03 00 86 a0 a1 00 9d 00 02 00 9f 00 03 00 a1 00 03 00 a3 00 03 00 ad a0 a1 00 b5 00 02 00 b8 00 03 00 ba 00 03 00 bc 00 03 00 c6 a0 a1,missionlog_20251029.txt
2025-10-29,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 03 00 d6 00 02 00 d9 00 03 00 db 00 03 00 dd 00 03 00 e7 a0 a1 00 fc 00 02 00 fe 00 03 01 00 00 03 01 02 00 03 01 0c a0 a1 01 19 00 02 01 1b 00 03 01 1d 00 03 01 1f 00 03 01 29 a0 a1 01 2f 00 02,missionlog_20251029.txt
2025-10-29,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 04 01 31 00 03 01 33 00 03 01 36 00 03 01 40 a0 a1 01 5d 00 02 01 5f 00 03 01 61 00 03 01 63 00 03 01 7b a0 a1 01 87 00 02 01 8a 00 03 01 8c 00 03 01 8e 00 03 01 98 a0 a1 10 f7 00 02 10 f9 00 03,missionlog_20251029.txt
2025-10-29,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 05 10 fb 00 03 10 fe 00 03 11 07 a0 a1 11 12 00 02 11 14 00 03 11 16 00 03 11 18 00 03 11 22 a0 a1 11 3a 00 02 11 3c 00 03 11 3e 00 03 11 40 00 03 11 4a a0 a1 12 27 00 02 12 29 00 03 12 2b 00 03,missionlog_20251029.txt
2025-11-04,,cmd,42 00 11 05 b3 00 00 00 00 00 0b,missionlog_20251104_1945.txt
2025-11-04,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 aa 42 00 11 05 b3 00 00 00 00 00 0b aa,missionlog_20251104_1945.txt
2025-11-04,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 01 00 0b a0 a1 00 14 00 01 00 2f 00 02 00 32 00 03 00 34 00 03 00 36 00 03 00 40 a0 a1 00 4a 00 02 00 4c 00 03 00 4e 00 03 00 50 00 03 00 5a a0 a1 00 62 00 02 00 64 00 03 00 66 00 03 00 68 00 03,missionlog_20251104_1945.txt
2025-11-04,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 02 00 72 a0 a1 00 85 00 02 00 87 00 03 00 89 00 03 00 8b 00 03 00 95 a0 a1 00 a9 00 02 00 ab 00 03 00 ae 00 03 00 b0 00 03 00 ba a0 a1 00 d8 00 02 00 da 00 03 00 dc 00 03 00 df 00 03 00 e8 a0 a1,missionlog_20251104_1945.txt
2025-11-04,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 03 00 f3 00 02 00 f5 00 03 00 f7 00 03 00 fa 00 03 01 04 a0 a1 01 10 00 02 01 12 00 03 01 14 00 03 01 16 00 03 01 20 a0 a1 01 3a 00 02 01 3c 00 03 01 3e 00 03 01 40 00 03 01 4a a0 a1 01 53 00 02,missionlog_20251104_1945.txt
2025-11-04,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 04 01 55 00 03 01 58 00 03 01 5a 00 03 01 64 a0 a1 01 77 00 02 01 79 00 03 01 7b 00 03 01 7e 00 03 01 88 a0 a1 01 9a 00 02 01 9c 00 03 01 9e 00 03 01 a0 00 03 01 aa a0 a1 01 b3 00 02 01 b5 00 03,missionlog_20251104_1945.txt
2025-11-04,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 05 01 b7 00 03 01 ba 00 03 01 c4 a0 a1 01 ce 00 02 01 d0 00 03 01 d2 00 03 01 d4 00 03 01 de a0 a1 02 17 00 02 02 19 00 03 02 1b 00 03 02 1d 00 03 02 27 a0 a1 04 b1 00 02 04 b4 00 03 04 b6 00 03,missionlog_20251104_1945.txt
