downlink_date,time_jst,kind,hex,source_log
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 02 5f 31 20 0d 0a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,94_a6_62_b2_9a_b2_60_94_a6_62_b2_a0.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 03 4a 52 37 49 4d 4e 3e 54 30 54 59 54 36 2c 4a 53 31 59 50 54 3a 60 44 48 20 6c 20 20 2d 2f 60 48 65 6c 6c 6f 20 4d 65 72 72 79 20 a8 6d 61 73 5f 31 20 0d 0a 00 00 00 00 00 00 00 00 00 00 00 00,94_a6_62_b2_9a_b2_60_94_a6_62_b2_a0.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,94_a6_62_b2_9a_b2_60_94_a6_62_b2_a0.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 15 4a 49 31 49 5a 52 3e 43 51 2c 4a 53 31 59 50 54 3a 3a 4a 41 35 42 4c 5a 20 20 20 3a 48 65 6c 6c 6f 20 66 72 6f 6d 20 50 4d 39 35 70 69 20 56 69 61 20 42 4f 54 41 4e 20 54 4e 58 0d 0a 00 00 00,94_a6_62_b2_9a_b2_60_94_a6_62_b2_a0.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 19 4a 41 35 42 4c 5a 3e 43 51 2c 4a 53 31 59 50 54 3a 3a 4a 49 31 49 5a 52 20 20 20 3a 47 41 20 35 39 39 20 50 4d 36 33 55 a7 20 54 55 20 37 33 0d 0a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,94_a6_62_b2_9a_b2_60_94_a6_62_b2_a0.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 1a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,94_a6_62_b2_9a_b2_60_94_a6_62_b2_a0.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 23 4a 53 31 59 4b 50 3e 4a 53 31 59 4b 50 2c 4a 53 31 59 50 54 3a 54 68 69 73 20 69 73 20 43 68 69 62 61 54 65 63 68 20 4d 65 72 72 79 20 58 6d 61 73 0d 0a 00 00 00 00 00 00 00 00 00 00 00 00 00,94_a6_62_b2_9a_b2_60_94_a6_62_b2_a0.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 2b 53 48 4f 4a 43 54 3e 41 50 4d 49 30 36 2c 54 43 50 49 50 2c 51 41 53 2c 57 4a 34 58 3a 3a 53 48 4f 4a 43 54 20 20 20 3a 50 41 52 4d 2e 56 69 ee 2c 52 78 31 68 2c 44 67 31 68 2c 45 66 66 31 68,94_a6_62_b2_9a_b2_60_94_a6_62_b2_a0.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 35 4b 47 38 43 57 3e 42 45 41 43 4f 4e 2c 41 52 49 53 53 3a 3d 34 34 33 37 2e 32 31 4e 2f 30 38 35 35 36 2e 35 30 57 2d 48 65 6c 6c 6f 20 66 72 6f 6d 20 4e 6f 74 68 65 72 6e 20 4d 69 63 68 20 45,94_a6_62_b2_9a_b2_60_94_a6_62_b2_a0.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 3e 20 53 61 74 65 6c b6 69 74 65 20 47 61 74 65 77 61 79 0d 0a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,94_a6_62_b2_9a_b2_60_94_a6_62_b2_a0.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 5a ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff,94_a6_62_b2_9a_b2_60_94_a6_62_b2_a0.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 5b ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff,94_a6_62_b2_9a_b2_60_94_a6_62_b2_a0.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 5f ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff,94_a6_62_b2_9a_b2_60_94_a6_62_b2_a0.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 60 ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff ff,94_a6_62_b2_9a_b2_60_94_a6_62_b2_a0.txt
2025-11-26,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4a 52 37 49 4d 4e 3e 54 30 54 59 54 36 2c 4a 53 31 59 50 54 3a 60 44 48 20 6c 20 20 2d 2f 60 48 65 6c 6c 6f 21 20 76 69 61 20 42 4f 54 41 4e,20251126_1850.txt
2025-11-26,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 02 5f 31 20 0d 0a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,20251126_1850.txt
