downlink_date,time_jst,kind,hex,source_log
2025-10-12,,cmd,42 00 11 07 36 70 00 00 00 00 0f,gyro_20251012_boot.txt
2025-10-12,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 aa 42 00 11 07 36 70 00 00 00 00 0f aa,gyro_20251012_boot.txt
2025-10-12,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 01 d0 00 00 00 06 00 00 00 00 00 00 08 26 d5 17 fb 33 2e 88 06 8e 00 08 00 53 0c b9 00 10 00 f0 0f d0 00 01 00 07 00 00 00 00 00 00 0f 2e d4 ab 00 67 2c 96 01 b5 00 08 00 4f 0c bb 00 12 00 f0 0f,gyro_20251012_boot.txt
2025-10-12,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 02 d0 00 02 00 08 00 00 00 00 00 00 17 92 d6 79 06 ec 2a 0c 00 0c 00 09 00 5d 0c d7 00 12 00 f0 0f d0 00 03 00 0a 00 00 00 00 00 00 1c f3 db 89 0d d5 29 ae 00 0b 00 09 00 64 0c d6 02 7b 00 f0 0f,gyro_20251012_boot.txt
2025-10-12,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 03 d0 00 04 00 0b 00 00 00 00 00 00 23 6b e0 04 12 c5 26 4a 00 0c 00 09 00 36 0c d5 06 32 00 f0 0f d0 00 05 00 0d 00 00 00 00 00 00 28 a7 e5 6f 16 d1 22 e3 00 0c 00 42 00 0d 0c d6 08 d1 00 f0 0f,gyro_20251012_boot.txt
2025-10-12,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 04 d0 00 06 00 0e 00 00 00 00 00 00 2b ea ea f8 1b 15 1f 7e 00 6d 03 d6 00 0d 0c d5 08 94 00 f0 0f d0 00 07 00 10 00 00 00 00 00 00 30 08 ef ef 1c 40 1b 11 06 5d 04 a1 00 0d 0c d2 04 fb 00 f0 0f,gyro_20251012_boot.txt
2025-10-12,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 06 d0 00 0a 00 14 00 00 00 00 00 00 2d d4 f8 a2 27 b2 13 20 01 c5 00 09 00 5b 0c bc 00 10 00 f0 0f d0 00 0b 00 15 00 00 00 00 00 00 2e 49 fa a4 28 9d 10 98 00 0d 00 09 00 5b 0c b9 00 11 00 f0 0f,gyro_20251012_boot.txt
2025-10-12,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 07 d0 00 0c 00 17 00 00 00 00 00 00 2e 44 fc 81 29 c3 0e 20 00 0c 00 09 00 5f 0c b7 00 10 00 f0 0f d0 00 0d 00 18 00 00 00 00 00 00 2e 5b fe 70 2a 93 0b 80 00 0c 00 09 00 16 0c cf 00 cf 00 f0 0f,gyro_20251012_boot.txt
2025-10-12,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 08 d0 00 0e 00 1a 00 00 00 00 00 00 2e 53 00 84 2b 41 08 e5 00 0c 00 25 00 0d 0c ce 06 3b 00 f0 0f d0 00 0f 00 1b 00 00 00 00 00 00 2e 7e 02 9d 2b 7c 06 0c 00 0b 00 cd 00 0e 0c cd 09 5a 00 f0 0f,gyro_20251012_boot.txt
2025-10-12,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 09 d0 00 10 00 1d 00 00 00 00 00 00 2e 0f 04 fe 2c 10 02 e2 03 c8 00 0c 00 0e 0c cb 08 c5 00 f0 0f d0 00 11 00 1e 00 00 00 00 00 00 d1 db f8 50 d4 55 00 b7 08 54 00 09 00 1b 0c ca 04 2f 00 f0 0f,gyro_20251012_boot.txt
