downlink_date,time_jst,kind,hex,source_log
,,cmd,42 00 11 04 1a 00 00 00 00 00 09,hshk_ant_deploy.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 aa 42 00 11 04 1a 00 00 00 00 00 09 aa,hshk_ant_deploy.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 01 33 12 1f 00 00 00 06 1c 06 3e 06 31 06 0a 05 78 06 28 1c 06 1a 0b c6 0b eb 09 40 0b e2 04 d9 03 32 00 18 01 9b 93 03 cc 8d 05 69 ac 02 22 00 9f 07 01 10 00 00 ff e0 00 00 00 00 00 00 00 00 30,hshk_ant_deploy.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 02 33 18 1f 00 00 00 06 08 06 3c 06 2a 06 07 05 78 06 1f 1c 06 17 09 35 0b f6 05 8a 04 0a 0b ef 01 41 00 00 25 9b 93 04 15 8c 05 57 ad 02 37 00 87 09 01 12 88 00 ff e0 00 00 00 00 00 00 00 00 d0,hshk_ant_deploy.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 04 33 22 1f 00 00 00 05 df 06 3d 06 27 06 11 05 7a 06 26 1c 06 17 0b ac 0b ee 0a b1 0b dc 0a 24 01 36 00 19 01 9b 92 04 18 8b 05 37 ac 02 28 00 87 09 01 0f 89 00 ff e0 00 00 00 00 00 00 00 00 98,hshk_ant_deploy.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 05 33 27 1f 00 00 00 05 ba 06 37 06 21 06 10 05 77 06 28 1c 06 13 0c 03 0b f8 08 f4 06 2b 0b d2 3e 41 00 01 08 9a 93 04 81 8c 05 42 ad 02 6e 00 86 09 01 05 88 00 ff e0 00 00 00 00 00 00 00 00 f9,hshk_ant_deploy.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 06 33 2c 1f 00 00 00 05 a7 06 38 06 22 06 15 05 76 06 2e 1c 06 15 0b ff 0b b1 0b 54 0b e5 0b b7 49 03 00 19 02 9a 91 04 3a 8b 05 41 ad 02 40 00 87 09 01 05 89 00 ff e0 00 00 00 00 00 00 00 00 e4,hshk_ant_deploy.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 07 33 31 1f 00 00 00 05 8d 06 39 06 23 06 18 05 75 06 31 1c 06 15 0b ad 0b ed 0a 3c 0b df 09 ba 01 37 00 1a 01 9a 91 04 29 8a 05 31 ac 02 24 00 85 09 00 05 87 00 ff e0 00 00 00 00 00 00 00 00 e6,hshk_ant_deploy.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 08 33 36 1f 00 00 00 05 7c 06 32 06 1e 06 15 05 70 06 2f 1c 06 11 0c 09 0b ee 03 dd 09 26 0b bc 67 23 00 01 03 9a 91 04 7a 8b 05 39 ac 02 65 00 85 09 01 05 87 00 ff e0 00 00 00 00 00 00 00 00 f2,hshk_ant_deploy.txt
,,frame,94 a6 62 b2 9a b2 60 94 a6 62 b2 a0 a8 61 03 f0 42 11 ff 00 00 09 33 3b 1f 00 00 00 05 77 06 38 06 23 06 1d 05 6f 06 38 1c 06 16 0b c5 0b 60 0a 3c 09 c7 0b 87 06 02 00 01 01 9a 8e 03 bd 87 05 30 ac 01 e3 00 86 09 00 06 87 00 ff e0 00 00 00 00 00 00 00 00 af,hshk_ant_deploy.txt
