satellite,instrument,mission,date,downlink_date,path,width,height,bytes,brightness,contrast,status,capture_start,capture_end,time_basis,iso,shutter,exposure_mode,capture_confidence,sha256
BOTAN,CAM,AURORA,2026-01-20,2026-01-25,data/downlink/04_botan/images/cam/aurora_20260120T1603_1f9d2e11cf.jpg,960.0,540.0,15913,105.45,20.89,ok,2026-01-20T16:03:41+09:00,2026-01-20T16:20:11+09:00,pass+timer,1600,2000 ms,manual,high,1f9d2e11cff074375e080fc3f5ff273940220bd424b257e88f972e84719e1a07
BOTAN,CAM,AURORA,2026-01-20,2026-01-25,data/downlink/04_botan/images/cam/aurora_20260120T1603_dafcfcb945.jpg,960.0,540.0,15036,140.59,30.27,ok,2026-01-20T16:03:41+09:00,2026-01-20T16:20:11+09:00,pass+timer,1600,2000 ms,manual,high,dafcfcb945c24726fbe13665a857485a524a33abd586e1c14f3d946ae439b24b
BOTAN,CAM,AURORA,2025-10-22,unknown,data/downlink/04_botan/images/cam/aurora_20251022T1214_582cf16b9a.jpg,960.0,540.0,9775,68.99,71.08,ok,2025-10-22T12:14:54+09:00,2025-10-22T12:31:40+09:00,pass+timer,800,0.5 ms,manual,medium,582cf16b9afc0e4b156bd3d5b7da06b86d7d9869ba3e626bf666e4c99419a04a
BOTAN,CAM,AURORA,2025-11-24,unknown,data/downlink/04_botan/images/cam/aurora_20251124T1253_5ba7a78451.jpg,960.0,540.0,12817,9.14,40.8,dark,2025-11-24T12:53:00+09:00,2025-11-24T13:11:00+09:00,pass+timer,1600,2000 ms,manual,high,5ba7a784511d591586f784f8d2841be8848f05b1ab4aefd4bc9b8bc711e67d7e
BOTAN,CAM,AURORA,2025-11-21,unknown,data/downlink/04_botan/images/cam/aurora_20251121T1401_7551c85638.jpg,960.0,540.0,16706,208.32,31.46,ok,2025-11-21T14:01:00+09:00,2025-11-21T14:18:00+09:00,pass+timer,1600,2000 ms,manual,high,7551c8563854c464c8018367a0e6ee7d9663fe04af4a216119c07ce6d4da889f
BOTAN,CAM,PUMICE,2026-01-16,unknown,data/downlink/04_botan/images/cam/pumice_20260116T1550_7741382f4d.jpg,1920.0,1080.0,116598,78.59,86.21,ok,2026-01-16T15:50:08+09:00,2026-01-16T16:03:38+09:00,pass+timer,100,0.5 ms,manual,medium,7741382f4dd8d77fca6b34b56b9439e2642a9d5376f4d707f980f6a688b1f7e3
BOTAN,CAM,AURORA,2025-11-28,unknown,data/downlink/04_botan/images/cam/aurora_20251128T1832_8b7eb0015a.jpg,960.0,540.0,64880,158.74,44.15,ok,2025-11-28T18:32:00+09:00,2025-11-28T18:49:00+09:00,pass+timer,1600,2000 ms,manual,medium,8b7eb0015a666ecc4f7d695026e5c4525542ba6ef7fdd61b3e2ff76baa8b3285
BOTAN,CAM,AURORA,2025-11-21,unknown,data/downlink/04_botan/images/cam/aurora_20251121T1401_94d2b14d97.jpg,960.0,540.0,11827,20.98,10.94,ok,2025-11-21T14:01:00+09:00,2025-11-21T14:18:00+09:00,pass+timer,1600,2000 ms,manual,high,94d2b14d9741f4429376e352b3c07d0990950181691f60588784762879596843
BOTAN,CAM,AURORA,2025-11-24,unknown,data/downlink/04_botan/images/cam/aurora_20251124T1253_9b7b3a7c07.jpg,960.0,540.0,12201,8.32,37.63,dark,2025-11-24T12:53:00+09:00,2025-11-24T13:11:00+09:00,pass+timer,1600,2000 ms,manual,high,9b7b3a7c07c8d7a1db9af80c6e3615f39cbd6223a0fe919d3154ed6051d448ee
BOTAN,CAM,AURORA,2025-10-22,unknown,data/downlink/04_botan/images/cam/aurora_20251022T1214_df6ec4c683.jpg,960.0,540.0,40643,68.99,71.08,ok,2025-10-22T12:14:54+09:00,2025-10-22T12:31:40+09:00,pass+timer,800,0.5 ms,manual,high,df6ec4c68363b72e398a0f7c4d4e3c3b8a9066450db9248d2b100a8854233ff4
BOTAN,CAM,AURORA,2025-11-14,unknown,data/downlink/04_botan/images/cam/aurora_20251114T1557_f98649cb11.jpg,960.0,540.0,9276,0.93,5.28,dark,2025-11-14T15:57:54+09:00,2025-11-14T16:12:24+09:00,pass+timer,1600,2000 ms,manual,high,f98649cb11533789b0d3e6956081bd134666de115e8436d74e838bb61e04f25f
BOTAN,CAM,CORN,2025-10-11,2025-10-11,data/downlink/04_botan/images/cam/corn_20251011T0554_0f0f3996e5.jpg,960.0,540.0,8846,150.8,48.76,ok,2025-10-11T05:54:08+09:00,2025-10-11T06:07:19+09:00,pass+timer,1600,1 ms,manual,medium,0f0f3996e5a1f96d30f53dfede0b3c798a24e42567ac0cc776d21e02626867c1
BOTAN,CAM,CORN,2025-10-11,2025-10-11,data/downlink/04_botan/images/cam/corn_20251011T0554_37b289080d.jpg,960.0,540.0,9469,127.95,110.45,ok,2025-10-11T05:54:08+09:00,2025-10-11T06:07:19+09:00,pass+timer,1600,1 ms,manual,high,37b289080d6c43dc174238b1ce768ad83f6eb6d019636555ca42a345820de4d5
BOTAN,CAM,CORN,2025-10-11,2025-10-11,data/downlink/04_botan/images/cam/corn_20251011T1151_39491a5439.jpg,960.0,540.0,12678,153.69,45.72,ok,2025-10-11T11:51:54+09:00,2025-10-11T12:03:18+09:00,pass+timer,100,0.5 ms,manual,medium,39491a543930f606ac596610304993c69aa57b05406becbfdb319a56e0260e53
BOTAN,CAM,CORN,2025-10-11,2025-10-11,data/downlink/04_botan/images/cam/corn_20251011T0554_5fd43fef4b.jpg,960.0,540.0,9469,123.8,70.06,ok,2025-10-11T05:54:08+09:00,2025-10-11T06:07:19+09:00,pass+timer,1600,1 ms,manual,medium,5fd43fef4b17f8067bd3460f2eb5c302017c85193d46ecbb2e138ed32adbd60f
BOTAN,CAM,CORN,2025-10-11,2025-10-11,data/downlink/04_botan/images/cam/corn_20251011T0554_b8f46dd5f6.jpg,960.0,540.0,9469,132.02,36.07,ok,2025-10-11T05:54:08+09:00,2025-10-11T06:07:19+09:00,pass+timer,1600,1 ms,manual,medium,b8f46dd5f64b6f87ec0544d99eac9d3f655dd13b6d9107fde167a439025176a9
BOTAN,CAM,CORN,2025-10-11,2025-10-11,data/downlink/04_botan/images/cam/corn_20251011T1151_bf6be68015.jpg,960.0,540.0,15389,226.27,35.24,ok,2025-10-11T11:51:54+09:00,2025-10-11T12:03:18+09:00,pass+timer,100,0.5 ms,manual,medium,bf6be680157d2a904859ae18f85ce78db038e41c18d0e8d4973d4f79f06739b3
BOTAN,CAM,CORN,2025-10-11,2025-10-11,data/downlink/04_botan/images/cam/corn_20251011T0554_c05d0da103.jpg,960.0,540.0,9469,128.2,92.63,ok,2025-10-11T05:54:08+09:00,2025-10-11T06:07:19+09:00,pass+timer,1600,1 ms,manual,medium,c05d0da103f8051ed6c3427719e35de30502b4f93774a8b13ac34da7a21144bc
BOTAN,CAM,CORN,2025-10-11,2025-10-12,data/downlink/04_botan/images/cam/corn_20251011T1151_3596cef5bc.jpg,960.0,540.0,116598,230.55,27.06,ok,2025-10-11T11:51:54+09:00,2025-10-11T12:03:18+09:00,pass+timer,100,0.5 ms,manual,high,3596cef5bcf5e5627f27598fe6af38932c0b69d57aea298b3521f1e745bbc020
