recorded_at,source,name,line1,line2
2024-09-04T20:31:31.0000000,ops_log,SAKURA,1 60954U 98067WU  24247.60248306  .00115501  00000+0  19272-2 0  9997,2 60954  51.6391 286.8206 0013428 314.7580  45.2651 15.50985581   818
2024-09-05T20:35:13.0000000,ops_log,SAKURA,1 60954U 98067WU  24249.14868578  .00131486  00000+0  21582-2 0  9994,2 60954  51.6377 279.1546 0014229 325.1123  34.8933 15.51363377  1051
2024-09-11T20:09:39.0000000,ops_log,SAKURA,1 60954U 98067WU  24254.94332734  .00143032  00000+0  22161-2 0  9992,2 60954  51.6369 250.3539 0012946 348.5002  11.5691 15.52940136  1951
2024-09-12T17:17:23.0000000,ops_log,SAKURA,1 60954U 98067WU  24255.26507526  .00135916  00000+0  21017-2 0  9992,2 60954  51.6370 248.7520 0012806 349.6675  10.4050 15.53025898  2001
2024-09-13T15:00:07.118182+09:00,gs_db,SAKURA,1 60954U 98067WU  24256.68055150  .00287811  00000+0  42894-2 0  9998,2 60954  51.6366 241.7051 0012506 355.6669   4.4211 15.53474434  2225
2024-09-13T18:00:08.360924+09:00,gs_db,SAKURA,1 60954U 98067WU  24257.00218876  .00196374  00000+0  29515-2 0  9999,2 60954  51.6362 240.1027 0012388 356.8544   3.2367 15.53578499  2270
2024-09-13T21:00:13.984365+09:00,gs_db,SAKURA,1 60954U 98067WU  24257.00218876  .00196374  00000+0  29515-2 0  9999,2 60954  51.6362 240.1027 0012388 356.8544   3.2367 15.53578499  2270
2024-09-14T00:00:04.333118+09:00,gs_db,SAKURA,1 60954U 98067WU  24257.00218876  .00196374  00000+0  29515-2 0  9999,2 60954  51.6362 240.1027 0012388 356.8544   3.2367 15.53578499  2270
2024-09-14T03:00:08.025461+09:00,gs_db,SAKURA,1 60954U 98067WU  24257.00218876  .00196374  00000+0  29515-2 0  9999,2 60954  51.6362 240.1027 0012388 356.8544   3.2367 15.53578499  2270
2024-09-14T06:00:06.892166+09:00,gs_db,SAKURA,1 60954U 98067WU  24257.00218876  .00196374  00000+0  29515-2 0  9999,2 60954  51.6362 240.1027 0012388 356.8544   3.2367 15.53578499  2270
2024-09-14T09:00:19.342957+09:00,gs_db,SAKURA,1 60954U 98067WU  24257.00218876  .00196374  00000+0  29515-2 0  9999,2 60954  51.6362 240.1027 0012388 356.8544   3.2367 15.53578499  2270
2024-09-14T12:00:06.659799+09:00,gs_db,SAKURA,1 60954U 98067WU  24257.00218876  .00196374  00000+0  29515-2 0  9999,2 60954  51.6362 240.1027 0012388 356.8544   3.2367 15.53578499  2270
2024-09-14T15:00:10.572152+09:00,gs_db,SAKURA,1 60954U 98067WU  24257.00218876  .00196374  00000+0  29515-2 0  9999,2 60954  51.6362 240.1027 0012388 356.8544   3.2367 15.53578499  2270
2024-09-13T16:39:25.0000000,ops_log,SAKURA,1 60954U 98067WU  24257.00218876  .00196374  00000-0  29515-2 0  9990,2 60954  51.6362 240.1027 0012388 356.8544   3.2367 15.53578499  2270
2024-09-14T18:00:05.69227+09:00,gs_db,SAKURA,1 60954U 98067WU  24257.96695817  .00180505  00000+0  26868-2 0  9995,2 60954  51.6360 235.2958 0012133   0.7639 359.3368 15.53909047  2424
2024-09-14T21:00:14.840572+09:00,gs_db,SAKURA,1 60954U 98067WU  24257.96695817  .00180505  00000+0  26868-2 0  9995,2 60954  51.6360 235.2958 0012133   0.7639 359.3368 15.53909047  2424
2024-09-15T00:00:06.28521+09:00,gs_db,SAKURA,1 60954U 98067WU  24257.96695817  .00180505  00000+0  26868-2 0  9995,2 60954  51.6360 235.2958 0012133   0.7639 359.3368 15.53909047  2424
2024-09-15T00:42:29.360532+09:00,gs_db,SAKURA,1 60954U 98067WU  24257.96695817  .00180505  00000+0  26868-2 0  9995,2 60954  51.6360 235.2958 0012133   0.7639 359.3368 15.53909047  2424
2024-09-15T03:00:07.251962+09:00,gs_db,SAKURA,1 60954U 98067WU  24258.22419790  .00216958  00000+0  32029-2 0  9997,2 60954  51.6362 234.0132 0012006   1.7066 358.3964 15.54000156  2460
2024-09-15T06:00:06.899063+09:00,gs_db,SAKURA,1 60954U 98067WU  24258.22419790  .00216958  00000+0  32029-2 0  9997,2 60954  51.6362 234.0132 0012006   1.7066 358.3964 15.54000156  2460
2024-09-15T09:00:16.209205+09:00,gs_db,SAKURA,1 60954U 98067WU  24258.22419790  .00216958  00000+0  32029-2 0  9997,2 60954  51.6362 234.0132 0012006   1.7066 358.3964 15.54000156  2460
2024-09-15T12:00:03.899882+09:00,gs_db,SAKURA,1 60954U 98067WU  24258.22419790  .00216958  00000+0  32029-2 0  9997,2 60954  51.6362 234.0132 0012006   1.7066 358.3964 15.54000156  2460
2024-09-15T15:00:06.732694+09:00,gs_db,SAKURA,1 60954U 98067WU  24258.93154291  .00141874  00000+0  21029-2 0  9999,2 60954  51.6365 230.4868 0011915   4.3698 355.7395 15.54179311  2578
2024-09-15T18:00:11.344288+09:00,gs_db,SAKURA,1 60954U 98067WU  24259.18873649  .00141106  00000+0  20862-2 0  9994,2 60954  51.6366 229.2045 0011804   5.4047 354.7069 15.54253524  2610
2024-09-15T21:00:13.814651+09:00,gs_db,SAKURA,1 60954U 98067WU  24259.18873649  .00141106  00000+0  20862-2 0  9994,2 60954  51.6366 229.2045 0011804   5.4047 354.7069 15.54253524  2610
2024-09-16T03:00:07.341862+09:00,gs_db,SAKURA,1 60954U 98067WU  24259.18873649  .00141106  00000+0  20862-2 0  9994,2 60954  51.6366 229.2045 0011804   5.4047 354.7069 15.54253524  2610
2024-09-16T09:00:16.512395+09:00,gs_db,SAKURA,1 60954U 98067WU  24259.18873649  .00141106  00000+0  20862-2 0  9994,2 60954  51.6366 229.2045 0011804   5.4047 354.7069 15.54253524  2610
2024-09-16T15:00:08.925824+09:00,gs_db,SAKURA,1 60954U 98067WU  24259.63880014  .00156616  00000+0  23003-2 0  9990,2 60954  51.6366 226.9609 0011725   7.3333 352.7827 15.54373113  2685
2024-09-16T21:00:17.69589+09:00,gs_db,SAKURA,1 60954U 98067WU  24260.15311478  .00132882  00000+0  19493-2 0  9999,2 60954  51.6363 224.3952 0011546   9.3446 350.7758 15.54504798  2768
2024-09-17T03:00:07.527875+09:00,gs_db,SAKURA,1 60954U 98067WU  24260.15311478  .00132882  00000+0  19493-2 0  9999,2 60954  51.6363 224.3952 0011546   9.3446 350.7758 15.54504798  2768
2024-09-17T09:00:15.718788+09:00,gs_db,SAKURA,1 60954U 98067WU  24260.60310329  .00142426  00000+0  20772-2 0  9990,2 60954  51.6362 222.1508 0011415  11.1614 348.9628 15.54626210  2830
2024-09-17T15:00:09.594006+09:00,gs_db,SAKURA,1 60954U 98067WU  24260.92450166  .00140679  00000+0  20456-2 0  9996,2 60954  51.6361 220.5471 0011354  12.2026 347.9238 15.54715728  2885
2024-09-17T21:00:19.818209+09:00,gs_db,SAKURA,1 60954U 98067WU  24261.11733201  .00148155  00000+0  21478-2 0  9994,2 60954  51.6364 219.5845 0011254  12.9599 347.1679 15.54769606  2911
2024-09-18T03:00:07.400244+09:00,gs_db,SAKURA,1 60954U 98067WU  24261.11733201  .00148155  00000+0  21478-2 0  9994,2 60954  51.6364 219.5845 0011254  12.9599 347.1679 15.54769606  2911
2024-09-18T09:00:18.981028+09:00,gs_db,SAKURA,1 60954U 98067WU  24261.11733201  .00148155  00000+0  21478-2 0  9994,2 60954  51.6364 219.5845 0011254  12.9599 347.1679 15.54769606  2911
2024-09-18T15:00:07.397213+09:00,gs_db,SAKURA,1 60954U 98067WU  24261.88857082  .00177192  00000+0  25328-2 0  9993,2 60954  51.6368 215.7348 0010965  15.7285 344.4044 15.55044392  3031
2024-09-18T21:00:19.558736+09:00,gs_db,SAKURA,1 60954U 98067WU  24262.14562316  .00161497  00000+0  23077-2 0  9996,2 60954  51.6370 214.4511 0010912  16.6252 343.5095 15.55114209  3073
2024-09-19T03:00:06.92335+09:00,gs_db,SAKURA,1 60954U 98067WU  24262.14562316  .00161497  00000+0  23077-2 0  9996,2 60954  51.6370 214.4511 0010912  16.6252 343.5095 15.55114209  3073
2024-09-19T09:00:15.457256+09:00,gs_db,SAKURA,1 60954U 98067WU  24262.14562316  .00161497  00000+0  23077-2 0  9996,2 60954  51.6370 214.4511 0010912  16.6252 343.5095 15.55114209  3073
2024-09-19T15:00:06.406607+09:00,gs_db,SAKURA,1 60954U 98067WU  24262.14562316  .00161497  00000+0  23077-2 0  9996,2 60954  51.6370 214.4511 0010912  16.6252 343.5095 15.55114209  3073
2024-09-19T21:00:21.2736+09:00,gs_db,SAKURA,1 60954U 98067WU  24263.10947866  .00130442  00000+0  18575-2 0  9993,2 60954  51.6370 209.6382 0010739  20.3372 339.8045 15.55334960  3225
2024-09-20T03:00:09.201364+09:00,gs_db,SAKURA,1 60954U 98067WU  24263.10947866  .00130442  00000+0  18575-2 0  9993,2 60954  51.6370 209.6382 0010739  20.3372 339.8045 15.55334960  3225
2024-09-20T09:00:18.535519+09:00,gs_db,SAKURA,1 60954U 98067WU  24263.23798183  .00135420  00000+0  19246-2 0  9990,2 60954  51.6368 208.9962 0010668  21.0856 339.0573 15.55368617  3240
2024-09-20T15:00:06.69193+09:00,gs_db,SAKURA,1 60954U 98067WU  24263.23798183  .00135420  00000+0  19246-2 0  9990,2 60954  51.6368 208.9962 0010668  21.0856 339.0573 15.55368617  3240
2024-09-20T15:21:56.0000000,ops_log,SAKURA,1 60954U 98067WU  24263.23798183  .00135420  00000-0  19246-2 0  9991,2 60954  51.6368 208.9962 0010668  21.0856 339.0573 15.55368617  3240
2024-09-20T21:00:15.72359+09:00,gs_db,SAKURA,1 60954U 98067WU  24264.13743078  .00124292  00000+0  17552-2 0  9996,2 60954  51.6366 204.5037 0010377  24.5730 335.5754 15.55591756  3388
2024-09-21T03:00:07.43577+09:00,gs_db,SAKURA,1 60954U 98067WU  24264.13743078  .00124292  00000+0  17552-2 0  9996,2 60954  51.6366 204.5037 0010377  24.5730 335.5754 15.55591756  3388
2024-09-21T09:00:16.352071+09:00,gs_db,SAKURA,1 60954U 98067WU  24264.13743078  .00124292  00000+0  17552-2 0  9996,2 60954  51.6366 204.5037 0010377  24.5730 335.5754 15.55591756  3388
2024-09-21T15:00:08.087433+09:00,gs_db,SAKURA,1 60954U 98067WU  24264.90828723  .00126143  00000+0  17692-2 0  9994,2 60954  51.6365 200.6533 0010197  27.5017 332.6512 15.55771517  3505
2024-09-22T03:00:08.440706+09:00,gs_db,SAKURA,1 60954U 98067WU  24264.90828723  .00126143  00000+0  17692-2 0  9994,2 60954  51.6365 200.6533 0010197  27.5017 332.6512 15.55771517  3505
2024-09-22T09:00:17.78405+09:00,gs_db,SAKURA,1 60954U 98067WU  24265.55060111  .00118714  00000+0  16585-2 0  9990,2 60954  51.6366 197.4427 0010015  30.2167 329.9400 15.55911152  3604
2024-09-22T15:00:12.566938+09:00,gs_db,SAKURA,1 60954U 98067WU  24265.80751075  .00115140  00000+0  16063-2 0  9995,2 60954  51.6364 196.1587 0009975  31.0211 329.1368 15.55965077  3641
2024-09-22T21:00:19.401072+09:00,gs_db,SAKURA,1 60954U 98067WU  24265.80751075  .00115140  00000+0  16063-2 0  9995,2 60954  51.6364 196.1587 0009975  31.0211 329.1368 15.55965077  3641
2024-09-23T03:00:08.609948+09:00,gs_db,SAKURA,1 60954U 98067WU  24265.80751075  .00115140  00000+0  16063-2 0  9995,2 60954  51.6364 196.1587 0009975  31.0211 329.1368 15.55965077  3641
2024-09-23T09:00:17.284957+09:00,gs_db,SAKURA,1 60954U 98067WU  24266.51396134  .00116514  00000+0  16156-2 0  9994,2 60954  51.6361 192.6266 0009810  34.3588 325.8036 15.56125624  3758
2024-09-23T15:00:08.769117+09:00,gs_db,SAKURA,1 60954U 98067WU  24266.83505165  .00119537  00000+0  16522-2 0  9990,2 60954  51.6359 191.0210 0009753  35.4584 324.7054 15.56200076  3800
2024-09-23T21:00:20.994921+09:00,gs_db,SAKURA,1 60954U 98067WU  24266.83505165  .00119537  00000+0  16522-2 0  9990,2 60954  51.6359 191.0210 0009753  35.4584 324.7054 15.56200076  3800
2024-09-24T03:00:07.403106+09:00,gs_db,SAKURA,1 60954U 98067WU  24266.83505165  .00119537  00000+0  16522-2 0  9990,2 60954  51.6359 191.0210 0009753  35.4584 324.7054 15.56200076  3800
