recorded_at,source,name,line1,line2
2024-12-13T21:48:12.614702+09:00,gs_db,OBJECT XE,1 62298U 98067XE  24347.66836448  .00072976  00000+0  11994-2 0  9998,2 62298  51.6362 151.0990 0010547 322.5881  37.4374 15.51661144   511
2024-12-14T03:00:08.754879+09:00,gs_db,OBJECT XE,1 62298U 98067XE  24347.66836448  .00072976  00000+0  11994-2 0  9998,2 62298  51.6362 151.0990 0010547 322.5881  37.4374 15.51661144   511
2024-12-14T09:00:33.69867+09:00,gs_db,OBJECT XE,1 62298U 98067XE  24347.66836448  .00072976  00000+0  11994-2 0  9998,2 62298  51.6362 151.0990 0010547 322.5881  37.4374 15.51661144   511
2024-12-14T15:00:12.86002+09:00,gs_db,OBJECT XE,1 62298U 98067XE  24347.66836448  .00072976  00000+0  11994-2 0  9998,2 62298  51.6362 151.0990 0010547 322.5881  37.4374 15.51661144   511
2024-12-14T21:00:25.953117+09:00,gs_db,OBJECT XE,1 62298U 98067XE  24347.66836448  .00072976  00000+0  11994-2 0  9998,2 62298  51.6362 151.0990 0010547 322.5881  37.4374 15.51661144   511
2024-12-15T03:00:10.418994+09:00,gs_db,OBJECT XE,1 62298U 98067XE  24347.66836448  .00072976  00000+0  11994-2 0  9998,2 62298  51.6362 151.0990 0010547 322.5881  37.4374 15.51661144   511
2024-12-15T09:00:29.173105+09:00,gs_db,YOMOGI,1 62298U 98067XE  24347.66836448  .00072976  00000+0  11994-2 0  9998,2 62298  51.6362 151.0990 0010547 322.5881  37.4374 15.51661144   511
2024-12-15T15:00:11.554005+09:00,gs_db,YOMOGI,1 62298U 98067XE  24347.66836448  .00072976  00000+0  11994-2 0  9998,2 62298  51.6362 151.0990 0010547 322.5881  37.4374 15.51661144   511
2024-12-15T21:00:20.089737+09:00,gs_db,YOMOGI,1 62298U 98067XE  24349.79348871  .00085193  00000+0  13800-2 0  9995,2 62298  51.6359 140.5409 0010850 331.5804  28.4593 15.51994930   848
2024-12-16T03:00:10.105962+09:00,gs_db,YOMOGI,1 62298U 98067XE  24350.43737039  .00093542  00000+0  15063-2 0  9996,2 62298  51.6359 137.3413 0011022 334.1863  25.8575 15.52114962   945
2024-12-16T09:00:24.599952+09:00,gs_db,YOMOGI,1 62298U 98067XE  24350.43737039  .00093542  00000+0  15063-2 0  9996,2 62298  51.6359 137.3413 0011022 334.1863  25.8575 15.52114962   945
2024-12-16T15:00:09.689497+09:00,gs_db,YOMOGI,1 62298U 98067XE  24350.43737039  .00093542  00000+0  15063-2 0  9996,2 62298  51.6359 137.3413 0011022 334.1863  25.8575 15.52114962   945
2024-12-16T21:00:26.44501+09:00,gs_db,YOMOGI,1 62298U 98067XE  24350.88805827  .00091658  00000+0  14721-2 0  9992,2 62298  51.6364 135.1004 0011031 335.9212  24.1261 15.52197163  1017
2024-12-17T03:00:11.322532+09:00,gs_db,YOMOGI,1 62298U 98067XE  24351.46747983  .00084245  00000+0  13499-2 0  9990,2 62298  51.6366 132.2205 0011229 338.4342  21.6173 15.52297801  1105
2024-12-17T09:00:28.175071+09:00,gs_db,YOMOGI,1 62298U 98067XE  24351.46747983  .00084245  00000+0  13499-2 0  9990,2 62298  51.6366 132.2205 0011229 338.4342  21.6173 15.52297801  1105
2024-12-17T15:00:09.683948+09:00,gs_db,YOMOGI,1 62298U 98067XE  24351.85374029  .00088968  00000+0  14209-2 0  9996,2 62298  51.6371 130.2997 0011228 340.0364  20.0186 15.52364745  1164
2024-12-17T21:00:22.628378+09:00,gs_db,YOMOGI,1 62298U 98067XE  24351.85374029  .00088968  00000+0  14209-2 0  9996,2 62298  51.6371 130.2997 0011228 340.0364  20.0186 15.52364745  1164
2024-12-18T03:00:09.828561+09:00,gs_db,YOMOGI,1 62298U 98067XE  24351.85374029  .00088968  00000+0  14209-2 0  9996,2 62298  51.6371 130.2997 0011228 340.0364  20.0186 15.52364745  1164
2024-12-18T09:00:29.918924+09:00,gs_db,YOMOGI,1 62298U 98067XE  24352.56183894  .00103814  00000+0  16454-2 0  9995,2 62298  51.6369 126.7792 0011444 343.0700  16.9907 15.52501490  1278
2024-12-18T15:00:09.413086+09:00,gs_db,YOMOGI,1 62298U 98067XE  24352.81931341  .00092564  00000+0  14674-2 0  9992,2 62298  51.6369 125.4985 0011399 344.0910  15.9721 15.52550563  1314
2024-12-18T21:00:26.634049+09:00,gs_db,YOMOGI,1 62298U 98067XE  24352.81931341  .00092564  00000+0  14674-2 0  9992,2 62298  51.6369 125.4985 0011399 344.0910  15.9721 15.52550563  1314
2024-12-19T03:00:10.067575+09:00,gs_db,YOMOGI,1 62298U 98067XE  24352.81931341  .00092564  00000+0  14674-2 0  9992,2 62298  51.6369 125.4985 0011399 344.0910  15.9721 15.52550563  1314
2024-12-19T09:00:25.985837+09:00,gs_db,YOMOGI,1 62298U 98067XE  24353.33423712  .00095024  00000+0  15002-2 0  9998,2 62298  51.6368 122.9385 0011566 346.1505  13.9166 15.52650602  1392
2024-12-19T15:00:10.246893+09:00,gs_db,YOMOGI,1 62298U 98067XE  24353.84913076  .00090010  00000+0  14178-2 0  9994,2 62298  51.6369 120.3764 0011577 348.0380  12.0333 15.52738741  1476
2024-12-19T21:00:27.627451+09:00,gs_db,YOMOGI,1 62298U 98067XE  24354.23528178  .00091443  00000+0  14365-2 0  9992,2 62298  51.6371 118.4559 0011765 349.6005  10.4740 15.52803612  1530
