recorded_at,source,name,line1,line2
2025-10-10T21:16:46.672779+09:00,gs_db,BOTAN,1 99999U   24001A 25283.40981929  .00000000  00000-0  00000-0 0    18,2 99999  51.6210  96.0336 0007676 147.2704 274.5466 15.51535239    14
2025-10-10T21:16:46.817762+09:00,gs_db,BOTAN,1 99999U   24001A 25283.40981929  .00000000  00000-0  00000-0 0    18,2 99999  51.6210  96.0336 0007676 147.2704 274.5466 15.51535239    14
2025-10-12T07:19:00.70371+09:00,gs_db,,1 98543U          25284.31303454  .00000000  00000-0  20092-3 0    02,2 98543  51.6320  91.4346 0000966 226.7270 199.7405 15.50421493    01
2025-10-12T07:19:00.84026+09:00,gs_db,BOTAN,1 98543U          25284.31303454  .00000000  00000-0  20092-3 0    02,2 98543  51.6320  91.4346 0000966 226.7270 199.7405 15.50421493    01
2025-10-12T18:54:42.644961+09:00,gs_db,BOTAN,1 65943U 98067XQ  25284.36553998  .00003834  00000+0  73976-4 0  9999,2 65943  51.6335  91.2721 0003699 215.8784 144.1957 15.50451380   155
2025-10-12T18:54:42.828457+09:00,gs_db,BOTAN,1 65943U 98067XQ  25284.36553998  .00003834  00000+0  73976-4 0  9999,2 65943  51.6335  91.2721 0003699 215.8784 144.1957 15.50451380   155
2025-10-13T00:00:35.752+09:00,gs_db,BOTAN,1 65943U 98067XQ  25285.33220530  .00064551  00000+0  11008-2 0  9999,2 65943  51.6327  86.4784 0003809 236.1351 123.9276 15.50730489   306
2025-10-13T03:00:16.110936+09:00,gs_db,BOTAN,1 65943U 98067XQ  25285.33220530  .00064551  00000+0  11008-2 0  9999,2 65943  51.6327  86.4784 0003809 236.1351 123.9276 15.50730489   306
2025-10-13T03:00:20.510519+09:00,gs_db,BOTAN,1 65943U 98067XQ  25285.33220530  .00064551  00000+0  11008-2 0  9999,2 65943  51.6327  86.4784 0003809 236.1351 123.9276 15.50730489   306
2025-10-13T06:00:28.32937+09:00,gs_db,BOTAN,1 65943U 98067XQ  25285.58997447  .00063733  00000+0  10857-2 0  9996,2 65943  51.6324  85.1990 0003785 237.3344 122.7280 15.50766247   343
2025-10-13T09:00:32.308591+09:00,gs_db,BOTAN,1 65943U 98067XQ  25285.58997447  .00063733  00000+0  10857-2 0  9996,2 65943  51.6324  85.1990 0003785 237.3344 122.7280 15.50766247   343
2025-10-13T09:00:36.671654+09:00,gs_db,BOTAN,1 65943U 98067XQ  25285.58997447  .00063733  00000+0  10857-2 0  9996,2 65943  51.6324  85.1990 0003785 237.3344 122.7280 15.50766247   343
2025-10-13T12:00:26.832601+09:00,gs_db,BOTAN,1 65943U 98067XQ  25285.58997447  .00063733  00000+0  10857-2 0  9996,2 65943  51.6324  85.1990 0003785 237.3344 122.7280 15.50766247   343
2025-10-13T15:00:18.879118+09:00,gs_db,BOTAN,1 65943U 98067XQ  25285.91217789  .00066602  00000+0  11320-2 0  9991,2 65943  51.6331  83.6005 0003833 239.0506 121.0107 15.50811353   398
2025-10-13T15:00:21.562585+09:00,gs_db,BOTAN,1 65943U 98067XQ  25285.91217789  .00066602  00000+0  11320-2 0  9991,2 65943  51.6331  83.6005 0003833 239.0506 121.0107 15.50811353   398
2025-10-13T18:00:33.531874+09:00,gs_db,BOTAN,1 65943U 98067XQ  25285.91217789  .00066602  00000+0  11320-2 0  9991,2 65943  51.6331  83.6005 0003833 239.0506 121.0107 15.50811353   398
2025-10-13T21:00:28.834196+09:00,gs_db,BOTAN,1 65943U 98067XQ  25285.91217789  .00066602  00000+0  11320-2 0  9991,2 65943  51.6331  83.6005 0003833 239.0506 121.0107 15.50811353   398
2025-10-13T21:00:33.18351+09:00,gs_db,BOTAN,1 65943U 98067XQ  25285.91217789  .00066602  00000+0  11320-2 0  9991,2 65943  51.6331  83.6005 0003833 239.0506 121.0107 15.50811353   398
2025-10-14T00:00:22.110014+09:00,gs_db,BOTAN,1 65943U 98067XQ  25286.16993423  .00069099  00000+0  11724-2 0  9996,2 65943  51.6330  82.3225 0003771 241.5054 118.5555 15.50844253   432
2025-10-14T03:00:14.240135+09:00,gs_db,BOTAN,1 65943U 98067XQ  25286.16993423  .00069099  00000+0  11724-2 0  9996,2 65943  51.6330  82.3225 0003771 241.5054 118.5555 15.50844253   432
2025-10-14T03:00:15.743929+09:00,gs_db,BOTAN,1 65943U 98067XQ  25286.16993423  .00069099  00000+0  11724-2 0  9996,2 65943  51.6330  82.3225 0003771 241.5054 118.5555 15.50844253   432
2025-10-14T06:00:30.135352+09:00,gs_db,BOTAN,1 65943U 98067XQ  25286.49212142  .00059150  00000+0  10045-2 0  9996,2 65943  51.6330  80.7238 0003756 243.8141 116.2462 15.50886430   483
2025-10-14T09:00:24.65246+09:00,gs_db,BOTAN,1 65943U 98067XQ  25286.49212142  .00059150  00000+0  10045-2 0  9996,2 65943  51.6330  80.7238 0003756 243.8141 116.2462 15.50886430   483
2025-10-14T09:00:37.00339+09:00,gs_db,BOTAN,1 65943U 98067XQ  25286.49212142  .00059150  00000+0  10045-2 0  9996,2 65943  51.6330  80.7238 0003756 243.8141 116.2462 15.50886430   483
2025-10-14T15:00:13.12429+09:00,gs_db,BOTAN,1 65943U 98067XQ  25286.87873425  .00058467  00000+0  99121-3 0  9998,2 65943  51.6330  78.8051 0003765 245.3184 114.7413 15.50938028   545
2025-10-14T15:00:19.517953+09:00,gs_db,BOTAN,1 65943U 98067XQ  25286.87873425  .00058467  00000+0  99121-3 0  9998,2 65943  51.6330  78.8051 0003765 245.3184 114.7413 15.50938028   545
2025-10-14T18:00:08.604039+09:00,gs_db,BOTAN,1 65943U 98067XQ  25286.87873425  .00058467  00000+0  99121-3 0  9998,2 65943  51.6330  78.8051 0003765 245.3184 114.7413 15.50938028   545
2025-10-14T21:00:09.788663+09:00,gs_db,BOTAN,1 65943U 98067XQ  25286.87873425  .00058467  00000+0  99121-3 0  9998,2 65943  51.6330  78.8051 0003765 245.3184 114.7413 15.50938028   545
