day,n,n_lit,n_valid,n_eclipse,r_B,k_B,lag_min,r_B_lag0,dTz_std,dTz_mean,sw_z,sw_y,both_z_lit,shadow_agree,beta_deg,ecl_dur_meas,ecl_dur_model,theta_eff_deg
10,222,138,222,0,0.1729,1.0239,3.0,0.0908,3.0248,1.9284,4.2564,6.8561,0.5,0.9685,-9.0845,,,88.6921
11,77,42,77,2,0.6265,2.5229,6.0,0.007,2.2722,2.1511,12.4808,,0.4286,1.0,-7.9494,35.7583,35.9705,
12,87,37,16,1,,,0.0,,3.0731,2.0636,,,0.3333,1.0,-1.8354,35.5667,36.0822,
13,177,99,177,2,0.2164,1.8626,9.0,-0.0988,4.2943,0.9273,10.7403,8.3112,0.3842,1.0,1.5657,35.0,36.0807,87.6202
24,234,157,234,3,0.4443,19.3669,1.5,0.4192,14.6211,13.983,1.6925,17.8139,0.4402,0.9744,54.9204,26.1056,27.7035,64.4209
26,355,266,355,5,0.6763,33.8287,3.0,0.6004,14.5616,25.5549,2.0354,17.1903,0.4648,0.9944,62.2195,21.4133,22.2014,41.0478
27,616,506,616,3,0.6702,44.3095,3.0,0.6099,14.6188,25.8014,1.4604,26.0604,0.6169,0.9075,66.0817,16.0722,17.294,8.9526
28,647,570,17,0,,,0.0,,13.3631,26.9464,0.2788,25.7745,0.541,1.0,68.34,,,
29,633,605,0,0,,,0.0,,13.4064,29.1569,0.1254,21.3141,0.5071,,69.5004,,,
30,661,627,0,0,,,0.0,,12.1593,30.1021,0.5438,34.4064,0.5431,,69.3238,,,
31,568,487,259,0,0.6887,45.2203,4.5,0.5797,13.6251,24.2022,0.9537,15.2874,0.5246,0.9807,67.784,,,0.0
32,647,517,647,7,0.7393,46.6813,0.0,0.7393,14.1116,23.5251,1.0563,22.4184,0.493,0.9845,65.467,16.8048,18.1845,0.0
33,306,239,306,2,0.76,40.8872,0.0,0.76,12.4164,27.248,0.3359,10.0196,0.5163,0.9935,63.1865,19.775,21.0921,24.2834
34,655,488,655,4,0.7306,42.3126,1.5,0.7239,16.6641,18.6567,0.8625,13.796,0.4855,0.9969,58.1641,25.7125,26.1432,19.3868
35,373,271,373,4,0.7209,38.6414,0.0,0.7209,15.8995,23.8336,1.3544,4.6358,0.5121,0.9946,55.4051,26.6792,27.4299,30.5198
36,599,403,484,1,0.7328,37.892,1.5,0.6864,17.4616,17.9062,1.7665,13.8843,0.4741,0.9917,49.8282,29.8667,30.4521,32.3551
37,669,447,669,5,0.705,33.2324,1.5,0.6712,16.9203,17.3671,0.9949,5.8754,0.4798,0.994,45.4041,31.1167,31.6521,42.1945
38,427,276,427,2,0.6783,28.894,3.0,0.6289,16.5115,16.6899,2.6848,10.94,0.4824,0.9883,41.1684,31.275,32.6036,49.898
39,464,307,464,2,0.7575,31.436,3.0,,17.2281,14.2224,3.3351,13.3539,0.4978,0.9892,36.3657,32.9417,33.5659,45.5072
40,557,351,557,7,0.738,29.614,3.0,0.6563,17.1805,10.7531,2.6727,13.7541,0.4865,0.9982,31.301,33.8548,34.3437,48.6847
41,47,28,0,0,,,0.0,,12.6005,9.69,,,0.4043,,25.5093,,,
42,59,35,59,1,0.9246,32.0694,4.5,0.6555,16.1256,10.0244,,,0.4407,1.0,20.5963,35.05,35.4706,
43,31,18,0,0,,,0.0,,17.9545,12.2538,,,0.4516,,15.798,,,
44,19,15,0,0,,,0.0,,15.5569,3.6315,,,0.5789,,15.6635,,,
45,42,24,0,0,,,0.0,,16.7811,6.8146,,,0.4762,,11.0359,,,
46,33,21,0,0,,,0.0,,18.077,2.5017,,,0.5152,,6.3819,,,
47,52,34,0,0,,,0.0,,20.0284,3.9552,,,0.5385,,1.8713,,,
48,52,31,0,0,,,0.0,,20.1972,-1.1524,,,0.4615,,-2.502,,,
49,43,25,0,0,,,0.0,,20.2185,-3.921,,,0.4884,,-6.7458,,,
50,51,33,0,0,,,0.0,,20.8898,-0.3409,,,0.4706,,-10.6984,,,
51,59,34,0,0,,,0.0,,18.8945,-1.0885,,,0.4407,,-14.37,,,
52,60,36,0,0,,,0.0,,16.5297,-3.6447,,,0.4833,,-17.7875,,,
53,56,38,56,1,0.8144,26.2974,3.0,0.6588,15.2813,-4.6263,,,0.5179,0.9821,-20.7847,33.5167,35.4924,
54,29,16,0,0,,,0.0,,10.5397,2.6833,,,0.4138,,-23.3557,,,
55,40,24,0,0,,,0.0,,14.863,-9.122,,,0.5,,-25.4788,,,
56,55,35,0,0,,,0.0,,13.3433,-4.8503,,12.5463,0.5273,,-27.0827,,,
57,39,23,0,0,,,0.0,,12.9759,-13.6065,,,0.4872,,-28.1292,,,
58,19,17,0,0,,,0.0,,17.6973,-15.6772,,,0.7368,,-28.5929,,,
