t_mid,dur_min,dur_model
2024-04-22T10:45:02Z,35.7,35.97
2024-04-22T12:16:45Z,35.82,35.97
2024-04-24T10:37:55Z,35.57,36.08
2024-04-24T12:10:57Z,35.0,36.08
2024-04-24T13:43:27Z,35.0,36.08
2024-05-05T17:24:23Z,26.8,28.04
2024-05-05T22:02:41Z,25.57,27.61
2024-05-05T23:34:46Z,25.95,27.46
2024-05-07T15:00:04Z,22.48,22.67
2024-05-07T16:32:26Z,20.77,22.44
2024-05-07T18:05:25Z,22.23,22.2
2024-05-07T19:37:23Z,20.78,21.97
2024-05-07T21:10:08Z,20.8,21.72
2024-05-08T20:20:02Z,17.35,17.6
2024-05-08T21:53:00Z,16.5,17.29
2024-05-08T23:24:56Z,14.37,16.99
2024-05-13T14:37:32Z,15.0,17.0
2024-05-13T16:10:12Z,16.52,17.31
2024-05-13T17:41:48Z,15.78,17.61
2024-05-13T19:15:19Z,16.4,17.91
2024-05-13T20:47:58Z,18.02,18.21
2024-05-14T01:24:24Z,17.15,19.07
2024-05-14T07:35:45Z,18.77,20.18
2024-05-14T12:13:18Z,20.73,20.97
2024-05-14T13:45:34Z,18.82,21.22
2024-05-15T22:08:01Z,24.45,25.71
2024-05-16T01:13:16Z,25.37,26.06
2024-05-16T02:45:30Z,26.83,26.23
2024-05-16T05:50:46Z,26.2,26.57
2024-05-16T12:00:34Z,25.73,27.2
2024-05-16T13:32:33Z,26.03,27.36
2024-05-16T15:04:53Z,27.55,27.51
2024-05-16T16:37:41Z,27.4,27.65
2024-05-18T04:03:15Z,29.87,30.45
2024-05-18T17:54:38Z,30.62,31.29
2024-05-18T19:26:01Z,30.63,31.38
2024-05-18T20:59:17Z,30.52,31.47
2024-05-19T07:45:15Z,31.92,32.02
2024-05-19T09:17:49Z,31.9,32.1
2024-05-19T10:49:42Z,30.4,32.17
2024-05-20T06:49:51Z,32.15,33.04
2024-05-20T20:41:10Z,33.8,33.54
2024-05-20T22:13:33Z,32.08,33.59
2024-05-21T18:13:00Z,33.52,34.2
2024-05-21T19:45:33Z,32.82,34.24
2024-05-21T21:18:20Z,33.78,34.28
2024-05-21T22:49:41Z,34.2,34.32
2024-05-22T00:22:23Z,35.32,34.36
2024-05-22T04:59:43Z,33.78,34.48
2024-05-22T06:31:48Z,33.57,34.52
2024-05-24T09:15:33Z,35.05,35.47
2024-06-04T01:48:02Z,33.52,35.49
2024-06-12T15:23:36Z,34.98,35.05
2024-06-20T02:34:55Z,35.55,36.23
2024-07-05T01:36:05Z,22.27,21.87
2024-07-06T03:33:16Z,14.9,15.41
2024-07-13T14:05:43Z,24.33,26.02
2024-07-14T15:58:17Z,27.52,28.92
2024-07-18T21:46:35Z,33.63,34.45
2024-07-19T23:34:20Z,33.6,35.12
2024-07-27T10:11:26Z,35.82,36.5
2024-07-31T18:17:08Z,34.18,35.85
2024-08-02T21:28:54Z,35.12,35.39
