day,date_utc,beta_deg,sunlit_fraction,alt_km,raan_deg,sB_mean_sunlit,q_sun_bp,q_sun_bm,q_sun_side,q_alb_bp,q_alb_bm,q_alb_side,F_bp,F_bm,F_side
0,2024-08-29,27.863,0.63958,413.847,310.12542,0.15041,0.22536,0.07494,0.16235,0.07267,0.12944,0.09373,0.34561,0.38102,0.31629
1,2024-08-30,32.10773,0.64531,413.847,305.16297,0.17005,0.2325,0.06245,0.1652,0.06249,0.13177,0.08958,0.3457,0.38096,0.31628
2,2024-08-31,36.23694,0.65156,413.847,300.20051,0.18855,0.23884,0.0503,0.16843,0.05254,0.13323,0.08502,0.34583,0.38088,0.31627
5,2024-09-03,47.40951,0.67552,413.63733,285.31451,0.2343,0.25532,0.02103,0.1804,0.02589,0.13323,0.0701,0.34648,0.3804,0.31629
7,2024-09-05,53.07167,0.69688,412.17373,275.38931,0.2585,0.26829,0.0098,0.18957,0.01289,0.13131,0.06103,0.34729,0.3801,0.31658
8,2024-09-06,55.05366,0.70573,411.41605,270.41908,0.26885,0.27488,0.00603,0.1932,0.00843,0.13043,0.05749,0.34772,0.37991,0.31674
9,2024-09-07,56.31021,0.71354,410.63046,265.44885,0.27746,0.28171,0.00425,0.19601,0.00549,0.12993,0.05502,0.34815,0.37971,0.31691
10,2024-09-08,56.75201,0.71615,409.84465,260.47862,0.2813,0.2851,0.0038,0.19689,0.00404,0.13001,0.05387,0.34856,0.37951,0.31707
11,2024-09-09,56.34131,0.7099,409.00718,255.50839,0.27686,0.28141,0.00456,0.19479,0.00404,0.13073,0.05418,0.34895,0.37934,0.31726
12,2024-09-10,55.10371,0.69948,408.17782,250.53816,0.26699,0.27393,0.00693,0.19118,0.00543,0.13206,0.05587,0.34929,0.37919,0.31744
13,2024-09-11,53.11615,0.68802,407.3813,245.55949,0.25424,0.26569,0.01145,0.18687,0.00819,0.13382,0.05873,0.34958,0.37906,0.31763
14,2024-09-12,50.48983,0.67344,406.38487,240.58038,0.23994,0.25703,0.01709,0.18119,0.01226,0.1358,0.06249,0.34984,0.37902,0.31786
15,2024-09-13,47.34031,0.65885,405.38603,235.59685,0.22511,0.24857,0.02346,0.17532,0.0175,0.13774,0.06683,0.35003,0.37904,0.31809
16,2024-09-14,43.7755,0.64635,404.55814,230.61284,0.21046,0.24102,0.03056,0.16994,0.02371,0.13941,0.07147,0.35013,0.3791,0.31829
17,2024-09-15,39.8838,0.6349,403.77633,225.62623,0.19481,0.23417,0.03937,0.16479,0.0307,0.14062,0.07619,0.35015,0.37921,0.31847
18,2024-09-16,35.73814,0.62656,402.99376,220.6381,0.17804,0.22787,0.04983,0.16061,0.03825,0.1412,0.08081,0.35014,0.37939,0.31865
19,2024-09-17,31.39438,0.61979,402.00953,215.64648,0.15997,0.221,0.06102,0.15722,0.04618,0.14103,0.08517,0.35015,0.37964,0.31887
20,2024-09-18,26.89699,0.61354,401.31425,210.65273,0.14089,0.21363,0.07274,0.15433,0.05431,0.14,0.08914,0.3501,0.37986,0.31902
21,2024-09-19,22.28228,0.60781,400.59955,205.65829,0.12011,0.20514,0.08503,0.15216,0.06249,0.13807,0.09263,0.35008,0.38008,0.31918
22,2024-09-20,17.57861,0.60417,399.91228,200.66347,0.09774,0.19557,0.09783,0.1512,0.07058,0.1352,0.09553,0.35006,0.3803,0.31932
23,2024-09-21,12.80574,0.60104,399.28336,195.66426,0.07544,0.18564,0.1102,0.15086,0.07843,0.13137,0.09781,0.35005,0.38051,0.31945
24,2024-09-22,7.98608,0.6,398.61882,190.66477,0.05149,0.17481,0.12332,0.15117,0.08597,0.12662,0.09941,0.35006,0.38072,0.31959
25,2024-09-23,3.13343,0.59844,397.86708,185.66109,0.02716,0.16292,0.13577,0.15125,0.0931,0.12096,0.10031,0.35011,0.38095,0.31974
26,2024-09-24,-1.73385,0.59844,397.03385,180.6571,0.00257,0.15071,0.14814,0.15155,0.09974,0.11448,0.10049,0.35017,0.38121,0.31991
27,2024-09-25,-6.60143,0.59948,396.175,175.65224,-0.02256,0.13777,0.16033,0.15189,0.10579,0.10723,0.09994,0.35026,0.38148,0.32008
28,2024-09-26,-11.45678,0.60052,395.24091,170.6435,-0.04712,0.12445,0.17157,0.15197,0.11119,0.09931,0.09867,0.35035,0.38179,0.32026
29,2024-09-27,-16.29674,0.6026,394.33096,165.61428,-0.07141,0.11098,0.18239,0.15219,0.11588,0.09079,0.09669,0.35044,0.38211,0.32043
30,2024-09-28,-21.08909,0.60573,393.42118,160.58275,-0.09591,0.09706,0.19298,0.15279,0.11982,0.08181,0.09404,0.35052,0.38247,0.3206
31,2024-09-29,-25.81105,0.61094,392.41458,155.55122,-0.11886,0.08376,0.20261,0.15433,0.12298,0.07249,0.09077,0.35061,0.38287,0.32079
32,2024-09-30,-30.43718,0.61615,391.34594,150.51969,-0.14074,0.07055,0.21129,0.15652,0.12536,0.06299,0.08695,0.35072,0.38329,0.32098
33,2024-10-01,-34.93571,0.625,390.28088,145.48817,-0.16236,0.05796,0.22032,0.16033,0.127,0.05346,0.08267,0.35083,0.38371,0.32117
34,2024-10-02,-39.26612,0.63177,389.14368,140.45664,-0.18233,0.04544,0.22777,0.16394,0.12794,0.04411,0.07805,0.35096,0.38415,0.32137
35,2024-10-03,-43.37598,0.64271,387.97496,135.42511,-0.20204,0.03403,0.23607,0.16898,0.12828,0.03514,0.07323,0.3511,0.3846,0.32158
36,2024-10-04,-47.19717,0.65469,386.71872,130.39358,-0.22073,0.02333,0.24406,0.17427,0.12812,0.0268,0.06839,0.35124,0.38507,0.32181
37,2024-10-05,-50.64216,0.66823,385.45646,125.36205,-0.2402,0.01426,0.25446,0.17986,0.1276,0.01937,0.06375,0.35136,0.38553,0.32203
38,2024-10-06,-53.60197,0.68333,384.23922,120.33052,-0.25976,0.00808,0.26785,0.18551,0.12689,0.01313,0.05956,0.35145,0.38599,0.32226
39,2024-10-07,-55.94946,0.6974,382.75372,115.299,-0.27797,0.00453,0.2825,0.19029,0.12613,0.00843,0.05618,0.35156,0.38647,0.32256
40,2024-10-08,-57.55292,0.70938,381.24212,110.26747,-0.29193,0.00283,0.29476,0.19414,0.12537,0.00556,0.05392,0.35167,0.38694,0.32287
41,2024-10-09,-58.30239,0.71562,380.03021,105.23594,-0.29794,0.0022,0.30014,0.19601,0.12459,0.00478,0.05308,0.35172,0.38731,0.32314
42,2024-10-10,-58.14198,0.71615,378.67066,100.20441,-0.29524,0.00242,0.29767,0.19603,0.12381,0.00626,0.05385,0.3518,0.38768,0.32345
43,2024-10-11,-57.08987,0.71146,376.88834,95.17179,-0.28373,0.00399,0.28772,0.19452,0.1231,0.00998,0.05614,0.35198,0.38809,0.32384
44,2024-10-12,-55.22131,0.69948,375.85776,90.11223,-0.26656,0.00807,0.27464,0.19033,0.12248,0.0158,0.05965,0.35207,0.38834,0.32407
45,2024-10-13,-52.66788,0.68698,374.83008,85.04855,-0.24812,0.01503,0.26315,0.18539,0.1219,0.02347,0.06407,0.35219,0.38857,0.3243
46,2024-10-14,-49.56845,0.67656,373.76736,79.98452,-0.2298,0.02428,0.25409,0.1807,0.12125,0.03262,0.06907,0.35236,0.38877,0.32453
47,2024-10-15,-46.04531,0.6651,372.58446,74.91569,-0.21045,0.03494,0.24539,0.17545,0.12034,0.04292,0.07435,0.35257,0.38898,0.32479
48,2024-10-16,-42.20101,0.65573,371.34914,69.84059,-0.19108,0.04638,0.23746,0.17067,0.11899,0.05405,0.07968,0.35281,0.38918,0.32506
49,2024-10-17,-38.12189,0.6474,370.12449,64.76549,-0.17037,0.05909,0.22946,0.16629,0.11713,0.0657,0.08487,0.35306,0.38937,0.32532
50,2024-10-18,-33.87268,0.64115,368.82839,59.6904,-0.14871,0.07253,0.22123,0.16271,0.11468,0.07763,0.08977,0.35334,0.38956,0.32561
51,2024-10-19,-29.50294,0.63594,367.41565,54.61384,-0.12627,0.08651,0.21278,0.16003,0.11157,0.08961,0.09425,0.35364,0.38977,0.32592
52,2024-10-20,-25.04871,0.63073,366.09071,49.53024,-0.10206,0.10091,0.20297,0.15807,0.10775,0.10148,0.09821,0.35393,0.38996,0.32621
53,2024-10-21,-20.54477,0.62604,364.94085,44.44151,-0.07831,0.11483,0.19314,0.1566,0.10322,0.11305,0.10158,0.35417,0.39013,0.32646
54,2024-10-22,-16.02118,0.62135,363.655,39.34968,-0.05403,0.12852,0.18255,0.15525,0.098,0.1242,0.1043,0.35443,0.39033,0.32675
