t_mid,dur_min,dur_model
2024-08-29T10:44:44Z,34.83,34.84
2024-08-29T12:17:37Z,33.97,34.81
2024-08-29T13:49:58Z,34.48,34.78
2024-08-29T15:23:33Z,33.72,34.75
2024-08-29T16:56:36Z,32.93,34.72
2024-08-29T18:28:45Z,34.48,34.69
2024-08-29T20:01:42Z,34.47,34.66
2024-08-29T21:33:53Z,32.98,34.62
2024-08-30T05:19:22Z,34.48,34.46
2024-08-30T06:52:19Z,34.48,34.42
2024-08-30T16:08:34Z,34.48,34.21
2024-08-30T19:14:04Z,32.98,34.13
2024-08-30T20:47:01Z,32.98,34.1
2024-08-30T22:19:57Z,32.98,34.06
2024-08-30T23:52:54Z,32.98,34.02
2024-08-31T02:58:48Z,32.98,33.94
2024-08-31T04:31:45Z,32.97,33.9
2024-08-31T06:04:41Z,32.98,33.86
2024-08-31T07:37:38Z,32.98,33.81
2024-08-31T09:10:35Z,32.97,33.77
2024-09-03T11:27:33Z,30.97,31.13
2024-09-03T13:00:14Z,31.48,31.06
2024-09-03T14:33:11Z,28.5,30.99
2024-09-03T16:05:23Z,29.98,30.93
2024-09-04T04:29:43Z,28.5,30.37
2024-09-05T17:37:43Z,28.48,28.63
2024-09-07T19:06:32Z,23.98,26.77
2024-09-08T18:19:55Z,26.98,26.46
2024-09-08T19:52:52Z,26.98,26.46
2024-09-08T21:25:03Z,25.48,26.45
2024-09-08T22:58:00Z,25.48,26.46
2024-09-11T17:29:09Z,27.0,28.3
2024-09-15T20:20:15Z,32.05,32.73
2024-09-15T21:52:10Z,32.42,32.79
2024-09-16T17:55:21Z,33.78,33.46
2024-09-17T20:10:26Z,32.98,34.21
2024-09-18T08:31:00Z,32.98,34.51
2024-09-18T11:35:38Z,33.17,34.58
2024-09-18T19:18:32Z,34.88,34.75
2024-09-18T20:50:50Z,35.48,34.78
2024-09-20T00:36:22Z,34.48,35.29
2024-09-20T23:44:25Z,34.48,35.61
2024-09-22T20:26:06Z,35.98,36.0
2024-09-22T21:59:03Z,35.98,36.01
2024-09-24T21:44:34Z,35.98,36.12
2024-09-25T22:24:22Z,35.98,36.05
2024-09-25T23:57:19Z,35.98,36.04
2024-09-26T06:05:21Z,31.48,36.01
2024-09-26T21:30:44Z,35.67,35.91
2024-09-30T20:57:25Z,32.98,34.47
2024-09-30T22:29:37Z,34.48,34.44
