day,n,n_lit,n_valid,n_eclipse,r_B,k_B,lag_min,r_B_lag0,dTz_std,dTz_mean,sw_z,sw_y,both_z_lit,shadow_agree,beta_deg,ecl_dur_meas,ecl_dur_model,theta_eff_deg
0,664,659,0,0,,,0.0,,6.1858,-10.557,21.6052,21.3836,0.3464,,-74.3183,,,
1,825,825,0,0,,,0.0,,8.2536,-15.182,18.8715,29.7821,0.3733,,-72.7647,,,
2,843,833,76,0,0.2677,7.3589,0.0,0.2677,7.961,-14.8281,14.0621,26.8373,0.3891,0.9737,-70.0818,,,80.6595
3,843,712,843,5,0.6664,26.8827,0.0,0.6664,9.3121,-11.9774,11.7408,26.0823,0.4211,0.981,-66.5376,16.1933,17.5903,53.6369
4,858,657,858,10,0.6682,28.1238,0.0,0.6682,11.3909,-11.8598,10.4379,25.4143,0.4522,0.9883,-62.3418,20.8317,21.8521,51.6639
5,579,431,579,7,0.7085,30.2216,1.5,0.685,13.2454,-10.5501,10.4452,14.8185,0.4663,0.981,-58.6698,22.7024,24.9225,48.1993
6,97,70,97,1,0.6833,27.446,1.5,0.5991,13.9786,-7.0471,7.1692,5.945,0.4536,0.9588,-55.1287,25.5,27.3387,52.7478
7,143,103,0,0,,,0.0,,15.9568,-8.1862,6.8721,1.4274,0.5035,,-50.5932,,,
8,109,68,109,2,0.8358,31.8148,6.0,0.6438,16.6702,-5.9001,6.7896,7.1362,0.4954,1.0,-45.7185,31.4833,31.2374,45.4382
9,86,59,0,0,,,0.0,,18.0972,-6.0213,13.2489,14.8487,0.5116,,-41.2971,,,
10,119,80,119,1,0.8776,37.0089,3.0,0.7929,19.7567,-2.4934,11.1725,23.9708,0.5294,1.0,-36.2187,32.9833,33.471,35.2904
11,108,68,108,1,0.8759,37.3258,3.0,0.798,21.5252,-2.599,12.4703,12.7577,0.4907,0.9907,-31.7751,32.9667,34.1916,34.591
12,100,64,0,0,,,0.0,,21.456,-0.3153,3.1975,9.9967,0.51,,-26.7274,,,
13,127,81,127,2,0.8853,39.4188,4.5,0.7253,23.1115,-1.319,3.8625,2.6882,0.5276,1.0,-22.3642,34.4833,35.2082,29.6126
14,93,48,0,0,,,0.0,,20.2464,3.6783,,9.205,0.4086,,-17.4551,,,
15,238,156,238,2,0.8648,38.0442,3.0,0.7905,23.9102,1.9577,1.1235,17.5825,0.5168,1.0,-11.277,34.4833,35.7967,32.9581
16,165,91,165,1,0.8496,36.2099,3.0,0.7638,21.6826,4.0709,9.5883,20.5977,0.4545,0.9939,-8.5536,35.7333,35.9551,37.002
17,231,134,231,2,0.8573,38.9688,3.0,0.7559,23.5413,2.3587,1.7077,16.2137,0.4675,1.0,-2.6147,35.9833,36.0764,30.7438
18,201,127,201,1,0.8997,41.0463,3.0,0.8042,23.3217,5.0213,1.732,13.9771,0.5323,0.9801,0.0707,35.7167,36.0926,25.1388
