day,date_utc,beta_deg,sunlit_fraction,alt_km,raan_deg,sB_mean_sunlit,q_sun_bp,q_sun_bm,q_sun_side,q_alb_bp,q_alb_bm,q_alb_side,F_bp,F_bm,F_side
0,2024-12-09,-74.30098,1.0,411.8755,164.51016,-0.48078,0.0,0.48078,0.27434,0.06255,0.00292,0.02682,0.34599,0.38173,0.31662
1,2024-12-10,-72.80418,1.0,411.8755,159.54234,-0.47524,0.0,0.47524,0.27361,0.06392,0.00679,0.02999,0.34596,0.38174,0.31663
2,2024-12-11,-70.0353,0.96562,411.8755,154.57452,-0.44033,0.00033,0.44066,0.26457,0.06643,0.01383,0.03533,0.34595,0.38173,0.31663
3,2024-12-12,-66.44233,0.83646,411.73942,149.60658,-0.34161,0.00286,0.34447,0.23189,0.06957,0.02314,0.04188,0.34598,0.38173,0.31666
4,2024-12-13,-62.35364,0.77188,411.28642,144.63836,-0.2904,0.00874,0.29915,0.21293,0.0728,0.03396,0.049,0.34606,0.38178,0.31676
5,2024-12-14,-57.96991,0.73542,410.80686,139.66995,-0.25816,0.01818,0.27634,0.20062,0.0757,0.04572,0.05626,0.34615,0.38182,0.31686
6,2024-12-15,-53.40804,0.70521,410.27163,134.69932,-0.23172,0.02904,0.26076,0.18959,0.07801,0.05807,0.06339,0.34624,0.38187,0.31698
7,2024-12-16,-48.74078,0.6849,409.75885,129.72788,-0.20785,0.04079,0.24864,0.18136,0.07959,0.07074,0.07023,0.34632,0.38191,0.31709
8,2024-12-17,-44.01432,0.66927,409.19755,124.75553,-0.18422,0.05384,0.23806,0.17451,0.08035,0.08352,0.07663,0.3464,0.38196,0.31722
9,2024-12-18,-39.26013,0.65781,408.67529,119.78144,-0.16062,0.06786,0.22848,0.16905,0.08026,0.09623,0.08251,0.34647,0.38202,0.31733
10,2024-12-19,-34.50223,0.64792,408.18234,114.806,-0.13638,0.08243,0.21881,0.16453,0.07932,0.10873,0.0878,0.34653,0.3821,0.31744
11,2024-12-20,-29.75979,0.64062,407.6687,109.8292,-0.11225,0.09712,0.20937,0.16134,0.07756,0.12086,0.09243,0.34659,0.38219,0.31754
12,2024-12-21,-25.04896,0.63646,407.1033,104.8504,-0.08826,0.1119,0.20016,0.1596,0.07502,0.13249,0.09636,0.34667,0.38229,0.31766
13,2024-12-22,-20.38568,0.63125,406.50738,99.87029,-0.06328,0.12629,0.18957,0.1578,0.07176,0.1435,0.09958,0.34678,0.3824,0.31777
14,2024-12-23,-15.78524,0.6276,405.88316,94.8885,-0.03902,0.14021,0.17923,0.1564,0.06786,0.15381,0.10206,0.34691,0.3825,0.31789
15,2024-12-24,-11.26421,0.625,405.2546,89.90587,-0.01548,0.15335,0.16883,0.15524,0.0634,0.16331,0.10382,0.34708,0.38259,0.31801
16,2024-12-25,-6.83924,0.6224,404.6047,84.92189,0.00765,0.16562,0.15797,0.15398,0.05848,0.17195,0.10487,0.34729,0.38265,0.31813
17,2024-12-26,-2.52874,0.62083,403.96978,79.93554,0.03013,0.17702,0.14689,0.15298,0.05321,0.17966,0.10524,0.34752,0.38267,0.31826
18,2024-12-27,1.64509,0.62031,403.34622,74.94725,0.05069,0.18727,0.13657,0.15215,0.0477,0.18642,0.10497,0.34779,0.38266,0.31837
