day,n,n_lit,n_valid,n_eclipse,r_B,k_B,lag_min,r_B_lag0,dTz_std,dTz_mean,sw_z,sw_y,both_z_lit,shadow_agree,beta_deg,ecl_dur_meas,ecl_dur_model,theta_eff_deg
0,598,454,598,7,0.6033,16.6077,3.0,0.519,7.4037,2.3448,11.5918,10.9227,0.3177,0.9866,-56.7068,25.3405,26.3935,109.5213
1,437,302,437,5,0.746,18.4712,4.5,0.5995,7.2163,3.0485,11.6494,8.1274,0.2769,0.9954,-55.0528,26.97,27.4652,111.8175
2,310,214,310,4,0.7238,24.8749,3.0,0.689,9.7598,1.65,11.6633,12.4944,0.2839,0.9871,-52.5181,28.3458,28.7533,120.0329
3,127,82,127,1,0.8584,25.6088,4.5,0.6883,9.2724,1.5111,11.2081,7.5427,0.315,0.9921,-49.5023,28.6833,29.9515,121.0152
4,103,67,102,1,0.8231,22.3338,4.5,0.5514,10.3156,8.9341,6.3356,6.041,0.233,0.9804,-47.0957,29.3,30.7816,116.7033
5,107,72,0,0,,,0.0,,9.4244,5.2757,8.5294,9.346,0.3645,,-42.504,,,
6,121,78,121,1,0.7146,18.5088,1.5,0.6643,10.2393,4.7706,11.5111,15.4426,0.3388,1.0,-36.7881,32.5,33.3345,111.8643
8,117,75,0,0,,,0.0,,11.5647,10.4532,8.4932,7.7983,0.4017,,-31.5212,,,
9,126,84,126,2,0.7845,25.1033,4.5,0.5755,12.4533,2.5352,4.9638,6.2165,0.381,0.9762,-25.3412,33.2,34.9131,120.3377
10,120,74,120,2,0.7084,7.427,3.0,0.6085,4.9001,12.0962,6.8262,9.1849,0.275,1.0,-19.842,34.8333,35.3801,98.5943
11,1,1,0,0,,,0.0,,0.0,11.16,,,1.0,,-15.9663,,,
12,82,51,0,0,,,0.0,,3.8592,13.4739,11.8545,11.7379,0.2195,,-13.436,,,
14,125,74,125,1,-0.9075,-32.2263,3.0,-0.7989,16.8844,14.0168,15.5705,9.5741,0.368,0.992,-1.7418,35.7167,36.0703,49.5779
16,101,56,101,2,-0.9119,-35.6242,3.0,-0.7191,19.5297,10.8123,6.3133,14.923,0.396,1.0,3.5694,35.9833,36.0555,
17,3,3,0,0,,,0.0,,19.7134,0.8267,,,1.0,,9.1327,,,
18,149,80,149,1,-0.9574,-44.4858,4.5,-0.7099,20.8833,9.2983,5.9255,6.0363,0.3758,0.9933,12.1723,36.1167,35.8578,26.4809
19,78,48,78,1,-0.9221,-40.7358,4.5,-0.6987,22.1479,9.6464,4.2228,,0.4231,1.0,15.0404,35.4,35.7027,
20,110,70,110,1,-0.9376,-42.6499,6.0,-0.6876,22.252,6.422,6.9065,14.8739,0.4545,1.0,18.9138,36.0333,35.4824,30.8914
21,63,46,0,0,,,0.0,,21.668,0.9784,5.0485,,0.6032,,22.5467,,,
22,97,61,97,1,-0.9365,-42.0616,3.0,-0.7734,16.4967,2.4067,7.1585,16.4903,0.4021,1.0,25.813,34.1833,34.8997,32.188
23,88,37,88,1,-0.8293,-35.2557,1.5,-0.7781,13.6838,5.0785,4.3633,,0.25,1.0,28.7043,34.8667,34.5808,
24,126,84,126,2,-0.9335,-49.2137,3.0,-0.8232,19.9927,-2.394,8.3747,21.9876,0.4127,0.9762,31.1262,33.3083,34.2828,8.0239
25,115,71,115,2,-0.9314,-41.9255,0.0,-0.9314,17.5384,-0.9059,2.1307,19.3993,0.487,1.0,32.378,34.1917,34.106,32.4812
26,126,75,126,1,-0.932,-48.8597,0.0,-0.932,18.7318,2.1682,8.3459,18.8797,0.4206,1.0,33.8933,32.75,33.8854,10.5524
27,233,143,233,2,-0.756,-38.3584,1.5,-0.7488,19.4788,1.7208,3.8509,10.2068,0.4592,0.9914,34.9071,33.3167,33.7467,39.4846
28,328,201,328,4,-0.6807,-37.5555,3.0,-0.6385,19.8041,0.7703,2.186,10.3291,0.5,0.9939,35.0553,33.825,33.7078,40.9187
29,78,61,0,0,,,0.0,,25.2701,10.3236,4.7552,10.8593,0.4615,,34.6605,,,
30,3,0,0,0,,,0.0,,1.1188,7.1067,,,,,33.4538,,,
31,46,32,0,0,,,0.0,,21.1587,2.6791,,,0.587,,32.0009,,,
