day,date_utc,beta_deg,sunlit_fraction,alt_km,raan_deg,sB_mean_sunlit,q_sun_bp,q_sun_bm,q_sun_side,q_alb_bp,q_alb_bm,q_alb_side,F_bp,F_bm,F_side
0,2025-10-10,-56.62734,0.71979,412.52031,94.04904,-0.28535,0.00429,0.28964,0.19685,0.1227,0.00965,0.05536,0.34585,0.38161,0.31649
1,2025-10-11,-54.82742,0.71094,412.52031,89.07933,-0.26887,0.00839,0.27726,0.19357,0.12204,0.01523,0.05874,0.34579,0.38165,0.3165
2,2025-10-12,-52.36537,0.69792,412.52031,84.10963,-0.24964,0.01542,0.26505,0.18854,0.12143,0.02256,0.06298,0.34574,0.38168,0.31651
3,2025-10-13,-49.36952,0.68438,412.52031,79.13992,-0.23122,0.02465,0.25586,0.18282,0.12076,0.03134,0.06779,0.34572,0.38168,0.31651
4,2025-10-14,-45.958,0.67396,412.52031,74.17022,-0.21236,0.03549,0.24784,0.17782,0.11987,0.04122,0.07289,0.34571,0.38167,0.31651
5,2025-10-15,-42.23026,0.6651,412.52031,69.20051,-0.1931,0.04717,0.24027,0.17318,0.11861,0.05191,0.07805,0.34572,0.38164,0.31652
6,2025-10-16,-38.26617,0.65469,412.49095,64.23081,-0.17247,0.05958,0.23205,0.16819,0.11685,0.06315,0.08308,0.34573,0.38161,0.31653
8,2025-10-18,-29.86544,0.64219,411.42742,54.28874,-0.12885,0.08701,0.21586,0.16149,0.11148,0.08632,0.09221,0.34591,0.3817,0.31676
9,2025-10-19,-25.51749,0.63646,410.82354,49.31546,-0.10579,0.10079,0.20658,0.15933,0.10775,0.09787,0.09608,0.34601,0.38176,0.31689
10,2025-10-20,-21.11712,0.63229,410.27608,44.34068,-0.08237,0.11473,0.1971,0.15798,0.1033,0.10918,0.09937,0.34608,0.38182,0.31701
11,2025-10-21,-16.69234,0.62969,409.77766,39.36458,-0.05827,0.12864,0.18691,0.15726,0.09818,0.1201,0.10204,0.34614,0.38188,0.31712
12,2025-10-22,-12.26803,0.62708,409.29681,34.38723,-0.03464,0.1419,0.17655,0.15646,0.09245,0.13051,0.10405,0.34619,0.38195,0.31723
14,2025-10-24,-3.5125,0.62396,408.33435,24.42879,0.01408,0.16747,0.15339,0.15504,0.07946,0.14931,0.10604,0.34632,0.38213,0.31742
16,2025-10-26,4.96583,0.62344,407.44362,14.46557,0.05916,0.18973,0.13057,0.15375,0.06509,0.16489,0.10539,0.34651,0.38228,0.31759
17,2025-10-27,9.03884,0.62396,407.03473,9.48231,0.08037,0.19938,0.119,0.15354,0.05768,0.17134,0.10416,0.34665,0.38232,0.31766
18,2025-10-28,12.96312,0.62448,406.58067,4.49796,0.09973,0.20776,0.10803,0.15356,0.05028,0.17689,0.10242,0.34683,0.38233,0.31775
19,2025-10-29,16.70595,0.625,406.09175,359.51239,0.11797,0.21507,0.09709,0.15392,0.04303,0.18156,0.10024,0.34704,0.38232,0.31784
20,2025-10-30,20.23029,0.62708,405.59044,354.52553,0.13351,0.22127,0.08776,0.15495,0.03609,0.18536,0.09772,0.3473,0.38228,0.31793
21,2025-10-31,23.49449,0.6276,405.09615,349.5374,0.14749,0.22607,0.07858,0.15565,0.02959,0.18838,0.09497,0.34759,0.38219,0.31802
22,2025-11-01,26.45236,0.63073,404.62586,344.54801,0.15903,0.23017,0.07114,0.15726,0.02368,0.19067,0.09211,0.3479,0.38205,0.31812
23,2025-11-02,29.0539,0.63281,404.19731,339.55748,0.16853,0.23299,0.06447,0.15867,0.01848,0.19236,0.08929,0.34823,0.38186,0.3182
24,2025-11-03,31.24716,0.6349,403.76274,334.56584,0.17577,0.2349,0.05913,0.16001,0.0141,0.19354,0.08665,0.34858,0.38165,0.31829
25,2025-11-04,32.98109,0.63594,403.29751,329.57304,0.18129,0.23592,0.05463,0.16101,0.01061,0.19433,0.08435,0.34895,0.38141,0.31839
26,2025-11-05,34.2095,0.63698,402.84278,324.57905,0.18446,0.23622,0.05175,0.16191,0.00805,0.19483,0.08254,0.34931,0.38116,0.31849
27,2025-11-06,34.89577,0.63698,402.25074,319.5837,0.18598,0.23604,0.05006,0.16227,0.00643,0.19515,0.08134,0.34968,0.38094,0.31862
28,2025-11-07,35.01726,0.63594,401.65814,314.58683,0.1853,0.23531,0.05001,0.16201,0.00572,0.19532,0.08082,0.35001,0.38074,0.31876
29,2025-11-08,34.56831,0.63385,401.10057,309.58847,0.18283,0.23414,0.05131,0.16115,0.00591,0.19535,0.08102,0.3503,0.38054,0.31889
