t_mid,dur_min,dur_model
2025-10-10T10:48:40Z,24.92,26.11
2025-10-10T12:21:25Z,25.72,26.16
2025-10-10T15:27:19Z,24.63,26.26
2025-10-10T18:33:21Z,26.43,26.36
2025-10-10T20:06:12Z,25.65,26.42
2025-10-10T23:13:20Z,23.4,26.53
2025-10-11T08:30:22Z,26.63,26.91
2025-10-11T13:08:20Z,26.0,27.12
2025-10-11T16:14:22Z,26.13,27.27
2025-10-11T17:47:48Z,27.95,27.34
2025-10-11T20:53:51Z,26.7,27.49
2025-10-12T09:16:59Z,28.07,28.11
2025-10-12T18:33:36Z,26.9,28.59
2025-10-12T20:07:10Z,28.42,28.67
2025-10-12T23:12:40Z,28.3,28.83
2025-10-13T00:45:15Z,29.77,28.91
2025-10-13T20:52:54Z,28.68,29.95
2025-10-14T13:53:46Z,29.3,30.78
2025-10-17T06:52:51Z,32.5,33.33
2025-10-19T22:15:42Z,33.27,34.9
2025-10-19T23:48:34Z,33.13,34.93
2025-10-21T03:38:04Z,34.92,35.37
2025-10-21T05:10:58Z,34.75,35.39
2025-10-25T08:00:51Z,35.72,36.07
2025-10-26T13:20:33Z,35.93,36.06
2025-10-26T14:53:10Z,36.03,36.05
2025-10-28T13:12:16Z,36.12,35.86
2025-10-29T10:49:55Z,35.4,35.7
2025-10-30T11:32:42Z,36.03,35.48
2025-11-01T16:02:31Z,34.18,34.9
2025-11-02T18:17:46Z,34.87,34.58
2025-11-03T19:00:21Z,32.82,34.29
2025-11-03T20:33:03Z,33.8,34.27
2025-11-04T11:44:32Z,33.38,34.11
2025-11-04T13:16:57Z,35.0,34.1
2025-11-05T13:59:22Z,32.75,33.89
2025-11-06T14:40:54Z,33.1,33.75
2025-11-06T16:13:44Z,33.53,33.74
2025-11-07T12:17:04Z,34.47,33.71
2025-11-07T13:49:14Z,33.25,33.71
2025-11-07T16:55:12Z,34.27,33.71
2025-11-07T21:33:13Z,33.32,33.71
2025-11-14T01:35:11Z,36.2,35.1
2025-11-17T09:42:23Z,34.88,35.88
2025-11-17T14:19:42Z,36.3,35.91
