day,battery_v_median,battery_v_min,battery_v_max,battery_i_median,battery_temp_median,x_plus_temp_median,x_minus_temp_median,y_plus_temp_median,y_minus_temp_median,z_plus_temp_median,z_minus_temp_median,bpb_temp_median,uhf_temp_median,source_v_median
0,4.253906,3.918750,4.253906,-0.015577,3.117799,-28.485107,2.306884,-1.252010,-0.630019,2.645401,0.387235,1.573187,0.451588,5.001562
1,4.253906,3.867188,4.253906,-0.009322,2.329211,-27.905273,-0.969259,-2.043999,-1.025803,0.443732,-1.930832,0.613204,0.451588,5.104687
2,4.253906,4.253906,4.253906,-0.040600,2.129850,-25.921631,10.017021,2.419469,13.997893,9.455780,11.251445,4.561734,-1.918518,5.194922
5,4.253906,3.918750,4.253906,-0.021833,4.662680,-27.447510,3.660488,1.347362,0.500226,3.660492,2.306871,3.434974,2.821695,5.130469
7,4.253906,4.125000,4.253906,0.000061,6.169893,-27.905273,5.350823,5.576060,2.194034,3.434974,7.601715,5.012905,5.191801,5.182031
8,4.253906,4.150781,4.253906,-0.003066,6.169893,-27.325439,7.714071,6.645479,4.224138,3.829608,9.119203,5.576023,5.191801,5.156250
9,4.253906,4.150781,4.253906,0.012573,6.911190,-27.813721,4.392329,4.731167,2.532534,2.983822,6.195284,4.956578,5.191801,5.117578
10,4.253906,4.150781,4.253906,0.000061,6.541497,-27.355957,7.657945,6.476680,3.434970,2.983839,9.343898,6.082723,5.191801,5.182031
11,4.253906,4.150781,4.253906,0.000061,6.541497,-27.874756,7.208037,6.588888,3.153029,2.419730,9.512291,5.238155,5.191801,5.156250
12,4.253906,4.125000,4.253906,-0.003066,6.169893,-28.088379,2.758222,2.983839,-1.082350,-0.630019,6.139010,6.589221,5.191801,5.156250
13,4.253906,4.125000,4.253906,-0.006194,5.796295,-28.088379,5.801265,6.026436,1.516735,-0.630019,9.849326,5.350823,2.821695,5.104687
14,4.253906,4.125000,4.253906,-0.006194,5.042778,-27.722168,7.376758,7.039284,1.516731,-0.573488,14.166783,5.294508,2.821695,5.130469
15,4.253906,4.099219,4.253906,-0.006194,4.280233,-28.149414,4.224142,3.998707,0.500226,-1.308566,6.814277,4.111429,2.821695,5.130469
16,4.253906,4.099219,4.253906,-0.003066,3.895338,-28.332520,3.998707,3.998707,0.048228,-2.213763,9.624713,3.547737,2.821695,5.130469
17,4.253906,4.099219,4.279687,0.001625,3.895338,-28.881836,0.217733,0.782648,-2.440150,-3.629214,3.998690,2.871030,2.821695,5.014453
18,4.253906,4.099219,4.253906,-0.006194,3.117799,-28.942871,-1.308566,-1.195454,-5.272758,-7.542632,3.547737,1.516735,2.821695,5.001562
19,4.253906,4.099219,4.253906,-0.015577,2.329211,-27.905273,0.952091,0.048228,-2.213763,-2.553349,3.547737,1.629639,0.451588,5.001562
20,4.253906,3.970312,4.253906,-0.012450,2.724942,-28.698730,-1.534815,-1.082350,-4.705816,-7.315493,4.449544,1.516735,2.821695,4.924219
21,4.253906,4.073437,4.253906,-0.009322,1.930488,-28.515625,-0.403903,-1.308566,-3.912450,-3.232749,4.336847,1.403823,0.451588,4.950000
22,4.253906,4.099219,4.279687,-0.015577,1.930488,-28.210449,-1.647952,-1.421686,-4.139084,-4.025762,3.660492,2.983839,0.451588,5.053125
23,4.253906,4.099219,4.253906,-0.028089,1.528651,-26.684570,5.012905,5.801265,2.758222,-3.119494,5.576060,5.238192,0.451588,5.156250
24,4.253906,4.099219,4.253906,-0.021833,1.930488,-28.118896,-3.232749,-3.855806,-6.293784,-6.123575,3.491232,0.274206,0.451588,4.937109
25,4.253906,4.099219,4.253906,-0.018705,2.527077,-38.342285,-3.346028,-4.139084,-5.329465,-5.442883,-0.404008,0.726158,1.636642,4.975781
26,4.253906,4.099219,4.253906,-0.018705,2.724942,-28.057861,-2.326954,-2.609955,-4.535783,-5.102654,4.505880,2.081167,0.451588,4.924219
