epoch_utc,norad,inc_deg,raan_deg,ecc,argp_deg,ma_deg,mm_rev_day
2024-09-03T14:27:34Z,60954,51.6391,286.8206,0.0013428,314.758,45.2651,15.50985581
2024-09-05T03:34:06Z,60954,51.6377,279.1546,0.0014229,325.1123,34.8933,15.51363377
2024-09-10T22:38:23Z,60954,51.6369,250.3539,0.0012946,348.5002,11.5691,15.52940136
2024-09-11T06:21:42Z,60954,51.637,248.752,0.0012806,349.6675,10.405,15.53025898
2024-09-13T00:03:09Z,60954,51.6362,240.1027,0.0012388,356.8544,3.2367,15.53578499
2024-09-14T22:21:25Z,60954,51.6365,230.4868,0.0011915,4.3698,355.7395,15.54179311
2024-09-16T03:40:29Z,60954,51.6363,224.3952,0.0011546,9.3446,350.7758,15.54504798
2024-09-16T22:11:16Z,60954,51.6361,220.5471,0.0011354,12.2026,347.9238,15.54715728
2024-09-17T21:19:32Z,60954,51.6368,215.7348,0.0010965,15.7285,344.4044,15.55044392
2024-09-18T03:29:41Z,60954,51.637,214.4511,0.0010912,16.6252,343.5095,15.55114209
2024-09-19T05:42:41Z,60954,51.6368,208.9962,0.0010668,21.0856,339.0573,15.55368617
2024-09-20T21:47:56Z,60954,51.6365,200.6533,0.0010197,27.5017,332.6512,15.55771517
2024-09-22T20:02:28Z,60954,51.6359,191.021,0.0009753,35.4584,324.7054,15.56200076
2024-09-23T05:17:17Z,60954,51.6359,189.0934,0.0009554,37.3425,322.8229,15.56288904
2024-09-25T17:22:42Z,60954,51.6352,176.5646,0.0008883,46.9169,313.2565,15.56998995
2024-09-27T00:10:56Z,60954,51.635,170.1359,0.0008426,52.3712,307.8044,15.57412794
2024-10-11T20:48:30Z,60954,51.6328,95.3703,0.0003436,93.259,266.8798,15.63716812
2024-10-12T21:20:45Z,60954,51.6324,90.1975,0.0003183,92.6941,267.4418,15.64083896
2024-10-14T19:20:18Z,60954,51.6319,80.4937,0.0002869,84.9481,275.1842,15.64774029
2024-10-15T16:47:40Z,60954,51.6316,75.9636,0.0002757,81.1519,278.9788,15.65135278
2024-10-19T17:16:52Z,60954,51.6332,55.5603,0.0002891,59.7341,300.3941,15.66944437
2024-10-20T17:46:04Z,60954,51.6331,50.3743,0.0003067,55.4584,304.6702,15.67422194
