day,battery_v_median,battery_v_min,battery_v_max,battery_i_median,battery_temp_median,x_plus_temp_median,x_minus_temp_median,y_plus_temp_median,y_minus_temp_median,z_plus_temp_median,z_minus_temp_median,bpb_temp_median,source_v_median
0,4.230000,4.070000,4.250000,-0.000900,24.300000,66.750000,21.820000,21.040000,20.370000,16.680000,26.600000,24.160000,5.130000
1,4.230000,4.180000,4.250000,-0.007000,24.650000,65.120000,22.600000,22.380000,20.480000,14.890000,28.820000,25.050000,5.130000
2,4.230000,4.150000,4.250000,-0.007000,23.960000,67.455000,21.820000,21.600000,19.480000,12.540000,27.600000,23.820000,5.160000
3,4.230000,4.150000,4.250000,-0.000900,15.390000,80.390000,16.680000,14.560000,12.485000,6.480000,20.535000,16.240000,5.160000
4,4.230000,4.100000,4.230000,0.002100,11.580000,86.770000,13.330000,11.200000,8.610000,3.100000,17.910000,13.210000,5.160000
5,4.230000,4.100000,4.230000,0.005200,9.450000,90.880000,10.640000,8.730000,5.910000,0.840000,15.175000,10.750000,5.160000
6,4.230000,4.100000,4.230000,0.002100,8.730000,93.390000,10.070000,7.490000,5.350000,-0.060000,13.210000,10.520000,5.100000
7,4.230000,4.100000,4.230000,0.011300,6.910000,99.230000,6.700000,4.560000,1.180000,-3.010000,11.530000,7.600000,5.160000
8,4.230000,4.100000,4.230000,0.014300,6.170000,100.830000,4.790000,2.760000,-0.290000,-3.910000,9.290000,6.700000,5.100000
9,4.230000,4.070000,4.230000,0.018900,5.800000,99.130000,2.475000,-0.010000,-2.895000,-6.575000,9.345000,6.925000,5.100000
10,4.230000,4.070000,4.230000,0.017400,5.800000,99.230000,3.320000,1.970000,-0.860000,-5.270000,7.940000,7.380000,5.100000
11,4.230000,4.070000,4.230000,0.011300,5.420000,106.275000,-0.290000,-1.645000,-4.875000,-8.280000,8.725000,4.445000,4.935000
12,4.230000,4.070000,4.230000,0.020400,5.420000,102.150000,0.555000,-0.515000,-3.575000,-6.240000,7.885000,5.630000,5.030000
13,4.230000,4.070000,4.230000,0.026500,5.420000,104.850000,-1.080000,-2.100000,-4.140000,-7.540000,10.860000,5.580000,5.030000
14,4.200000,4.050000,4.230000,-0.049800,6.170000,106.860000,-1.760000,-3.570000,-5.500000,-8.220000,5.690000,5.580000,4.410000
15,4.230000,4.070000,4.230000,0.023500,5.800000,97.000000,4.000000,3.210000,1.860000,-7.880000,9.180000,6.140000,5.080000
16,4.230000,4.070000,4.230000,0.020400,5.420000,108.390000,-3.460000,-4.650000,-6.405000,-10.895000,3.945000,4.280000,4.680000
17,4.230000,4.050000,4.230000,0.017400,5.420000,105.905000,-1.530000,-2.215000,-3.685000,-9.930000,7.095000,4.280000,4.810000
18,4.230000,4.050000,4.230000,0.023500,5.420000,104.855000,-0.685000,-2.045000,-4.025000,-9.190000,7.600000,4.110000,5.000000
19,4.230000,4.070000,4.230000,0.023500,5.420000,102.305000,0.670000,0.385000,-2.045000,-7.770000,8.335000,5.125000,4.990000
20,4.230000,4.050000,4.230000,0.044800,6.540000,96.795000,4.845000,3.490000,1.235000,-7.320000,4.560000,4.955000,4.980000
21,4.230000,4.050000,4.250000,0.023500,5.800000,101.360000,2.650000,0.500000,-0.970000,-8.220000,6.700000,4.670000,4.920000
22,4.230000,4.070000,4.230000,0.038700,6.540000,98.700000,7.490000,3.770000,0.840000,-8.340000,0.950000,2.530000,5.080000
23,4.230000,4.070000,4.230000,0.026500,5.420000,100.610000,7.150000,2.420000,0.730000,-7.880000,7.380000,3.100000,5.180000
24,4.230000,4.070000,4.230000,0.025000,6.540000,98.440000,3.605000,1.350000,0.610000,-6.635000,-4.650000,3.040000,4.835000
25,4.230000,4.070000,4.230000,0.038700,6.540000,98.170000,3.660000,1.520000,2.870000,-5.050000,-5.500000,2.980000,4.980000
26,4.230000,4.070000,4.230000,0.026500,6.540000,99.980000,2.650000,-0.180000,-0.180000,-5.050000,-10.040000,1.180000,4.920000
27,4.230000,4.070000,4.230000,0.028050,6.910000,98.915000,2.590000,-0.235000,1.345000,-2.835000,-6.520000,2.650000,4.885000
