epoch_utc,norad,inc_deg,raan_deg,ecc,argp_deg,ma_deg,mm_rev_day
2024-12-12T16:02:26Z,62298,51.6362,151.099,0.0010547,322.5881,37.4374,15.51661144
2024-12-14T19:02:37Z,62298,51.6359,140.5409,0.001085,331.5804,28.4593,15.5199493
2024-12-15T10:29:48Z,62298,51.6359,137.3413,0.0011022,334.1863,25.8575,15.52114962
2024-12-15T21:18:48Z,62298,51.6364,135.1004,0.0011031,335.9212,24.1261,15.52197163
2024-12-16T11:13:10Z,62298,51.6366,132.2205,0.0011229,338.4342,21.6173,15.52297801
2024-12-16T20:29:23Z,62298,51.6371,130.2997,0.0011228,340.0364,20.0186,15.52364745
2024-12-17T13:29:02Z,62298,51.6369,126.7792,0.0011444,343.07,16.9907,15.5250149
2024-12-17T19:39:48Z,62298,51.6369,125.4985,0.0011399,344.091,15.9721,15.52550563
2024-12-18T08:01:18Z,62298,51.6368,122.9385,0.0011566,346.1505,13.9166,15.52650602
2024-12-18T20:22:44Z,62298,51.6369,120.3764,0.0011577,348.038,12.0333,15.52738741
2024-12-19T05:38:48Z,62298,51.6371,118.4559,0.0011765,349.6005,10.474,15.52803612
2024-12-19T13:22:10Z,62298,51.6372,116.8544,0.0011785,350.6946,9.3824,15.5285919
2024-12-20T03:16:10Z,62298,51.6372,113.9727,0.0011918,353.1251,6.9574,15.52954888
2024-12-20T14:04:49Z,62298,51.6372,111.7306,0.0011957,354.9004,5.1863,15.53033897
2024-12-21T03:58:43Z,62298,51.6369,108.8487,0.0012089,357.474,2.6187,15.53139342
2024-12-21T13:14:38Z,62298,51.6367,106.9264,0.0012091,358.7468,1.349,15.53215156
2024-12-21T19:25:14Z,62298,51.6366,105.6449,0.0012124,359.7843,0.314,15.53267241
2024-12-22T12:24:18Z,62298,51.6367,102.1211,0.0012273,2.2916,357.8129,15.53406024
2024-12-23T11:33:47Z,62298,51.637,97.3148,0.0012451,6.1259,353.9882,15.53613365
2024-12-24T10:43:04Z,62298,51.6365,92.5077,0.0012638,10.0374,350.0867,15.5381977
2024-12-24T19:58:44Z,62298,51.6366,90.5851,0.0012702,11.492,348.6358,15.53902762
2024-12-25T12:57:23Z,62298,51.6369,87.0598,0.0012805,13.9878,346.1465,15.54062268
