date_utc,downlink_packets,aprs_packets
2025-10-12,209,0
2025-10-13,533,0
2025-10-14,779,0
2025-10-15,949,0
2025-10-16,132,0
2025-10-17,178,0
2025-10-18,722,0
2025-10-19,318,0
2025-10-20,299,0
2025-10-21,145,0
2025-10-22,210,0
2025-10-23,0,0
2025-10-24,0,0
2025-10-25,0,0
2025-10-26,0,0
2025-10-27,0,0
2025-10-28,0,0
2025-10-29,519,0
2025-10-30,325,0
2025-10-31,0,0
2025-11-01,0,0
2025-11-02,0,0
2025-11-03,0,0
2025-11-04,1,6
2025-11-05,0,92
2025-11-06,0,62
2025-11-07,3295,10
2025-11-08,0,0
2025-11-09,0,0
2025-11-10,149,63
2025-11-11,92,56
2025-11-12,366,64
2025-11-13,363,0
2025-11-14,171,0
2025-11-15,226,82
2025-11-16,0,0
2025-11-17,354,48
2025-11-18,83,222
2025-11-19,146,0
2025-11-20,133,2
2025-11-21,27,0
2025-11-22,793,0
2025-11-23,873,43
2025-11-24,573,0
2025-11-25,306,0
2025-11-26,416,50
2025-11-27,884,188
2025-11-28,367,0
2025-11-29,0,0
2025-11-30,1394,79
2025-12-01,1921,82
2025-12-02,859,0
2025-12-03,680,123
2025-12-04,1176,0
2025-12-05,883,0
2025-12-06,952,0
2025-12-07,1308,170
2025-12-08,338,0
2025-12-09,430,0
2025-12-10,484,0
2025-12-11,427,78
2025-12-12,366,0
2025-12-13,0,0
2025-12-14,1121,125
2025-12-15,92,0
2025-12-16,460,123
2025-12-17,3,0
2025-12-18,0,84
2025-12-19,447,0
2025-12-20,208,25
2025-12-21,230,0
2025-12-22,563,15
2025-12-23,345,80
2025-12-24,0,0
2025-12-25,263,63
2025-12-26,351,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-29,285,0
2025-12-30,0,0
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,0,0
2026-01-04,578,80
2026-01-05,299,0
2026-01-06,449,96
2026-01-07,344,0
2026-01-08,0,0
2026-01-09,214,138
2026-01-10,558,82
2026-01-11,489,67
2026-01-12,589,0
2026-01-13,274,0
2026-01-14,512,90
2026-01-15,303,0
2026-01-16,0,0
2026-01-17,898,0
2026-01-18,968,153
2026-01-19,285,123
2026-01-20,547,0
2026-01-21,48,128
2026-01-22,218,0
2026-01-23,361,0
2026-01-24,754,114
2026-01-25,466,221
2026-01-26,765,236
2026-01-27,732,223
2026-01-28,338,171
2026-01-29,1200,0
2026-01-30,712,0
2026-01-31,428,191
2026-02-01,1198,481
2026-02-02,1167,218
2026-02-03,1225,224
2026-02-04,1051,147
2026-02-05,1304,225
2026-02-06,922,0
2026-02-07,489,248
2026-02-08,1111,0
2026-02-09,69,63
2026-02-10,647,104
2026-02-11,450,0
2026-02-12,491,0
2026-02-13,135,0
2026-02-14,358,0
2026-02-15,354,266
2026-02-16,385,204
2026-02-17,819,359
2026-02-18,370,0
2026-02-19,453,0
2026-02-20,570,150
2026-02-21,589,243
2026-02-22,440,229
2026-02-23,1775,0
2026-02-24,1061,166
2026-02-25,1423,188
2026-02-26,1262,153
2026-02-27,440,42
