satellite,instrument,mission,date,downlink_date,path,width,height,bytes,brightness,contrast,status,capture_start,capture_end,time_basis,iso,shutter,exposure_mode,resolution_cmd,other_settings,capture_confidence,capture_source,capture_notes,sha256
KASHIWA,CAM,,2024-04-24,2024-04-26,data/01_kashiwa/images/cam/kashiwa_20240424T0140_3d9200b3a2.jpg,144,108,4087,159.47,58.05,ok,2024-04-24T01:40:00+09:00,2024-04-24T01:43:00+09:00,uplink+timer,auto,auto,auto,"144x108 JPEG (last byte bits1-0=00); 5 shots (bits5-3=100) for 0xA4, 1 shot (000) for 0x84","cmd 4B 00 A0 D2 19 00 00 00 B0 00 84 (uplinked 2024-04-24 01:15:48 JST, delay 25 min); D2 param bytes 00 00 00 B0 00 A4|84 = [grp=00][00][00][B0 fixed][00][quality|shots|RGB|resize]: 0xA4 = 80% JPEG quality, 5 shots, RGB, 144x108; 0x84 = 80%, 1 shot, RGB, 144x108 (KSW_EARTH_CMDMaker_v4.xlsx sheet 地球撮影cmd); byte10 0x84 = 1 shot, 0xA4 = 5 shots); set: 1 image 144x108; downlink 2024-04-24 02:48 pass",high,"02_1stAOS day1~day3/00_02 RecData/GSSW_log/…/20240424_0113.txt; 100_01 KASHIWA運用日報/2024年4月/20240424/…-1パス.docx; GS dump 2024-04-24 02:48 (1 image, 4041 B); original 02_1stAOS day1~day3/00_02 RecData/CAM/20240424_0248.txt -> restored 画像/20240426.jpg (sha256 identical)",capture K1; image #1 (only image); original file (RecData/CAM root) 20240424_0248.txt -> restored 画像/20240426.jpg; payload of 20240424_0248.txt hashes to this sha256; file named 20240426 on restoration date,3d9200b3a257d9949b6e4d815b3530d5f3edc3e80d4369df002a7d2d9ee67352
KASHIWA,CAM,,2024-04-25,2024-04-27,data/01_kashiwa/images/cam/kashiwa_20240425T0221_4272ca031e.jpg,144,108,3843,71.99,76.36,ok,2024-04-25T02:21:00+09:00,2024-04-25T02:24:00+09:00,uplink+timer,auto,auto,auto,"144x108 JPEG (last byte bits1-0=00); 5 shots (bits5-3=100) for 0xA4, 1 shot (000) for 0x84","cmd 4B 00 A0 D2 17 00 00 00 B0 00 A4 (uplinked 2024-04-25 01:58:45 JST, delay 23 min); D2 param bytes 00 00 00 B0 00 A4|84 = [grp=00][00][00][B0 fixed][00][quality|shots|RGB|resize]: 0xA4 = 80% JPEG quality, 5 shots, RGB, 144x108; 0x84 = 80%, 1 shot, RGB, 144x108 (KSW_EARTH_CMDMaker_v4.xlsx sheet 地球撮影cmd); byte10 0x84 = 1 shot, 0xA4 = 5 shots); set: 5 images 144x108; downlink 2024-04-27 09:55 pass",high,"02_1stAOS day1~day3/00_02 RecData/GSSW_log/…/20240425_0156.txt; 100_01 KASHIWA運用日報/2024年4月/20240425/…-1パス.docx; GS dump 2024-04-25 03:18 sizes [3793,3819,3847,3942,3933]; original 02_1stAOS day1~day3/00_02 RecData/CAM/画像/2024_0427_1_0955.jpg (sha256 identical)",capture K2; image #2 (flash 0x05F82000; 3819 B -> 63 pkts = 3843 B); original file 2024_0427_1_0955.jpg,4272ca031ea82cb088da1f9c707a95357f6e96d37334e44e3db42a03a8b0c4ed
KASHIWA,CAM,,2024-04-25,2024-04-29,data/01_kashiwa/images/cam/kashiwa_20240425T0221_2603288118.jpg,144,108,3843,68.45,72.11,ok,2024-04-25T02:21:00+09:00,2024-04-25T02:24:00+09:00,uplink+timer,auto,auto,auto,"144x108 JPEG (last byte bits1-0=00); 5 shots (bits5-3=100) for 0xA4, 1 shot (000) for 0x84","cmd 4B 00 A0 D2 17 00 00 00 B0 00 A4 (uplinked 2024-04-25 01:58:45 JST, delay 23 min); D2 param bytes 00 00 00 B0 00 A4|84 = [grp=00][00][00][B0 fixed][00][quality|shots|RGB|resize]: 0xA4 = 80% JPEG quality, 5 shots, RGB, 144x108; 0x84 = 80%, 1 shot, RGB, 144x108 (KSW_EARTH_CMDMaker_v4.xlsx sheet 地球撮影cmd); byte10 0x84 = 1 shot, 0xA4 = 5 shots); set: 5 images 144x108; downlink 2024-04-29 09:47 pass",medium,"02_1stAOS day1~day3/00_02 RecData/GSSW_log/…/20240425_0156.txt; 100_01 KASHIWA運用日報/2024年4月/20240425/…-1パス.docx; GS dump 2024-04-25 03:18 sizes [3793,3819,3847,3942,3933]; original 02_1stAOS day1~day3/00_02 RecData/CAM/画像/2024_0429_2_0947.jpg (sha256 identical)","capture K2; image #2 or #3 (flash 0x05F83000, 'SKR CAM 2枚目'); original file 2024_0429_2_0947.jpg; same 3843-byte packet count as 0427 image; some packets lost per 運用日報",260328811863ec6aee94bb8eb3521289c7b9a17349eeb972b7d125ccb65bc520
KASHIWA,CAM,,2024-05-11,2024-05-12,data/01_kashiwa/images/cam/kashiwa_20240511T2203_7dcc431cdc.jpg,144,108,4514,117.35,50.93,ok,2024-05-11T22:03:00+09:00,2024-05-11T22:06:00+09:00,uplink+timer,auto,auto,auto,"144x108 JPEG (last byte bits1-0=00); 5 shots (bits5-3=100) for 0xA4, 1 shot (000) for 0x84","cmd 4B 00 A0 D2 5A 00 00 00 B0 00 A4 (uplinked 2024-05-11 20:33:00 JST, delay 90 min); D2 param bytes 00 00 00 B0 00 A4|84 = [grp=00][00][00][B0 fixed][00][quality|shots|RGB|resize]: 0xA4 = 80% JPEG quality, 5 shots, RGB, 144x108; 0x84 = 80%, 1 shot, RGB, 144x108 (KSW_EARTH_CMDMaker_v4.xlsx sheet 地球撮影cmd); byte10 0x84 = 1 shot, 0xA4 = 5 shots); set: 5 images 144x108; downlink 2024-05-12 19:30 pass",medium,"02_1stAOS day1~day3/00_02 RecData/GSSW_log/…/20240511_2026.txt (D2 line itself missing; BOSS ON 20:32:51 logged); 100_01 KASHIWA運用日報/2024年5月/20240511/…-2パス.docx; GS dump 2024-05-12 19:28 sizes [4460,4400,4667,4677,4740]; original 02_1stAOS day1~day3/00_02 RecData/CAM/画像/20240512_0.jpg (dup 20240514_1.jpg) (sha256 identical)",capture K3; image #1 (4460 B -> 74 pkts = 4514 B); original file 20240512_0.jpg (dup 20240514_1.jpg); D2 5A uplink not in GS log (only BOSS ON/OFF logged 20:32); 運用日報 records ACK; capture time = 20:32:51+~1 min + 90 min,7dcc431cdc843d6165df5a98f229963341aabd88c9d4392dbc3bd1bc1ca10af2
KASHIWA,CAM,,2024-05-16,2024-05-17,data/01_kashiwa/images/cam/kashiwa_20240516T1905_a0575d8550.jpg,144,108,4232,134.64,45.05,ok,2024-05-16T19:05:00+09:00,2024-05-16T19:08:00+09:00,uplink+timer,auto,auto,auto,"144x108 JPEG (last byte bits1-0=00); 5 shots (bits5-3=100) for 0xA4, 1 shot (000) for 0x84","cmd 4B 00 A0 D2 00 00 00 00 B0 00 A4 (uplinked 2024-05-16 19:05:20 JST, delay 0 min); D2 param bytes 00 00 00 B0 00 A4|84 = [grp=00][00][00][B0 fixed][00][quality|shots|RGB|resize]: 0xA4 = 80% JPEG quality, 5 shots, RGB, 144x108; 0x84 = 80%, 1 shot, RGB, 144x108 (KSW_EARTH_CMDMaker_v4.xlsx sheet 地球撮影cmd); byte10 0x84 = 1 shot, 0xA4 = 5 shots); set: 5 images 144x108; downlink 2024-05-17 16:27 pass (+re-restored 05-19)",high,"02_1stAOS day1~day3/00_02 RecData/GSSW_log/…/20240516_1900.txt; 100_01 KASHIWA運用日報/2024年5月/20240516/…-2パス.docx; GS dump 2024-05-17 16:28 sizes [4232,4238,4271,4370,4480]; original 02_1stAOS day1~day3/00_02 RecData/CAM/画像/024_KSW_CAMMIS_ダウンリンク復元画像_20240517.jpg (dup 027_..._20240519.jpg) (sha256 identical)",capture K4; image #1 (4232 B exact); original file 024_KSW_CAMMIS_ダウンリンク復元画像_20240517.jpg (dup 027_..._20240519.jpg),a0575d855095b8458e0c933ce437b71f0d339e60af3c1626f21487207815c49b
KASHIWA,CAM,,unknown,2024-05-22,data/01_kashiwa/images/cam/kashiwa_unknown_021a9a61d1.jpg,144,108,3721,182.79,50.87,ok,,,unresolved,auto,auto,auto,"144x108 JPEG thumbnail (SKR-mode set; 144x108 JPEG (last byte bits1-0=00); 5 shots (bits5-3=100) for 0xA4, 1 shot (000) for 0x84)","downlink 2024-05-22 14:52 pass; bright 3721-byte image does NOT match the dark set visible on 2024-05-21/23 (sizes 962-1024 B); probably stale flash content from an earlier set (candidates: K5 2024-05-19 16:36 JST cmd 4B 00 A0 D2 1A 00 00 00 B0 00 A4, or older). Capture unresolved.",low,02_1stAOS day1~day3/00_02 RecData/CAM/画像/20240522_5.jpg (sha256 identical); 100_01 KASHIWA運用日報/2024年5月/20240522/…-1パス.docx; 02_1stAOS day1~day3/00_02 RecData/GSSW_log/2024年5月/20240522_1452.txt,original file: 20240522_5.jpg; image index: unknown; read from flash 0x05F89000 labelled '5枚目',021a9a61d1a22c65870adcccd18f2bde6bb55a850d70159de6b5c704ef1858a5
KASHIWA,CAM,,2024-05-20,2024-05-23,data/01_kashiwa/images/cam/kashiwa_20240520T1739_59efc2e7c1.jpg,144,108,1037,0.17,4.19,dark,2024-05-20T17:39:00+09:00,2024-05-20T17:43:00+09:00,uplink+timer,auto,auto,auto,"144x108 JPEG (last byte bits1-0=00); 5 shots (bits5-3=100) for 0xA4, 1 shot (000) for 0x84","cmd 4B 00 A0 D2 2F 00 00 00 B0 00 A4 (uplinked 2024-05-20 16:52:49 .. 2024-05-20 16:53:40 JST, delay 47 min); D2 param bytes 00 00 00 B0 00 A4|84 = [grp=00][00][00][B0 fixed][00][quality|shots|RGB|resize]: 0xA4 = 80% JPEG quality, 5 shots, RGB, 144x108; 0x84 = 80%, 1 shot, RGB, 144x108 (KSW_EARTH_CMDMaker_v4.xlsx sheet 地球撮影cmd); byte10 0x84 = 1 shot, 0xA4 = 5 shots); set: 5 images 144x108 (dark); downlink 2024-05-23 13:54 pass",medium,"02_1stAOS day1~day3/00_02 RecData/GSSW_log/…/20240520_1648.txt; 100_01 KASHIWA運用日報/2024年5月/20240520/…-2パス.docx; GS dump 2024-05-21 15:50 sizes [993,1024,994,969,962] (night, dark); original 02_1stAOS day1~day3/00_02 RecData/CAM/画像/20240523_3.jpg (sha256 identical)",capture K6; image #3 (994 B -> 17 pkts = 1037 B); original file 20240523_3.jpg; dark night image; alternative capture K5 2024-05-19 16:36 JST cannot be fully excluded (no dump between 05-19 17:46 and 05-21 15:50); team meeting 2024-05-21 attributes to 5/20 night shot,59efc2e7c186334c6c0c49741d0e553dc9f03a83251577d19bf26748ab1019e9
KASHIWA,CAM,,2024-05-20,2024-05-23,data/01_kashiwa/images/cam/kashiwa_20240520T1739_858e3d2bd0.jpg,144,108,976,0.14,4.00,dark,2024-05-20T17:39:00+09:00,2024-05-20T17:43:00+09:00,uplink+timer,auto,auto,auto,"144x108 JPEG (last byte bits1-0=00); 5 shots (bits5-3=100) for 0xA4, 1 shot (000) for 0x84","cmd 4B 00 A0 D2 2F 00 00 00 B0 00 A4 (uplinked 2024-05-20 16:52:49 .. 2024-05-20 16:53:40 JST, delay 47 min); D2 param bytes 00 00 00 B0 00 A4|84 = [grp=00][00][00][B0 fixed][00][quality|shots|RGB|resize]: 0xA4 = 80% JPEG quality, 5 shots, RGB, 144x108; 0x84 = 80%, 1 shot, RGB, 144x108 (KSW_EARTH_CMDMaker_v4.xlsx sheet 地球撮影cmd); byte10 0x84 = 1 shot, 0xA4 = 5 shots); set: 5 images 144x108 (dark); downlink 2024-05-23 13:54 pass",medium,"02_1stAOS day1~day3/00_02 RecData/GSSW_log/…/20240520_1648.txt; 100_01 KASHIWA運用日報/2024年5月/20240520/…-2パス.docx; GS dump 2024-05-21 15:50 sizes [993,1024,994,969,962] (night, dark); original 02_1stAOS day1~day3/00_02 RecData/CAM/画像/20240523_5.jpg (sha256 identical)",capture K6; image #5 (962 B -> 16 pkts = 976 B); original file 20240523_5.jpg; see 20240523_3,858e3d2bd0efcabc4c1694299043dd21e70c05663750e7affa74f7eecafcd165
KASHIWA,CAM,,2024-05-23,2024-05-24,data/01_kashiwa/images/cam/kashiwa_20240523T1653_fa98c2dce8.jpg,144,108,4158,146.49,54.83,ok,2024-05-23T16:53:00+09:00,2024-05-23T16:56:00+09:00,uplink+timer,auto,auto,auto,"144x108 JPEG (last byte bits1-0=00); 5 shots (bits5-3=100) for 0xA4, 1 shot (000) for 0x84","cmd 4B 00 A0 D2 50 00 00 00 B0 00 A4 (uplinked 2024-05-23 15:33:49 JST, delay 80 min); D2 param bytes 00 00 00 B0 00 A4|84 = [grp=00][00][00][B0 fixed][00][quality|shots|RGB|resize]: 0xA4 = 80% JPEG quality, 5 shots, RGB, 144x108; 0x84 = 80%, 1 shot, RGB, 144x108 (KSW_EARTH_CMDMaker_v4.xlsx sheet 地球撮影cmd); byte10 0x84 = 1 shot, 0xA4 = 5 shots); set: 5 images 144x108; downlink 2024-05-24 14:31 pass",high,"02_1stAOS day1~day3/00_02 RecData/GSSW_log/…/20240523_1525.txt; 100_01 KASHIWA運用日報/2024年5月/20240523/…-2パス.docx; GS dump 2024-05-24 14:31 sizes [4158,4248,4510,4518,4631]; original 02_1stAOS day1~day3/00_02 RecData/CAM/画像/030_KSW_CAMMIS_ダウンリンク復元画像_20240524.jpg (sha256 identical)",capture K7; image #1 (4158 B exact); original file 030_KSW_CAMMIS_ダウンリンク復元画像_20240524.jpg,fa98c2dce80ce29bc0e4f708ae4dd7523b84d053bf3a59159fdb9e78fece2334
KASHIWA,CAM,,2024-05-23,2024-05-27,data/01_kashiwa/images/cam/kashiwa_20240523T1653_5ade14c89d.jpg,144,108,4453,116.92,55.97,ok,2024-05-23T16:53:00+09:00,2024-05-23T16:56:00+09:00,uplink+timer,auto,auto,auto,"144x108 JPEG (last byte bits1-0=00); 5 shots (bits5-3=100) for 0xA4, 1 shot (000) for 0x84","cmd 4B 00 A0 D2 50 00 00 00 B0 00 A4 (uplinked 2024-05-23 15:33:49 JST, delay 80 min); D2 param bytes 00 00 00 B0 00 A4|84 = [grp=00][00][00][B0 fixed][00][quality|shots|RGB|resize]: 0xA4 = 80% JPEG quality, 5 shots, RGB, 144x108; 0x84 = 80%, 1 shot, RGB, 144x108 (KSW_EARTH_CMDMaker_v4.xlsx sheet 地球撮影cmd); byte10 0x84 = 1 shot, 0xA4 = 5 shots); set: 5 images 144x108; downlink 2024-05-27 13:10 pass",high,"02_1stAOS day1~day3/00_02 RecData/GSSW_log/…/20240523_1525.txt; 100_01 KASHIWA運用日報/2024年5月/20240523/…-2パス.docx; GS dump 2024-05-24 14:31 sizes [4158,4248,4510,4518,4631]; original 02_1stAOS day1~day3/00_02 RecData/CAM/画像/2024_0527_3.jpg (sha256 identical)","capture K7; image #3 (4510 B; file 73 of 74 pkts); original file 2024_0527_3.jpg; restored 13:35 JST, before K8 uplink; dump 05-27 21:08 still shows K7 set",5ade14c89da78549d686f6343157eecf0112fa06bae09906b0e2c77ecb12f4af
